,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:36.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by J. Isaac),0,2
1,1,11:21.0,K. Middleton misses 2-pt jump shot from 11 ft,,0,2
2,1,11:15.0,Offensive rebound by J. Henson,,0,2
3,1,11:15.0,J. Henson misses 2-pt layup at rim,,0,2
4,1,11:13.0,Offensive rebound by J. Henson,,0,2
5,1,11:13.0,J. Henson misses 2-pt layup at rim,,0,2
6,1,11:12.0,,Defensive rebound by J. Simmons,0,2
7,1,11:09.0,,D. Augustin misses 2-pt layup from 1 ft,0,2
8,1,11:06.0,Defensive rebound by G. Antetokounmpo,,0,2
9,1,11:04.0,Turnover by G. Antetokounmpo (lost ball; steal by N. Vučević),,0,2
10,1,10:59.0,,D. Augustin makes 2-pt layup from 1 ft (assist by N. Vučević),0,4
11,1,10:49.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,3,4
12,1,10:32.0,,J. Simmons misses 2-pt layup from 4 ft,3,4
13,1,10:30.0,Defensive rebound by J. Henson,,3,4
14,1,10:19.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,3,4
15,1,10:14.0,,Defensive rebound by N. Vučević,3,4
16,1,10:06.0,,M. Hezonja misses 2-pt layup from 2 ft,3,4
17,1,10:03.0,Defensive rebound by J. Henson,,3,4
18,1,9:58.0,T. Snell makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,5,4
19,1,9:34.0,,J. Simmons misses 2-pt jump shot from 6 ft,5,4
20,1,9:32.0,Defensive rebound by K. Middleton,,5,4
21,1,9:29.0,Personal foul by N. Vučević (drawn by K. Middleton),,5,4
22,1,9:24.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Henson),,7,4
23,1,9:07.0,,Shooting foul by T. Snell (drawn by D. Augustin),7,4
24,1,9:07.0,,D. Augustin makes free throw 1 of 2,7,5
25,1,9:07.0,,D. Augustin makes free throw 2 of 2,7,6
26,1,8:49.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,9,6
27,1,8:34.0,,J. Simmons makes 3-pt jump shot from 25 ft (assist by D. Augustin),9,9
28,1,8:16.0,K. Middleton misses 2-pt jump shot from 20 ft,,9,9
29,1,8:13.0,,Defensive rebound by N. Vučević,9,9
