,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:48.0,,K. Dunn makes 2-pt jump shot from 14 ft,0,2
1,1,11:22.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,2
2,1,11:00.0,,R. Lopez misses 2-pt hook shot from 4 ft (block by S. Ibaka),2,2
3,1,10:57.0,Defensive rebound by S. Ibaka,,2,2
4,1,10:50.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by D. DeRozan),,4,2
5,1,10:38.0,,Z. LaVine makes 3-pt jump shot from 24 ft,4,5
6,1,10:17.0,K. Lowry misses 3-pt jump shot from 27 ft,,4,5
7,1,10:14.0,,Defensive rebound by K. Dunn,4,5
8,1,10:08.0,,Z. LaVine misses 2-pt jump shot from 10 ft,4,5
9,1,10:04.0,Defensive rebound by S. Ibaka,,4,5
10,1,10:00.0,K. Lowry misses 2-pt layup from 2 ft (block by L. Markkanen),,4,5
11,1,9:57.0,Offensive rebound by D. DeRozan,,4,5
12,1,9:56.0,S. Ibaka misses 3-pt jump shot from 25 ft,,4,5
13,1,9:56.0,,Defensive rebound by J. Holiday,4,5
14,1,9:50.0,,Z. LaVine misses 2-pt layup at rim (block by J. Valančiūnas),4,5
15,1,9:50.0,Defensive rebound by O. Anunoby,,4,5
16,1,9:38.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by S. Ibaka),,6,5
17,1,9:19.0,,R. Lopez makes 2-pt hook shot from 4 ft,6,7
18,1,9:08.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,7
19,1,9:04.0,,Defensive rebound by L. Markkanen,6,7
20,1,8:59.0,,K. Dunn misses 2-pt jump shot from 16 ft,6,7
21,1,8:52.0,,Offensive rebound by R. Lopez,6,7
22,1,8:52.0,,R. Lopez makes 2-pt layup at rim,6,9
23,1,8:41.0,D. DeRozan misses 2-pt jump shot from 4 ft,,6,9
24,1,8:39.0,Offensive rebound by J. Valančiūnas,,6,9
25,1,8:37.0,J. Valančiūnas makes 2-pt layup from 2 ft,,8,9
26,1,8:19.0,,Z. LaVine misses 2-pt jump shot from 21 ft,8,9
