,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:41.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,0,0
1,1,11:37.0,,Defensive rebound by Z. LaVine,0,0
2,1,11:25.0,,R. Lopez misses 2-pt jump shot from 14 ft,0,0
3,1,11:22.0,Defensive rebound by E. Bledsoe,,0,0
4,1,11:13.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,0,0
5,1,11:11.0,,Defensive rebound by L. Markkanen,0,0
6,1,11:02.0,,R. Lopez makes 2-pt layup at rim (assist by L. Markkanen),0,2
7,1,10:45.0,Turnover by T. Snell (bad pass; steal by J. Holiday),,0,2
8,1,10:30.0,,Z. LaVine misses 3-pt jump shot from 21 ft,0,2
9,1,10:26.0,Defensive rebound by E. Bledsoe,,0,2
10,1,10:09.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,0,2
11,1,10:09.0,,Defensive rebound by L. Markkanen,0,2
12,1,10:00.0,,J. Grant makes 2-pt jump shot from 15 ft,0,4
13,1,9:34.0,K. Middleton makes 2-pt jump shot from 15 ft (assist by J. Henson),,2,4
14,1,9:14.0,,J. Holiday misses 2-pt jump shot from 21 ft,2,4
15,1,9:12.0,Defensive rebound by E. Bledsoe,,2,4
16,1,9:03.0,K. Middleton misses 2-pt jump shot from 13 ft,,2,4
17,1,9:01.0,,Defensive rebound by J. Grant,2,4
18,1,8:49.0,,Turnover by J. Grant (bad pass; steal by E. Bledsoe),2,4
19,1,8:33.0,G. Antetokounmpo misses 2-pt jump shot from 23 ft,,2,4
20,1,8:30.0,,Defensive rebound by L. Markkanen,2,4
21,1,8:23.0,,J. Holiday misses 2-pt layup from 3 ft,2,4
22,1,8:21.0,Defensive rebound by J. Henson,,2,4
23,1,8:19.0,T. Snell makes 3-pt jump shot from 25 ft (assist by J. Henson),,5,4
24,1,7:58.0,,J. Grant misses 2-pt layup from 1 ft,5,4
25,1,7:58.0,,Offensive rebound by R. Lopez,5,4
26,1,7:56.0,,R. Lopez misses 2-pt layup from 4 ft (block by G. Antetokounmpo),5,4
27,1,7:56.0,Defensive rebound by Team,,5,4
28,1,7:48.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,5,4
29,1,7:48.0,,Defensive rebound by J. Grant,5,4
30,1,7:41.0,Violation by J. Henson (kicked ball),,5,4
31,1,7:34.0,,Personal foul by E. Bledsoe (drawn by J. Grant),5,4
32,1,7:28.0,,L. Markkanen misses 3-pt jump shot from 25 ft,5,4
33,1,7:24.0,Defensive rebound by T. Snell,,5,4
34,1,7:19.0,T. Snell misses 3-pt jump shot from 25 ft,,5,4
35,1,7:15.0,,Defensive rebound by Z. LaVine,5,4
36,1,7:09.0,,Z. LaVine misses 2-pt layup from 1 ft,5,4
37,1,7:09.0,Defensive rebound by K. Middleton,,5,4
38,1,6:48.0,J. Henson makes 2-pt layup from 1 ft (assist by E. Bledsoe),,7,4
39,1,6:48.0,Shooting foul by Z. LaVine (drawn by J. Henson),,7,4
40,1,6:48.0,,Chicago full timeout,7,4
41,1,6:48.0,J. Henson misses free throw 1 of 1,,7,4
42,1,6:45.0,,Defensive rebound by J. Holiday,7,4
43,1,6:34.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),7,7
44,1,6:12.0,J. Henson misses 2-pt jump shot from 19 ft,,7,7
45,1,6:08.0,,Defensive rebound by J. Holiday,7,7
46,1,6:00.0,,Turnover by J. Holiday (lost ball; steal by K. Middleton),7,7
47,1,6:00.0,Personal foul by J. Holiday (drawn by K. Middleton),,7,7
48,1,6:00.0,S. Brown enters the game for G. Antetokounmpo,,7,7
49,1,5:37.0,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),,9,7
50,1,5:22.0,,Z. LaVine misses 3-pt jump shot from 24 ft,9,7
51,1,5:22.0,Defensive rebound by K. Middleton,,9,7
52,1,5:14.0,Turnover by J. Henson (lost ball; steal by R. Lopez),,9,7
53,1,5:09.0,,Turnover by J. Holiday (lost ball; steal by S. Brown),9,7
54,1,5:04.0,Turnover by E. Bledsoe (lost ball; steal by Z. LaVine),,9,7
55,1,4:59.0,,Turnover by Z. LaVine (bad pass; steal by J. Henson),9,7
56,1,4:48.0,K. Middleton misses 2-pt jump shot from 11 ft,,9,7
57,1,4:45.0,,Defensive rebound by L. Markkanen,9,7
58,1,4:45.0,,Turnover by L. Markkanen (bad pass),9,7
59,1,4:45.0,,D. Valentine enters the game for Z. LaVine,9,7
60,1,4:37.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by J. Henson),,11,7
61,1,4:18.0,,Turnover by J. Grant (bad pass; steal by T. Snell),11,7
62,1,4:09.0,J. Henson makes 2-pt jump shot from 13 ft (assist by E. Bledsoe),,13,7
63,1,3:42.0,,D. Valentine makes 2-pt jump shot from 11 ft (assist by R. Lopez),13,9
64,1,3:28.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by K. Middleton),,16,9
65,1,3:12.0,,D. Valentine makes 2-pt jump shot from 10 ft (assist by J. Holiday),16,11
66,1,2:52.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,16,11
67,1,2:52.0,,Defensive rebound by D. Valentine,16,11
