,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,,Shooting foul by M. Dellavedova (drawn by D. Howard),0,0
1,1,11:48.0,,D. Howard misses free throw 1 of 2,0,0
2,1,11:48.0,,Offensive rebound by Team,0,0
3,1,11:48.0,,D. Howard makes free throw 2 of 2,0,1
4,1,11:32.0,E. Bledsoe makes 2-pt jump shot from 15 ft,,2,1
5,1,11:09.0,,M. Williams makes 2-pt jump shot from 6 ft (assist by K. Walker),2,3
6,1,10:43.0,M. Dellavedova misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),,2,3
7,1,10:39.0,,Defensive rebound by M. Kidd-Gilchrist,2,3
8,1,10:32.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),2,6
9,1,10:09.0,K. Middleton misses 2-pt jump shot from 10 ft,,2,6
10,1,10:07.0,,Defensive rebound by D. Howard,2,6
11,1,9:58.0,,K. Walker misses 2-pt jump shot from 18 ft,2,6
12,1,9:53.0,,Offensive rebound by D. Howard,2,6
13,1,9:52.0,,D. Howard misses 2-pt layup from 1 ft (block by K. Middleton),2,6
14,1,9:52.0,Defensive rebound by E. Bledsoe,,2,6
15,1,9:46.0,E. Bledsoe misses 2-pt jump shot from 13 ft,,2,6
16,1,9:43.0,,Defensive rebound by D. Howard,2,6
17,1,9:31.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by N. Batum),2,8
18,1,9:06.0,T. Snell makes 2-pt layup from 5 ft,,4,8
19,1,8:57.0,,Turnover by K. Walker (bad pass),4,8
20,1,8:45.0,K. Middleton misses 3-pt jump shot from 24 ft,,4,8
21,1,8:41.0,Offensive rebound by M. Dellavedova,,4,8
22,1,8:36.0,M. Dellavedova misses 2-pt jump shot from 20 ft,,4,8
23,1,8:33.0,,Defensive rebound by N. Batum,4,8
24,1,8:24.0,,Offensive foul by M. Williams (drawn by M. Dellavedova),4,8
25,1,8:24.0,,Turnover by M. Williams (offensive foul),4,8
26,1,8:13.0,E. Bledsoe makes 2-pt jump shot from 12 ft,,6,8
27,1,8:00.0,,N. Batum misses 2-pt jump shot from 16 ft,6,8
28,1,8:00.0,,Offensive rebound by Team,6,8
29,1,7:58.0,,M. Williams misses 2-pt jump shot from 14 ft,6,8
30,1,7:56.0,,Offensive rebound by M. Kidd-Gilchrist,6,8
31,1,7:54.0,,K. Walker misses 3-pt jump shot from 25 ft,6,8
32,1,7:51.0,Defensive rebound by T. Snell,,6,8
33,1,7:46.0,Shooting foul by N. Batum (drawn by J. Henson),,6,8
34,1,7:46.0,J. Henson makes free throw 1 of 2,,7,8
35,1,7:46.0,S. Brown enters the game for K. Middleton,,7,8
36,1,7:46.0,M. Brogdon enters the game for M. Dellavedova,,7,8
37,1,7:46.0,J. Henson makes free throw 2 of 2,,8,8
38,1,7:32.0,,Personal foul by J. Henson (drawn by D. Howard),8,8
39,1,7:24.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,8,8
40,1,7:20.0,,Offensive rebound by N. Batum,8,8
41,1,7:20.0,,N. Batum makes 2-pt dunk at rim,8,10
42,1,7:12.0,J. Henson makes 2-pt hook shot from 7 ft (assist by E. Bledsoe),,10,10
43,1,6:59.0,,D. Howard makes 2-pt dunk from 1 ft (assist by M. Williams),10,12
44,1,6:37.0,M. Brogdon makes 2-pt layup from 1 ft,,12,12
45,1,6:22.0,,N. Batum misses 2-pt jump shot from 10 ft,12,12
46,1,6:20.0,Defensive rebound by J. Henson,,12,12
47,1,6:10.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),,14,12
48,1,5:59.0,,Turnover by K. Walker (lost ball; steal by M. Brogdon),14,12
