,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:35.0,J. Randle makes 2-pt hook shot from 1 ft (assist by B. Lopez),,2,0
1,1,11:21.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by W. Barton),2,3
2,1,10:58.0,B. Lopez makes 2-pt hook shot from 9 ft,,4,3
3,1,10:31.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by N. Jokić),4,6
4,1,10:12.0,B. Lopez makes 2-pt jump shot from 5 ft,,6,6
5,1,9:59.0,,N. Jokić makes 2-pt hook shot from 6 ft (assist by J. Murray),6,8
6,1,9:45.0,J. Randle misses 2-pt layup from 5 ft (block by P. Millsap),,6,8
7,1,9:45.0,Offensive rebound by Team,,6,8
8,1,9:41.0,B. Lopez misses 3-pt jump shot from 24 ft,,6,8
9,1,9:37.0,Offensive rebound by K. Caldwell-Pope,,6,8
10,1,9:35.0,J. Randle misses 2-pt layup from 1 ft,,6,8
11,1,9:32.0,Offensive rebound by J. Randle,,6,8
12,1,9:31.0,Turnover by J. Randle (lost ball; steal by J. Murray),,6,8
13,1,9:23.0,,P. Millsap misses 3-pt jump shot from 24 ft,6,8
14,1,9:20.0,Defensive rebound by L. Ball,,6,8
15,1,9:17.0,B. Lopez makes 2-pt layup from 3 ft (assist by L. Ball),,8,8
16,1,9:17.0,Shooting foul by P. Millsap (drawn by B. Lopez),,8,8
17,1,9:17.0,B. Lopez misses free throw 1 of 1,,8,8
18,1,9:14.0,,Defensive rebound by W. Barton,8,8
19,1,9:01.0,,N. Jokić misses 2-pt hook shot from 3 ft,8,8
20,1,8:59.0,Defensive rebound by J. Randle,,8,8
21,1,8:54.0,L. Ball misses 3-pt jump shot from 23 ft,,8,8
22,1,8:52.0,,Defensive rebound by Team,8,8
23,1,8:52.0,Loose ball foul by J. Randle (drawn by P. Millsap),,8,8
24,1,8:40.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by J. Murray),8,10
25,1,8:28.0,J. Randle makes 2-pt dunk from 1 ft (assist by K. Kuzma),,10,10
26,1,8:12.0,,J. Murray misses 2-pt jump shot from 16 ft,10,10
27,1,8:09.0,Defensive rebound by B. Lopez,,10,10
28,1,8:00.0,Turnover by L. Ball (bad pass; steal by W. Barton),,10,10
29,1,7:54.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by G. Harris),10,13
30,1,7:52.0,LA Lakers full timeout,,10,13
31,1,7:40.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,10,13
32,1,7:37.0,,Defensive rebound by W. Barton,10,13
33,1,7:32.0,,W. Barton misses 3-pt jump shot from 25 ft,10,13
34,1,7:29.0,,Offensive rebound by N. Jokić,10,13
35,1,7:24.0,,J. Murray misses 3-pt jump shot from 24 ft (block by B. Lopez),10,13
36,1,7:21.0,Defensive rebound by K. Caldwell-Pope,,10,13
37,1,7:15.0,L. Ball makes 3-pt jump shot from 24 ft (assist by J. Randle),,13,13
38,1,6:57.0,,Def 3 sec tech foul by J. Randle,13,13
