,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
0,1,11:39.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),0,3
1,1,11:22.0,Shooting foul by M. Harkless (drawn by J. Green),,0,3
2,1,11:22.0,J. Green makes free throw 1 of 2,,1,3
3,1,11:22.0,J. Green makes free throw 2 of 2,,2,3
4,1,11:06.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,3
5,1,11:02.0,Defensive rebound by Team,,2,3
6,1,10:50.0,K. Korver misses 3-pt jump shot from 24 ft,,2,3
7,1,10:48.0,,Defensive rebound by D. Lillard,2,3
8,1,10:42.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by D. Lillard),2,5
9,1,10:27.0,J. Green makes 2-pt layup from 2 ft (assist by G. Hill),,4,5
10,1,10:12.0,,Turnover by C. McCollum (bad pass; steal by K. Korver),4,5
11,1,10:07.0,L. James makes 2-pt layup at rim,,6,5
12,1,9:52.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),6,7
13,1,9:34.0,K. Korver makes 2-pt jump shot from 21 ft (assist by J. Green),,8,7
14,1,9:19.0,,D. Lillard misses 3-pt jump shot from 26 ft,8,7
15,1,9:18.0,Defensive rebound by R. Hood,,8,7
16,1,9:12.0,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Green),,11,7
17,1,8:58.0,,M. Harkless makes 2-pt dunk at rim (assist by C. McCollum),11,9
18,1,8:36.0,L. James makes 2-pt layup at rim,,13,9
19,1,8:17.0,,J. Nurkić misses 2-pt jump shot from 14 ft,13,9
20,1,8:14.0,Defensive rebound by G. Hill,,13,9
21,1,8:03.0,J. Green misses 2-pt jump shot from 23 ft,,13,9
22,1,8:00.0,,Defensive rebound by J. Nurkić,13,9
23,1,7:53.0,,D. Lillard makes 2-pt jump shot from 2 ft,13,11
24,1,7:40.0,R. Hood misses 3-pt jump shot from 25 ft,,13,11
25,1,7:37.0,,Defensive rebound by J. Nurkić,13,11
26,1,7:24.0,,M. Harkless makes 3-pt jump shot from 22 ft (assist by A. Aminu),13,14
27,1,7:02.0,L. James makes 2-pt dunk at rim,,15,14
28,1,6:47.0,,Shooting block foul by R. Hood (drawn by J. Nurkić),15,14
29,1,6:47.0,,Portland full timeout,15,14
30,1,6:47.0,,J. Nurkić misses free throw 1 of 2,15,14
31,1,6:47.0,,Offensive rebound by Team,15,14
32,1,6:47.0,,J. Nurkić makes free throw 2 of 2,15,15
33,1,6:31.0,K. Korver makes 2-pt jump shot from 23 ft,,17,15
34,1,6:19.0,,M. Harkless misses 3-pt jump shot from 22 ft,17,15
35,1,6:19.0,,Offensive rebound by Team,17,15
36,1,6:19.0,Loose ball foul by G. Hill (drawn by J. Nurkić),,17,15
37,1,6:09.0,,J. Nurkić misses 2-pt hook shot from 2 ft,17,15
38,1,6:05.0,,Offensive rebound by A. Aminu,17,15
39,1,5:56.0,,Shooting foul by R. Hood (drawn by M. Harkless),17,15
40,1,5:56.0,,M. Harkless makes free throw 1 of 2,17,16
41,1,5:56.0,J. Smith enters the game for R. Hood,,17,16
42,1,5:56.0,,M. Harkless makes free throw 2 of 2,17,17
43,1,5:43.0,G. Hill misses 3-pt jump shot from 26 ft,,17,17
44,1,5:41.0,,Defensive rebound by J. Nurkić,17,17
45,1,5:35.0,,Turnover by D. Lillard (lost ball; steal by G. Hill),17,17
46,1,5:35.0,Turnover by G. Hill (step out of bounds),,17,17
47,1,5:29.0,,C. McCollum misses 3-pt jump shot from 25 ft,17,17
48,1,5:25.0,,Offensive rebound by A. Aminu,17,17
49,1,5:23.0,,J. Nurkić makes 2-pt hook shot from 1 ft (assist by A. Aminu),17,19
50,1,5:06.0,J. Green misses 2-pt hook shot from 2 ft (block by J. Nurkić),,17,19
51,1,5:03.0,,Defensive rebound by M. Harkless,17,19
52,1,5:01.0,,C. McCollum makes 2-pt layup from 2 ft (assist by M. Harkless),17,21
53,1,4:44.0,J. Smith makes 3-pt jump shot from 23 ft (assist by G. Hill),,20,21
54,1,4:30.0,,M. Harkless misses 2-pt dunk from 1 ft (block by L. James),20,21
55,1,4:28.0,Defensive rebound by J. Green,,20,21
56,1,4:18.0,Def 3 sec tech foul by J. Nurkić,,20,21
57,1,4:18.0,K. Korver makes technical free throw,,21,21
58,1,4:18.0,,E. Davis enters the game for C. McCollum,21,21
59,1,4:18.0,,E. Turner enters the game for M. Harkless,21,21
60,1,4:18.0,,P. Connaughton enters the game for J. Nurkić,21,21
61,1,4:07.0,L. James misses 2-pt jump shot from 20 ft,,21,21
62,1,4:03.0,,Defensive rebound by E. Davis,21,21
63,1,3:55.0,,D. Lillard misses 2-pt layup from 1 ft (block by L. James),21,21
64,1,3:55.0,,Offensive rebound by Team,21,21
65,1,3:49.0,,D. Lillard misses 3-pt jump shot from 28 ft,21,21
66,1,3:46.0,Defensive rebound by J. Smith,,21,21
67,1,3:35.0,K. Korver misses 2-pt layup from 1 ft,,21,21
68,1,3:32.0,,Defensive rebound by E. Davis,21,21
69,1,3:27.0,,Personal foul by G. Hill (drawn by E. Turner),21,21
70,1,3:27.0,J. Clarkson enters the game for G. Hill,,21,21
71,1,3:18.0,,A. Aminu misses 3-pt jump shot from 24 ft,21,21
72,1,3:16.0,Defensive rebound by Team,,21,21
73,1,3:16.0,,Loose ball foul by E. Davis (drawn by K. Korver),21,21
74,1,3:05.0,L. James misses 2-pt layup from 2 ft (block by A. Aminu),,21,21
75,1,3:05.0,Offensive rebound by Team,,21,21
76,1,3:03.0,K. Korver makes 2-pt jump shot from 14 ft (assist by L. James),,23,21
