,QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,A. Baynes misses 2-pt hook shot from 6 ft,,0,0
1,1,11:41.0,,Defensive rebound by W. Cauley-Stein,0,0
2,1,11:27.0,,Turnover by S. Labissière (bad pass; steal by J. Tatum),0,0
3,1,11:23.0,J. Tatum makes 2-pt dunk at rim,,2,0
4,1,11:17.0,,Turnover by D. Fox (lost ball; steal by T. Rozier),2,0
5,1,11:07.0,Turnover by J. Brown (turnover),,2,0
6,1,10:57.0,,D. Fox makes 2-pt jump shot from 15 ft,2,2
7,1,10:44.0,Personal foul by S. Labissière (drawn by A. Horford),,2,2
8,1,10:36.0,Turnover by J. Brown (lost ball; steal by B. Bogdanović),,2,2
9,1,10:30.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,2,2
10,1,10:26.0,Defensive rebound by A. Horford,,2,2
11,1,10:13.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by A. Baynes),,5,2
12,1,9:57.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,5,2
13,1,9:54.0,Defensive rebound by T. Rozier,,5,2
14,1,9:49.0,T. Rozier misses 3-pt jump shot from 24 ft,,5,2
15,1,9:46.0,,Defensive rebound by W. Cauley-Stein,5,2
16,1,9:32.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),5,4
17,1,9:16.0,J. Tatum makes 2-pt layup from 1 ft,,7,4
18,1,8:57.0,,D. Fox makes 2-pt layup from 1 ft,7,6
19,1,8:35.0,Turnover by A. Baynes (out of bounds lost ball),,7,6
20,1,8:19.0,,B. Bogdanović makes 2-pt layup from 2 ft,7,8
21,1,8:03.0,A. Horford misses 2-pt hook shot from 3 ft,,7,8
22,1,8:00.0,,Defensive rebound by W. Cauley-Stein,7,8
23,1,7:46.0,,B. Bogdanović misses 2-pt jump shot from 2 ft (block by J. Brown),7,8
24,1,7:42.0,Defensive rebound by A. Horford,,7,8
25,1,7:41.0,Offensive foul by J. Brown (drawn by S. Labissière),,7,8
26,1,7:41.0,Turnover by J. Brown (offensive foul),,7,8
27,1,7:25.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,7,8
28,1,7:22.0,Defensive rebound by T. Rozier,,7,8
29,1,7:11.0,T. Rozier makes 2-pt layup from 2 ft,,9,8
30,1,7:04.0,,D. Fox misses 3-pt jump shot from 25 ft,9,8
31,1,7:01.0,Defensive rebound by J. Tatum,,9,8
32,1,6:55.0,Turnover by J. Tatum (bad pass),,9,8
33,1,6:55.0,,Sacramento full timeout,9,8
34,1,6:55.0,S. Ojeleye enters the game for J. Tatum,,9,8
35,1,6:41.0,,Personal foul by J. Brown (drawn by B. Bogdanović),9,8
36,1,6:30.0,,Shooting foul by A. Horford (drawn by W. Cauley-Stein),9,8
37,1,6:30.0,,W. Cauley-Stein makes free throw 1 of 2,9,9
38,1,6:30.0,,W. Cauley-Stein makes free throw 2 of 2,9,10
39,1,6:17.0,J. Brown makes 2-pt dunk at rim (assist by A. Horford),,11,10
40,1,6:03.0,,B. Bogdanović misses 2-pt jump shot from 21 ft,11,10
41,1,5:59.0,Defensive rebound by T. Rozier,,11,10
42,1,5:40.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by A. Horford),,14,10
43,1,5:25.0,,W. Cauley-Stein misses 2-pt jump shot from 5 ft,14,10
44,1,5:25.0,,Offensive rebound by Team,14,10
