,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,Turnover by K. Walker (bad pass; steal by K. Koufos),0,0
1,1,11:26.0,V. Carter makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),,3,0
2,1,11:03.0,,K. Walker misses 3-pt jump shot from 24 ft,3,0
3,1,11:00.0,Defensive rebound by K. Koufos,,3,0
4,1,10:53.0,D. Fox makes 2-pt layup at rim,,5,0
5,1,10:48.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),5,3
6,1,10:48.0,,Shooting foul by D. Fox (drawn by M. Williams),5,3
7,1,10:48.0,,M. Williams makes free throw 1 of 1,5,4
8,1,10:38.0,D. Fox misses 2-pt jump shot from 9 ft,,5,4
9,1,10:36.0,Offensive rebound by K. Koufos,,5,4
10,1,10:35.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,5,4
11,1,10:32.0,,Defensive rebound by D. Howard,5,4
12,1,10:25.0,,M. Williams misses 3-pt jump shot from 22 ft,5,4
13,1,10:23.0,Defensive rebound by B. Bogdanović,,5,4
14,1,10:15.0,K. Koufos misses 2-pt hook shot from 9 ft,,5,4
15,1,10:12.0,,Defensive rebound by N. Batum,5,4
16,1,10:03.0,,N. Batum makes 2-pt jump shot from 9 ft (assist by K. Walker),5,6
17,1,9:56.0,V. Carter misses 3-pt jump shot from 26 ft,,5,6
18,1,9:53.0,,Defensive rebound by D. Howard,5,6
19,1,9:44.0,,N. Batum misses 3-pt jump shot from 25 ft,5,6
20,1,9:41.0,Defensive rebound by V. Carter,,5,6
21,1,9:37.0,Shooting foul by T. Graham (drawn by D. Fox),,5,6
22,1,9:37.0,D. Fox misses free throw 1 of 2,,5,6
23,1,9:37.0,Offensive rebound by Team,,5,6
24,1,9:37.0,D. Fox makes free throw 2 of 2,,6,6
25,1,9:25.0,,Turnover by D. Howard (traveling),6,6
26,1,9:17.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),,9,6
27,1,8:54.0,,N. Batum makes 2-pt jump shot from 19 ft (assist by K. Walker),9,8
28,1,8:38.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,9,8
29,1,8:36.0,Offensive rebound by K. Koufos,,9,8
30,1,8:33.0,W. Cauley-Stein misses 2-pt layup from 5 ft (block by D. Howard),,9,8
31,1,8:29.0,,Defensive rebound by D. Howard,9,8
32,1,8:23.0,,D. Howard misses 2-pt layup from 2 ft,9,8
33,1,8:19.0,,Offensive rebound by D. Howard,9,8
34,1,8:19.0,,D. Howard makes 2-pt layup at rim,9,10
35,1,7:55.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),,11,10
36,1,7:45.0,,K. Walker makes 3-pt jump shot from 25 ft,11,13
37,1,7:31.0,Turnover by D. Fox (bad pass; steal by K. Walker),,11,13
38,1,7:25.0,,Turnover by K. Walker (bad pass; steal by W. Cauley-Stein),11,13
39,1,7:18.0,K. Koufos makes 2-pt dunk from 2 ft (assist by V. Carter),,13,13
40,1,6:59.0,,T. Graham misses 3-pt jump shot from 22 ft,13,13
41,1,6:56.0,Defensive rebound by D. Fox,,13,13
42,1,6:51.0,Turnover by B. Bogdanović (bad pass; steal by T. Graham),,13,13
43,1,6:51.0,,Turnover by T. Graham (bad pass),13,13
44,1,6:51.0,,Charlotte full timeout,13,13
45,1,6:35.0,K. Koufos makes 2-pt layup from 1 ft (assist by B. Bogdanović),,15,13
46,1,6:17.0,,Turnover by D. Howard (lost ball; steal by W. Cauley-Stein),15,13
47,1,6:11.0,D. Fox makes 2-pt layup at rim,,17,13
48,1,5:50.0,,D. Howard makes 2-pt layup at rim (assist by M. Williams),17,15
49,1,5:35.0,K. Koufos makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),,19,15
50,1,5:22.0,,K. Walker makes 3-pt jump shot from 23 ft,19,18
51,1,5:03.0,B. Bogdanović makes 2-pt jump shot from 21 ft,,21,18
52,1,4:44.0,S. Labissière enters the game for K. Koufos,,21,18
53,1,4:44.0,B. Hield enters the game for V. Carter,,21,18
54,1,4:39.0,,Shooting foul by B. Bogdanović (drawn by K. Walker),21,18
55,1,4:39.0,,K. Walker makes free throw 1 of 2,21,19
56,1,4:39.0,,K. Walker makes free throw 2 of 2,21,20
57,1,4:30.0,W. Cauley-Stein misses 2-pt jump shot from 19 ft,,21,20
58,1,4:26.0,,Defensive rebound by D. Howard,21,20
59,1,4:20.0,,K. Walker misses 3-pt jump shot from 25 ft,21,20
60,1,4:17.0,Defensive rebound by S. Labissière,,21,20
61,1,4:03.0,Turnover by S. Labissière (bad pass; steal by D. Howard),,21,20
62,1,3:53.0,,Shooting foul by B. Bogdanović (drawn by D. Howard),21,20
63,1,3:53.0,,D. Howard misses free throw 1 of 2,21,20
64,1,3:53.0,,Offensive rebound by Team,21,20
65,1,3:53.0,,F. Kaminsky enters the game for M. Williams,21,20
66,1,3:53.0,,J. Lamb enters the game for T. Graham,21,20
67,1,3:53.0,G. Hill enters the game for D. Fox,,21,20
68,1,3:53.0,,D. Howard makes free throw 2 of 2,21,21
69,1,3:53.0,Sacramento full timeout,,21,21
70,1,3:38.0,S. Labissière makes 2-pt hook shot from 4 ft,,23,21
71,1,3:30.0,,Personal foul by B. Hield (drawn by N. Batum),23,21
72,1,3:25.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by F. Kaminsky),23,24
73,1,3:08.0,S. Labissière makes 2-pt layup from 1 ft (assist by G. Hill),,25,24
74,1,2:53.0,,D. Howard misses 2-pt layup from 3 ft (block by S. Labissière),25,24
75,1,2:49.0,Defensive rebound by W. Cauley-Stein,,25,24
76,1,2:37.0,B. Hield misses 3-pt jump shot from 24 ft,,25,24
77,1,2:34.0,,Defensive rebound by F. Kaminsky,25,24
78,1,2:26.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by N. Batum),25,27
79,1,2:07.0,S. Labissière misses 2-pt jump shot from 15 ft,,25,27
80,1,2:05.0,,Defensive rebound by D. Howard,25,27
81,1,2:01.0,,N. Batum misses 3-pt jump shot from 25 ft,25,27
82,1,1:55.0,Defensive rebound by W. Cauley-Stein,,25,27
83,1,1:45.0,B. Hield makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),,27,27
84,1,1:25.0,,J. Lamb misses 3-pt jump shot from 25 ft,27,27
85,1,1:21.0,,Offensive rebound by N. Batum,27,27
86,1,1:18.0,,F. Kaminsky misses 2-pt jump shot from 5 ft,27,27
87,1,1:14.0,Defensive rebound by W. Cauley-Stein,,27,27
88,1,1:04.0,Turnover by G. Hill (out of bounds lost ball),,27,27
89,1,1:04.0,,M. Carter-Williams enters the game for N. Batum,27,27
90,1,1:04.0,,M. Monk enters the game for K. Walker,27,27
91,1,1:04.0,G. Papagiannis enters the game for W. Cauley-Stein,,27,27
92,1,1:04.0,J. Jackson enters the game for B. Bogdanović,,27,27
93,1,0:50.0,,D. Howard makes 2-pt layup from 2 ft (assist by M. Carter-Williams),27,29
94,1,0:50.0,,Shooting foul by G. Papagiannis (drawn by D. Howard),27,29
95,1,0:50.0,,D. Howard makes free throw 1 of 1,27,30
96,1,0:38.0,G. Hill makes 2-pt jump shot from 12 ft (assist by B. Hield),,29,30
97,1,0:38.0,Shooting foul by M. Monk (drawn by G. Hill),,29,30
98,1,0:38.0,G. Hill makes free throw 1 of 1,,30,30
99,1,0:27.0,,D. Howard misses 2-pt layup from 2 ft,30,30
100,1,0:25.0,,Offensive rebound by J. Lamb,30,30
101,1,0:25.0,,J. Lamb makes 2-pt layup at rim,30,32
102,1,0:05.0,B. Hield makes 3-pt jump shot from 22 ft (assist by G. Hill),,33,32
103,1,0:00.0,,J. Lamb makes 3-pt jump shot from 32 ft,33,35
104,1,0:00.0,G. Hill misses 3-pt jump shot from 43 ft,,33,35
105,1,0:00.0,Offensive rebound by Team,,33,35
106,2,11:44.0,B. Hield makes 3-pt jump shot from 24 ft,,36,35
107,2,11:30.0,,F. Kaminsky makes 2-pt jump shot from 20 ft (assist by J. Lamb),36,37
108,2,11:21.0,S. Labissière misses 3-pt jump shot from 25 ft,,36,37
109,2,11:18.0,,Defensive rebound by J. Lamb,36,37
110,2,11:09.0,,Shooting foul by G. Papagiannis (drawn by J. Lamb),36,37
111,2,11:09.0,,J. Lamb makes free throw 1 of 2,36,38
112,2,11:09.0,,J. Lamb misses free throw 2 of 2,36,38
113,2,11:05.0,Defensive rebound by G. Papagiannis,,36,38
114,2,10:44.0,B. Hield misses 2-pt layup from 6 ft,,36,38
115,2,10:39.0,Offensive rebound by G. Papagiannis,,36,38
116,2,10:38.0,G. Papagiannis misses 2-pt layup at rim,,36,38
117,2,10:38.0,Offensive rebound by G. Papagiannis,,36,38
118,2,10:37.0,G. Papagiannis makes 2-pt layup at rim,,38,38
119,2,10:25.0,,J. O'Bryant misses 2-pt jump shot from 13 ft,38,38
120,2,10:23.0,Defensive rebound by B. Hield,,38,38
121,2,10:08.0,S. Labissière makes 2-pt dunk at rim (assist by J. Jackson),,40,38
122,2,9:52.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,40,38
123,2,9:49.0,Defensive rebound by J. Jackson,,40,38
124,2,9:42.0,B. Hield misses 2-pt jump shot from 11 ft,,40,38
125,2,9:40.0,,Defensive rebound by J. O'Bryant,40,38
126,2,9:34.0,,Turnover by M. Carter-Williams (bad pass),40,38
127,2,9:24.0,Personal foul by M. Carter-Williams (drawn by B. Hield),,40,38
128,2,9:14.0,S. Labissière makes 2-pt hook shot from 8 ft,,42,38
129,2,8:56.0,,F. Kaminsky misses 2-pt jump shot from 12 ft,42,38
130,2,8:53.0,Defensive rebound by G. Papagiannis,,42,38
131,2,8:44.0,G. Papagiannis misses 2-pt hook shot from 8 ft,,42,38
132,2,8:41.0,,Defensive rebound by M. Carter-Williams,42,38
133,2,8:35.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,42,38
134,2,8:32.0,Defensive rebound by G. Papagiannis,,42,38
135,2,8:23.0,J. Jackson misses 3-pt jump shot from 23 ft,,42,38
136,2,8:20.0,,Defensive rebound by J. Lamb,42,38
