,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,J. Simmons misses 2-pt hook shot from 4 ft,,0,0
1,1,11:31.0,Offensive rebound by N. Vučević,,0,0
2,1,11:21.0,M. Hezonja misses 3-pt jump shot from 22 ft,,0,0
3,1,11:19.0,,Defensive rebound by L. Aldridge,0,0
4,1,11:12.0,,D. Murray misses 2-pt jump shot from 4 ft (block by J. Isaac),0,0
5,1,11:11.0,,Offensive rebound by D. Murray,0,0
6,1,11:00.0,,L. Aldridge makes 2-pt jump shot from 12 ft,0,2
7,1,10:52.0,Turnover by J. Simmons (bad pass),,0,2
8,1,10:29.0,,Turnover by K. Anderson (bad pass),0,2
9,1,10:18.0,M. Hezonja makes 2-pt layup from 1 ft (assist by N. Vučević),,2,2
10,1,10:09.0,,P. Mills makes 2-pt jump shot from 19 ft (assist by K. Anderson),2,4
11,1,9:58.0,D. Augustin makes 2-pt layup from 1 ft,,4,4
12,1,9:52.0,Offensive charge foul by K. Anderson (drawn by J. Isaac),,4,4
13,1,9:52.0,,Turnover by K. Anderson (offensive foul),4,4
14,1,9:41.0,J. Isaac makes 2-pt dunk at rim (assist by D. Augustin),,6,4
15,1,9:15.0,,K. Anderson makes 3-pt jump shot from 23 ft (assist by P. Mills),6,7
16,1,8:49.0,J. Simmons misses 2-pt layup from 5 ft (block by K. Anderson),,6,7
17,1,8:46.0,,Defensive rebound by L. Aldridge,6,7
18,1,8:36.0,,D. Murray makes 2-pt layup at rim (assist by L. Aldridge),6,9
19,1,8:36.0,,Shooting foul by J. Simmons (drawn by D. Murray),6,9
20,1,8:36.0,,D. Murray misses free throw 1 of 1,6,9
21,1,8:34.0,Defensive rebound by N. Vučević,,6,9
22,1,8:21.0,D. Augustin makes 2-pt jump shot from 12 ft,,8,9
23,1,8:09.0,,P. Mills makes 2-pt jump shot from 20 ft,8,11
24,1,7:52.0,J. Simmons makes 3-pt jump shot from 23 ft (assist by D. Augustin),,11,11
25,1,7:41.0,,D. Green misses 3-pt jump shot from 24 ft,11,11
26,1,7:37.0,Defensive rebound by J. Isaac,,11,11
27,1,7:31.0,N. Vučević misses 3-pt jump shot from 26 ft,,11,11
28,1,7:27.0,Offensive rebound by M. Hezonja,,11,11
29,1,7:21.0,Personal foul by D. Murray (drawn by D. Augustin),,11,11
