,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,,Turnover by D. Green (bad pass; steal by T. Daniels),0,0
1,1,11:42.0,T. Daniels makes 2-pt layup from 3 ft,,2,0
2,1,11:34.0,,Turnover by K. Durant (bad pass),2,0
3,1,11:20.0,M. Chriss misses 2-pt hook shot from 8 ft,,2,0
4,1,11:18.0,,Defensive rebound by K. Thompson,2,0
5,1,11:11.0,,D. Green misses 3-pt jump shot from 27 ft,2,0
6,1,11:08.0,Defensive rebound by M. Chriss,,2,0
7,1,11:05.0,Turnover by M. Chriss (traveling),,2,0
8,1,10:46.0,,Turnover by Q. Cook (bad pass; steal by J. Jackson),2,0
9,1,10:41.0,J. Jackson makes 2-pt layup from 2 ft,,4,0
10,1,10:31.0,,K. Thompson misses 2-pt jump shot from 19 ft,4,0
11,1,10:27.0,Defensive rebound by J. Jackson,,4,0
12,1,10:22.0,M. Chriss misses 2-pt layup from 8 ft,,4,0
13,1,10:16.0,,Defensive rebound by K. Looney,4,0
14,1,10:13.0,,D. Green makes 2-pt layup from 1 ft,4,2
15,1,9:50.0,T. Ulis makes 3-pt jump shot from 27 ft (assist by J. Jackson),,7,2
16,1,9:39.0,,K. Thompson misses 2-pt layup from 2 ft,7,2
17,1,9:35.0,Defensive rebound by D. Bender,,7,2
18,1,9:33.0,D. Bender misses 3-pt jump shot from 27 ft,,7,2
19,1,9:31.0,,Defensive rebound by K. Durant,7,2
20,1,9:22.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),7,4
21,1,9:07.0,T. Daniels misses 3-pt jump shot from 26 ft,,7,4
22,1,9:03.0,,Defensive rebound by K. Durant,7,4
23,1,8:56.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),7,6
24,1,8:56.0,,Shooting foul by J. Jackson (drawn by D. Green),7,6
25,1,8:56.0,A. Williams enters the game for M. Chriss,,7,6
26,1,8:56.0,,K. Durant makes free throw 1 of 1,7,7
27,1,8:41.0,A. Williams makes 2-pt jump shot from 5 ft (assist by T. Daniels),,9,7
28,1,8:31.0,,K. Durant makes 2-pt jump shot from 10 ft (assist by D. Green),9,9
29,1,8:21.0,T. Ulis misses 2-pt layup from 4 ft (block by K. Looney),,9,9
30,1,8:19.0,,Defensive rebound by D. Green,9,9
31,1,8:14.0,,Turnover by K. Thompson (bad pass),9,9
32,1,7:54.0,D. Bender makes 2-pt layup from 1 ft (assist by J. Jackson),,11,9
33,1,7:36.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),11,11
34,1,7:10.0,J. Jackson misses 3-pt jump shot from 26 ft,,11,11
35,1,7:09.0,,Defensive rebound by Team,11,11
36,1,7:03.0,Violation by T. Daniels (kicked ball),,11,11
37,1,6:50.0,,Q. Cook misses 3-pt jump shot from 24 ft,11,11
38,1,6:46.0,,Offensive rebound by K. Looney,11,11
39,1,6:40.0,,K. Looney misses 2-pt jump shot from 16 ft,11,11
40,1,6:37.0,Defensive rebound by A. Williams,,11,11
41,1,6:25.0,D. Bender makes 3-pt jump shot from 26 ft (assist by A. Williams),,14,11
42,1,6:12.0,,K. Thompson misses 3-pt jump shot from 25 ft,14,11
43,1,6:09.0,Defensive rebound by D. Bender,,14,11
44,1,5:53.0,Turnover by T. Ulis (bad pass; steal by K. Thompson),,14,11
45,1,5:47.0,,Turnover by D. Green (bad pass; steal by A. Williams),14,11
46,1,5:43.0,Turnover by T. Daniels (bad pass),,14,11
47,1,5:43.0,,Golden State full timeout,14,11
48,1,5:31.0,,K. Looney makes 2-pt dunk at rim (assist by D. Green),14,13
49,1,5:11.0,T. Daniels misses 3-pt jump shot from 26 ft,,14,13
50,1,5:09.0,,Defensive rebound by K. Durant,14,13
51,1,4:59.0,,K. Looney misses 2-pt hook shot from 2 ft,14,13
52,1,4:55.0,Defensive rebound by A. Williams,,14,13
53,1,4:36.0,T. Ulis misses 2-pt jump shot from 19 ft,,14,13
