,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:38.0,,J. Redick makes 2-pt jump shot from 7 ft,0,2
1,1,11:21.0,K. Love misses 2-pt jump shot from 20 ft,,0,2
2,1,11:20.0,,Defensive rebound by B. Simmons,0,2
3,1,11:11.0,,J. Embiid makes 2-pt jump shot from 12 ft,0,4
4,1,10:57.0,K. Love misses 3-pt jump shot from 25 ft,,0,4
5,1,10:54.0,,Defensive rebound by D. Šarić,0,4
6,1,10:44.0,,J. Embiid misses 2-pt jump shot from 8 ft,0,4
7,1,10:42.0,Defensive rebound by L. James,,0,4
8,1,10:40.0,L. James misses 2-pt layup from 6 ft (block by B. Simmons),,0,4
9,1,10:40.0,Offensive rebound by L. James,,0,4
10,1,10:36.0,L. James makes 2-pt layup from 1 ft,,2,4
11,1,10:29.0,,J. Redick misses 2-pt jump shot at rim,2,4
12,1,10:29.0,Defensive rebound by L. James,,2,4
13,1,10:21.0,L. James makes 2-pt layup from 2 ft,,4,4
14,1,10:04.0,,J. Redick misses 2-pt jump shot from 17 ft,4,4
15,1,10:04.0,,Offensive rebound by D. Šarić,4,4
16,1,9:56.0,,D. Šarić misses 3-pt jump shot from 22 ft,4,4
17,1,9:56.0,Defensive rebound by L. James,,4,4
18,1,9:42.0,Personal foul by R. Covington (drawn by J. Smith),,4,4
19,1,9:36.0,L. James makes 2-pt layup at rim (assist by J. Calderón),,6,4
20,1,9:23.0,,J. Embiid misses 3-pt jump shot from 26 ft,6,4
21,1,9:19.0,Defensive rebound by L. James,,6,4
22,1,9:14.0,L. James makes 3-pt jump shot from 26 ft,,9,4
23,1,9:00.0,,B. Simmons makes 2-pt layup at rim (assist by J. Redick),9,6
24,1,8:38.0,K. Love makes 2-pt layup at rim (assist by L. James),,11,6
25,1,8:25.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Redick),11,8
26,1,8:13.0,J. Smith misses 3-pt jump shot from 26 ft,,11,8
27,1,8:10.0,,Defensive rebound by Team,11,8
28,1,7:58.0,,J. Redick misses 3-pt jump shot from 25 ft,11,8
29,1,7:56.0,Defensive rebound by K. Love,,11,8
30,1,7:50.0,Shooting foul by B. Simmons (drawn by L. James),,11,8
31,1,7:50.0,L. James makes free throw 1 of 2,,12,8
32,1,7:50.0,,T. McConnell enters the game for D. Šarić,12,8
33,1,7:50.0,L. James misses free throw 2 of 2,,12,8
34,1,7:47.0,,Defensive rebound by B. Simmons,12,8
35,1,7:33.0,,J. Embiid makes 2-pt layup from 1 ft,12,10
36,1,7:18.0,L. James makes 3-pt jump shot from 27 ft (assist by J. Calderón),,15,10
37,1,7:06.0,,J. Redick misses 2-pt jump shot from 19 ft,15,10
38,1,7:03.0,,Offensive rebound by J. Redick,15,10
39,1,7:02.0,,J. Redick makes 2-pt jump shot from 19 ft,15,12
40,1,6:49.0,J. Calderón misses 3-pt jump shot from 26 ft,,15,12
41,1,6:49.0,,Defensive rebound by J. Embiid,15,12
42,1,6:41.0,,J. Redick misses 2-pt layup at rim,15,12
43,1,6:39.0,Defensive rebound by J. Crowder,,15,12
44,1,6:34.0,Shooting foul by R. Covington (drawn by J. Crowder),,15,12
45,1,6:34.0,,Philadelphia full timeout,15,12
46,1,6:34.0,,A. Johnson enters the game for J. Redick,15,12
47,1,6:34.0,,J. Bayless enters the game for J. Embiid,15,12
48,1,6:34.0,J. Crowder makes free throw 1 of 2,,16,12
49,1,6:34.0,J. Crowder makes free throw 2 of 2,,17,12
50,1,6:23.0,,Turnover by B. Simmons (bad pass; steal by J. Crowder),17,12
51,1,6:18.0,Personal foul by J. Bayless (drawn by L. James),,17,12
52,1,6:18.0,,T. Luwawu-Cabarrot enters the game for R. Covington,17,12
53,1,6:06.0,K. Love misses 3-pt jump shot from 23 ft,,17,12
54,1,6:04.0,,Defensive rebound by T. Luwawu-Cabarrot,17,12
55,1,5:54.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 22 ft,17,12
56,1,5:51.0,Defensive rebound by L. James,,17,12
57,1,5:43.0,Shooting foul by A. Johnson (drawn by L. James),,17,12
58,1,5:43.0,L. James makes free throw 2 of 2,,18,12
59,1,5:43.0,L. James makes free throw 1 of 2,,19,12
60,1,5:43.0,K. Korver enters the game for J. Smith,,19,12
61,1,5:35.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by B. Simmons),19,14
62,1,5:19.0,L. James misses 2-pt dunk from 1 ft,,19,14
63,1,5:16.0,,Defensive rebound by A. Johnson,19,14
64,1,5:12.0,,B. Simmons makes 2-pt layup from 1 ft,19,16
65,1,4:54.0,L. James misses 3-pt jump shot from 26 ft,,19,16
66,1,4:54.0,,Defensive rebound by Team,19,16
67,1,4:54.0,Loose ball foul by J. Crowder (drawn by J. Bayless),,19,16
68,1,4:43.0,,B. Simmons misses 2-pt layup from 2 ft,19,16
69,1,4:42.0,,Offensive rebound by A. Johnson,19,16
70,1,4:42.0,,A. Johnson makes 2-pt layup at rim,19,18
71,1,4:23.0,K. Korver misses 3-pt jump shot from 23 ft,,19,18
72,1,4:23.0,Offensive rebound by K. Love,,19,18
73,1,4:17.0,K. Love misses 2-pt layup from 4 ft,,19,18
74,1,4:17.0,Offensive rebound by J. Calderón,,19,18
75,1,4:10.0,J. Crowder misses 3-pt jump shot from 27 ft,,19,18
76,1,4:10.0,,Defensive rebound by T. Luwawu-Cabarrot,19,18
77,1,4:02.0,,J. Bayless misses 3-pt jump shot from 23 ft,19,18
78,1,3:56.0,,Offensive rebound by T. Luwawu-Cabarrot,19,18
79,1,3:56.0,,T. Luwawu-Cabarrot makes 2-pt layup at rim,19,20
80,1,3:52.0,Turnover by J. Calderón (bad pass; steal by B. Simmons),,19,20
81,1,3:40.0,,Personal foul by J. Calderón (drawn by T. McConnell),19,20
82,1,3:40.0,,J. Embiid enters the game for A. Johnson,19,20
83,1,3:40.0,,D. Šarić enters the game for B. Simmons,19,20
84,1,3:40.0,D. Wade enters the game for K. Love,,19,20
85,1,3:40.0,C. Frye enters the game for J. Calderón,,19,20
86,1,3:40.0,J. Green enters the game for J. Crowder,,19,20
87,1,3:26.0,,J. Embiid makes 2-pt jump shot from 15 ft (assist by T. Luwawu-Cabarrot),19,22
88,1,3:08.0,J. Green makes 2-pt jump shot from 3 ft,,21,22
89,1,2:50.0,,J. Embiid misses 2-pt jump shot from 10 ft,21,22
90,1,2:50.0,Defensive rebound by L. James,,21,22
91,1,2:42.0,L. James misses 2-pt layup from 1 ft (block by D. Šarić),,21,22
92,1,2:42.0,Offensive rebound by Team,,21,22
93,1,2:42.0,Cleveland full timeout,,21,22
94,1,2:42.0,,J. Redick enters the game for J. Bayless,21,22
95,1,2:27.0,L. James misses 3-pt jump shot from 24 ft,,21,22
96,1,2:24.0,,Defensive rebound by J. Redick,21,22
97,1,2:05.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,21,22
98,1,2:03.0,,Offensive rebound by Team,21,22
99,1,2:03.0,I. Shumpert enters the game for L. James,,21,22
100,1,1:58.0,,Turnover by D. Šarić (bad pass; steal by C. Frye),21,22
101,1,1:53.0,D. Wade makes 3-pt jump shot from 25 ft,,24,22
102,1,1:40.0,,J. Redick misses 3-pt jump shot from 26 ft,24,22
103,1,1:36.0,Defensive rebound by K. Korver,,24,22
104,1,1:32.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Wade),,24,22
105,1,1:32.0,D. Wade makes free throw 1 of 2,,25,22
106,1,1:32.0,,B. Simmons enters the game for T. McConnell,25,22
107,1,1:32.0,D. Wade makes free throw 2 of 2,,26,22
108,1,1:08.0,,Turnover by Team (shot clock),26,22
109,1,0:58.0,C. Frye makes 3-pt jump shot from 26 ft (assist by D. Wade),,29,22
110,1,0:45.0,,J. Embiid misses 2-pt jump shot from 12 ft,29,22
111,1,0:43.0,,Offensive rebound by D. Šarić,29,22
112,1,0:36.0,,Turnover by B. Simmons (bad pass),29,22
113,1,0:16.0,D. Wade misses 2-pt jump shot from 18 ft,,29,22
114,1,0:12.0,,Defensive rebound by D. Šarić,29,22
115,1,0:04.0,,D. Šarić misses 3-pt jump shot from 26 ft,29,22
116,1,0:00.0,Defensive rebound by J. Green,,29,22
117,1,0:00.0,J. Green misses 3-pt jump shot from 58 ft,,29,22
118,1,0:00.0,Offensive rebound by Team,,29,22
119,2,11:44.0,K. Korver misses 3-pt jump shot from 26 ft,,29,22
120,2,11:40.0,,Defensive rebound by B. Simmons,29,22
121,2,11:28.0,,J. Embiid misses 2-pt layup from 1 ft,29,22
122,2,11:26.0,,Offensive rebound by J. Embiid,29,22
123,2,11:25.0,,J. Embiid makes 2-pt dunk from 1 ft,29,24
124,2,11:05.0,D. Wade makes 2-pt jump shot from 5 ft,,31,24
125,2,10:50.0,,J. Redick misses 2-pt jump shot from 22 ft,31,24
126,2,10:46.0,,Offensive rebound by D. Šarić,31,24
127,2,10:36.0,,D. Šarić misses 2-pt jump shot from 21 ft,31,24
128,2,10:34.0,Defensive rebound by C. Frye,,31,24
129,2,10:27.0,D. Wade makes 2-pt layup at rim,,33,24
