,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by T. Gibson),0,2
1,1,11:21.0,Shooting foul by K. Towns (drawn by J. Embiid),,0,2
2,1,11:14.0,R. Holmes makes 2-pt jump shot from 11 ft (assist by D. Šarić),,2,2
3,1,10:51.0,,J. Butler misses 2-pt jump shot from 7 ft,2,2
4,1,10:51.0,Defensive rebound by R. Holmes,,2,2
5,1,10:39.0,J. Redick misses 3-pt jump shot from 25 ft,,2,2
6,1,10:37.0,,Defensive rebound by K. Towns,2,2
7,1,10:35.0,,Shooting foul by J. Redick (drawn by J. Butler),2,2
8,1,10:35.0,,J. Butler makes free throw 1 of 2,2,3
9,1,10:35.0,,J. Butler makes free throw 2 of 2,2,4
10,1,10:25.0,Turnover by J. Redick (bad pass; steal by A. Wiggins),,2,4
11,1,10:21.0,,J. Teague misses 3-pt jump shot from 25 ft,2,4
12,1,10:20.0,,Offensive rebound by T. Gibson,2,4
13,1,10:14.0,,T. Gibson misses 2-pt layup at rim,2,4
14,1,10:13.0,Defensive rebound by D. Šarić,,2,4
15,1,10:10.0,R. Holmes makes 2-pt dunk at rim (assist by B. Simmons),,4,4
16,1,9:52.0,,J. Butler makes 2-pt layup at rim (assist by K. Towns),4,6
17,1,9:37.0,Turnover by B. Simmons (offensive goaltending),,4,6
18,1,9:18.0,,K. Towns makes 2-pt hook shot from 6 ft,4,8
19,1,9:08.0,Turnover by R. Holmes (bad pass; steal by K. Towns),,4,8
20,1,9:04.0,,A. Wiggins misses 2-pt layup from 2 ft,4,8
21,1,9:03.0,,Offensive rebound by J. Butler,4,8
22,1,9:03.0,,J. Butler makes 2-pt dunk at rim,4,10
23,1,9:03.0,Philadelphia full timeout,,4,10
24,1,8:51.0,J. Embiid makes 2-pt dunk at rim (assist by R. Holmes),,6,10
25,1,8:32.0,,A. Wiggins misses 3-pt jump shot from 22 ft,6,10
26,1,8:29.0,Defensive rebound by R. Holmes,,6,10
27,1,8:21.0,J. Embiid makes 2-pt jump shot from 11 ft,,8,10
28,1,8:10.0,,K. Towns misses 3-pt jump shot from 24 ft,8,10
29,1,8:07.0,Defensive rebound by R. Holmes,,8,10
30,1,7:55.0,R. Holmes misses 2-pt layup from 1 ft,,8,10
31,1,7:52.0,,Defensive rebound by T. Gibson,8,10
32,1,7:49.0,,Shooting foul by J. Redick (drawn by A. Wiggins),8,10
33,1,7:49.0,,A. Wiggins makes free throw 1 of 2,8,11
34,1,7:49.0,T. McConnell enters the game for J. Redick,,8,11
35,1,7:49.0,,A. Wiggins misses free throw 2 of 2,8,11
36,1,7:47.0,Defensive rebound by T. McConnell,,8,11
37,1,7:31.0,B. Simmons misses 2-pt layup at rim,,8,11
38,1,7:26.0,,Defensive rebound by J. Teague,8,11
39,1,7:10.0,,T. Gibson misses 3-pt jump shot from 23 ft,8,11
40,1,7:10.0,Defensive rebound by R. Holmes,,8,11
41,1,7:04.0,D. Šarić misses 3-pt jump shot from 24 ft,,8,11
42,1,7:00.0,Offensive rebound by T. McConnell,,8,11
43,1,6:58.0,D. Šarić misses 3-pt jump shot from 24 ft,,8,11
44,1,6:58.0,,Defensive rebound by K. Towns,8,11
45,1,6:47.0,,J. Teague makes 2-pt jump shot from 9 ft,8,13
46,1,6:32.0,Turnover by D. Šarić (bad pass),,8,13
47,1,6:32.0,A. Johnson enters the game for J. Embiid,,8,13
48,1,6:32.0,T. Booker enters the game for R. Holmes,,8,13
49,1,6:18.0,,A. Wiggins misses 2-pt jump shot from 20 ft,8,13
50,1,6:12.0,Defensive rebound by B. Simmons,,8,13
51,1,6:06.0,T. McConnell makes 2-pt jump shot from 9 ft,,10,13
