,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),0,2
1,1,11:22.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by D. Šarić),,2,2
2,1,11:08.0,,K. Middleton misses 2-pt jump shot from 16 ft,2,2
3,1,11:05.0,Defensive rebound by R. Covington,,2,2
4,1,11:02.0,D. Šarić misses 3-pt jump shot from 26 ft,,2,2
5,1,10:56.0,Offensive rebound by A. Johnson,,2,2
6,1,10:48.0,D. Šarić makes 2-pt layup from 1 ft,,4,2
7,1,10:38.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),4,4
8,1,10:27.0,A. Johnson makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),,6,4
9,1,10:19.0,,K. Middleton misses 3-pt jump shot from 26 ft,6,4
10,1,10:16.0,,Offensive rebound by M. Brogdon,6,4
11,1,10:01.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,6,4
12,1,9:58.0,Defensive rebound by D. Šarić,,6,4
13,1,9:53.0,Personal foul by M. Brogdon (drawn by R. Covington),,6,4
14,1,9:50.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by R. Covington),,8,4
15,1,9:38.0,,Personal foul by T. Luwawu-Cabarrot (drawn by E. Bledsoe),8,4
16,1,9:32.0,,E. Bledsoe makes 2-pt jump shot from 19 ft,8,6
17,1,9:28.0,Shooting foul by E. Bledsoe (drawn by T. Luwawu-Cabarrot),,8,6
18,1,9:28.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,9,6
19,1,9:28.0,,T. Snell enters the game for E. Bledsoe,9,6
20,1,9:28.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,10,6
21,1,9:03.0,,K. Middleton makes 2-pt jump shot from 14 ft,10,8
22,1,8:56.0,D. Šarić misses 3-pt jump shot from 27 ft,,10,8
23,1,8:53.0,,Defensive rebound by G. Antetokounmpo,10,8
24,1,8:50.0,,M. Brogdon misses 3-pt jump shot from 26 ft,10,8
25,1,8:46.0,Defensive rebound by A. Johnson,,10,8
26,1,8:40.0,D. Šarić misses 3-pt jump shot from 27 ft,,10,8
27,1,8:36.0,,Defensive rebound by G. Antetokounmpo,10,8
28,1,8:30.0,,T. Snell misses 3-pt jump shot from 22 ft,10,8
29,1,8:27.0,Defensive rebound by R. Covington,,10,8
30,1,8:11.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),,12,8
