,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:46.0,Shooting foul by B. Ingram (drawn by J. Martin),,0,0
1,1,11:46.0,J. Martin makes free throw 1 of 2,,1,0
2,1,11:46.0,J. Martin makes free throw 2 of 2,,2,0
3,1,11:23.0,,B. Ingram makes 2-pt jump shot from 11 ft,2,2
4,1,10:57.0,A. Harrison misses 3-pt jump shot from 24 ft,,2,2
5,1,10:53.0,,Defensive rebound by A. Bogut,2,2
6,1,10:47.0,,Turnover by B. Ingram (bad pass),2,2
7,1,10:31.0,M. Gasol misses 2-pt jump shot from 13 ft,,2,2
8,1,10:27.0,Offensive rebound by Team,,2,2
9,1,10:16.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by T. Evans),,4,2
10,1,10:02.0,,Offensive foul by A. Bogut (drawn by A. Harrison),4,2
11,1,10:02.0,,Turnover by A. Bogut (offensive foul),4,2
12,1,9:50.0,J. Martin misses 2-pt jump shot from 13 ft,,4,2
13,1,9:44.0,,Defensive rebound by A. Bogut,4,2
14,1,9:37.0,,Personal foul by A. Harrison (drawn by K. Kuzma),4,2
15,1,9:31.0,,B. Ingram misses 2-pt layup from 2 ft,4,2
16,1,9:28.0,,Offensive rebound by A. Bogut,4,2
17,1,9:23.0,,J. Clarkson misses 2-pt jump shot from 11 ft,4,2
18,1,9:19.0,Defensive rebound by T. Evans,,4,2
19,1,9:15.0,D. Brooks misses 3-pt jump shot from 25 ft,,4,2
20,1,9:12.0,,Defensive rebound by A. Bogut,4,2
21,1,9:04.0,,K. Kuzma misses 2-pt layup from 2 ft,4,2
22,1,9:04.0,Defensive rebound by Team,,4,2
23,1,8:46.0,J. Martin makes 2-pt layup from 1 ft (assist by T. Evans),,6,2
24,1,8:24.0,,K. Kuzma misses 3-pt jump shot from 23 ft,6,2
25,1,8:20.0,Defensive rebound by J. Martin,,6,2
26,1,7:59.0,Turnover by Team (shot clock),,6,2
27,1,7:48.0,,K. Kuzma misses 2-pt hook shot from 8 ft (block by M. Gasol),6,2
