,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,M. Morris makes 2-pt layup from 4 ft (assist by M. Gortat),0,2
1,1,11:13.0,E. Freedom makes 2-pt layup from 1 ft,,2,2
2,1,11:00.0,,Turnover by M. Gortat (traveling),2,2
3,1,10:52.0,Personal foul by M. Morris (drawn by K. Porziņģis),,2,2
4,1,10:40.0,E. Freedom misses 2-pt jump shot from 19 ft,,2,2
5,1,10:38.0,,Defensive rebound by B. Beal,2,2
6,1,10:29.0,,M. Gortat makes 2-pt jump shot from 13 ft (assist by J. Wall),2,4
7,1,10:17.0,E. Freedom makes 2-pt layup from 2 ft (assist by J. Jack),,4,4
8,1,9:55.0,,M. Gortat makes 2-pt hook shot from 5 ft,4,6
9,1,9:38.0,Turnover by E. Freedom (lost ball; steal by M. Gortat),,4,6
10,1,9:29.0,,O. Porter misses 3-pt jump shot from 24 ft,4,6
11,1,9:26.0,Defensive rebound by K. Porziņģis,,4,6
12,1,9:17.0,J. Jack makes 2-pt layup from 1 ft,,6,6
13,1,8:56.0,,O. Porter makes 3-pt jump shot from 25 ft,6,9
14,1,8:38.0,Turnover by C. Lee (bad pass; steal by O. Porter),,6,9
15,1,8:37.0,Violation by J. Jack (kicked ball),,6,9
16,1,8:30.0,,B. Beal makes 2-pt layup from 1 ft,6,11
17,1,8:17.0,J. Jack misses 2-pt jump shot from 4 ft,,6,11
18,1,8:17.0,Offensive rebound by E. Freedom,,6,11
19,1,8:17.0,E. Freedom makes 2-pt layup from 2 ft,,8,11
20,1,8:17.0,Shooting foul by M. Gortat (drawn by E. Freedom),,8,11
21,1,8:17.0,E. Freedom misses free throw 1 of 1,,8,11
22,1,8:13.0,,Defensive rebound by M. Gortat,8,11
23,1,8:04.0,,M. Gortat makes 2-pt jump shot from 12 ft (assist by B. Beal),8,13
24,1,7:49.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by E. Freedom),,10,13
25,1,7:37.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),10,15
