,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:42.0,B. Lopez makes 2-pt layup from 5 ft (assist by L. Ball),,2,0
1,1,11:23.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by D. Collison),2,2
2,1,11:05.0,J. Randle makes 2-pt layup from 6 ft (assist by L. Ball),,4,2
3,1,10:45.0,,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),4,5
4,1,10:30.0,B. Lopez makes 2-pt jump shot from 5 ft,,6,5
5,1,10:13.0,,M. Turner misses 2-pt jump shot from 10 ft,6,5
6,1,10:10.0,Defensive rebound by K. Kuzma,,6,5
7,1,10:08.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,6,5
8,1,10:05.0,Offensive rebound by K. Kuzma,,6,5
9,1,10:04.0,K. Kuzma makes 2-pt jump shot from 18 ft,,8,5
10,1,9:47.0,,Shooting foul by J. Randle (drawn by M. Turner),8,5
11,1,9:47.0,,M. Turner makes free throw 1 of 2,8,6
12,1,9:47.0,,M. Turner makes free throw 2 of 2,8,7
13,1,9:28.0,J. Randle misses 2-pt layup from 3 ft,,8,7
14,1,9:26.0,,Defensive rebound by T. Young,8,7
15,1,9:18.0,,M. Turner misses 2-pt jump shot from 20 ft,8,7
16,1,9:14.0,Defensive rebound by J. Randle,,8,7
17,1,9:04.0,B. Lopez misses 3-pt jump shot from 30 ft,,8,7
18,1,9:02.0,,Defensive rebound by B. Bogdanović,8,7
19,1,8:56.0,,V. Oladipo makes 2-pt jump shot from 16 ft,8,9
20,1,8:46.0,B. Lopez makes 2-pt layup from 1 ft (assist by L. Ball),,10,9
21,1,8:34.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,10,9
22,1,8:30.0,,Offensive rebound by T. Young,10,9
23,1,8:28.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),10,11
24,1,8:28.0,Violation by K. Kuzma (def goaltending),,10,11
25,1,8:19.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,13,11
26,1,8:01.0,,T. Young makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),13,13
27,1,7:51.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by J. Randle),,16,13
28,1,7:34.0,,D. Collison misses 2-pt layup at rim,16,13
29,1,7:32.0,Defensive rebound by B. Lopez,,16,13
30,1,7:28.0,J. Randle makes 2-pt layup from 1 ft (assist by L. Ball),,18,13
31,1,7:19.0,,Indiana full timeout,18,13
32,1,7:12.0,,T. Young makes 2-pt jump shot from 8 ft (assist by D. Collison),18,15
33,1,6:51.0,K. Kuzma misses 3-pt jump shot from 27 ft,,18,15
34,1,6:49.0,,Defensive rebound by Team,18,15
35,1,6:49.0,Loose ball foul by L. Ball (drawn by T. Young),,18,15
36,1,6:31.0,,M. Turner makes 2-pt layup at rim (assist by D. Collison),18,17
37,1,6:09.0,J. Randle makes 2-pt hook shot from 6 ft,,20,17
38,1,6:09.0,Shooting foul by M. Turner (drawn by J. Randle),,20,17
39,1,6:09.0,J. Randle misses free throw 1 of 1,,20,17
40,1,6:09.0,,Defensive rebound by B. Bogdanović,20,17
41,1,5:51.0,,T. Young misses 2-pt hook shot from 6 ft,20,17
42,1,5:48.0,Defensive rebound by J. Randle,,20,17
43,1,5:40.0,Turnover by J. Randle (lost ball; steal by D. Collison),,20,17
44,1,5:26.0,,T. Young makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),20,19
45,1,5:25.0,LA Lakers full timeout,,20,19
46,1,5:25.0,,A. Jefferson enters the game for M. Turner,20,19
47,1,5:11.0,J. Randle makes 2-pt dunk from 2 ft (assist by L. Ball),,22,19
48,1,4:54.0,,V. Oladipo misses 2-pt jump shot from 6 ft,22,19
49,1,4:52.0,Defensive rebound by K. Kuzma,,22,19
50,1,4:45.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Randle),,25,19
51,1,4:27.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,25,19
52,1,4:24.0,Defensive rebound by L. Ball,,25,19
53,1,4:19.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),,28,19
54,1,4:01.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),28,21
55,1,3:46.0,Turnover by L. Ball (bad pass; steal by A. Jefferson),,28,21
56,1,3:41.0,,Shooting foul by J. Randle (drawn by B. Bogdanović),28,21
57,1,3:41.0,,B. Bogdanović makes free throw 1 of 2,28,22
58,1,3:41.0,,C. Joseph enters the game for D. Collison,28,22
59,1,3:41.0,,T. Booker enters the game for T. Young,28,22
60,1,3:41.0,I. Thomas enters the game for B. Lopez,,28,22
61,1,3:41.0,,B. Bogdanović makes free throw 2 of 2,28,23
62,1,3:26.0,I. Thomas misses 3-pt jump shot from 30 ft,,28,23
63,1,3:23.0,,Defensive rebound by T. Booker,28,23
64,1,3:17.0,,V. Oladipo misses 2-pt jump shot from 20 ft,28,23
65,1,3:13.0,Defensive rebound by Team,,28,23
66,1,3:13.0,B. Lopez enters the game for J. Randle,,28,23
67,1,3:01.0,B. Lopez makes 2-pt layup from 6 ft (assist by I. Thomas),,30,23
68,1,2:44.0,,A. Jefferson misses 2-pt layup at rim,30,23
69,1,2:42.0,Defensive rebound by L. Ball,,30,23
70,1,2:39.0,K. Kuzma misses 3-pt jump shot from 26 ft,,30,23
71,1,2:35.0,,Defensive rebound by V. Oladipo,30,23
72,1,2:28.0,,Personal foul by K. Kuzma (drawn by V. Oladipo),30,23
73,1,2:28.0,T. Wear enters the game for K. Kuzma,,30,23
74,1,2:19.0,,Turnover by V. Oladipo (bad pass; steal by L. Ball),30,23
75,1,2:14.0,Personal foul by V. Oladipo (drawn by K. Caldwell-Pope),,30,23
76,1,2:14.0,,L. Stephenson enters the game for B. Bogdanović,30,23
77,1,2:10.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by B. Lopez),,33,23
78,1,1:53.0,,Personal block foul by I. Thomas (drawn by C. Joseph),33,23
79,1,1:53.0,,C. Joseph makes free throw 1 of 2,33,24
80,1,1:53.0,,C. Joseph makes free throw 2 of 2,33,25
81,1,1:42.0,B. Lopez misses 2-pt jump shot from 16 ft,,33,25
82,1,1:39.0,,Defensive rebound by T. Booker,33,25
83,1,1:18.0,,V. Oladipo misses 2-pt jump shot from 7 ft,33,25
84,1,1:15.0,Defensive rebound by T. Wear,,33,25
85,1,1:03.0,I. Thomas makes 2-pt jump shot from 18 ft,,35,25
86,1,0:46.0,,A. Jefferson misses 2-pt layup from 6 ft,35,25
87,1,0:43.0,Defensive rebound by I. Thomas,,35,25
88,1,0:39.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,35,25
89,1,0:37.0,Offensive rebound by B. Lopez,,35,25
90,1,0:37.0,B. Lopez makes 2-pt layup at rim,,37,25
91,1,0:33.0,,Shooting foul by T. Wear (drawn by A. Jefferson),37,25
92,1,0:33.0,,A. Jefferson makes free throw 1 of 2,37,26
93,1,0:33.0,,A. Jefferson makes free throw 2 of 2,37,27
94,1,0:23.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. Joseph),,37,27
95,1,0:01.0,,V. Oladipo makes 2-pt jump shot from 19 ft,37,29
96,2,11:43.0,,A. Jefferson makes 2-pt jump shot from 6 ft,37,31
97,2,11:29.0,Shooting foul by C. Joseph (drawn by I. Thomas),,37,31
98,2,11:29.0,I. Thomas misses free throw 1 of 2,,37,31
99,2,11:29.0,Offensive rebound by Team,,37,31
100,2,11:29.0,I. Thomas makes free throw 2 of 2,,38,31
101,2,11:18.0,,L. Stephenson misses 2-pt jump shot from 17 ft,38,31
102,2,11:16.0,Defensive rebound by T. Ennis,,38,31
103,2,11:12.0,T. Wear misses 3-pt jump shot from 26 ft,,38,31
104,2,11:07.0,Offensive rebound by I. Zubac,,38,31
105,2,11:07.0,I. Zubac makes 2-pt layup at rim,,40,31
106,2,11:01.0,,Shooting foul by T. Ennis (drawn by L. Stephenson),40,31
107,2,11:01.0,,L. Stephenson makes free throw 1 of 2,40,32
108,2,11:01.0,,L. Stephenson makes free throw 2 of 2,40,33
109,2,10:48.0,I. Zubac misses 2-pt layup from 1 ft (block by A. Jefferson),,40,33
110,2,10:47.0,Offensive rebound by Team,,40,33
111,2,10:40.0,I. Thomas misses 2-pt jump shot from 4 ft (block by A. Jefferson),,40,33
112,2,10:37.0,,Defensive rebound by L. Stephenson,40,33
113,2,10:34.0,,C. Joseph misses 3-pt jump shot from 25 ft,40,33
114,2,10:31.0,Defensive rebound by K. Kuzma,,40,33
115,2,10:26.0,K. Kuzma makes 2-pt layup from 11 ft,,42,33
