,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:41.0,,K. Olynyk makes 2-pt layup from 4 ft (assist by J. Richardson),0,2
1,1,11:26.0,B. Biyombo misses 2-pt jump shot from 4 ft,,0,2
2,1,11:26.0,,Defensive rebound by G. Dragić,0,2
3,1,11:16.0,,J. Richardson misses 3-pt jump shot from 23 ft,0,2
4,1,11:11.0,Defensive rebound by J. Simmons,,0,2
5,1,10:56.0,E. Fournier misses 2-pt layup from 2 ft,,0,2
6,1,10:56.0,,Defensive rebound by H. Whiteside,0,2
7,1,10:38.0,,H. Whiteside misses 2-pt hook shot from 4 ft (block by B. Biyombo),0,2
8,1,10:38.0,Defensive rebound by B. Biyombo,,0,2
9,1,10:32.0,E. Payton makes 2-pt layup from 2 ft,,2,2
10,1,10:22.0,Personal foul by H. Whiteside (drawn by J. Simmons),,2,2
11,1,10:22.0,,Turnover by H. Whiteside (turnover),2,2
12,1,10:09.0,M. Hezonja makes 2-pt jump shot from 6 ft (assist by E. Fournier),,4,2
13,1,9:48.0,,G. Dragić misses 2-pt jump shot from 5 ft,4,2
14,1,9:45.0,Defensive rebound by B. Biyombo,,4,2
15,1,9:41.0,B. Biyombo misses 2-pt dunk from 3 ft,,4,2
16,1,9:38.0,,Defensive rebound by J. Richardson,4,2
17,1,9:32.0,,Personal foul by E. Payton (drawn by J. Richardson),4,2
18,1,9:24.0,,J. Richardson makes 2-pt jump shot from 14 ft,4,4
19,1,9:08.0,E. Fournier makes 2-pt jump shot from 16 ft,,6,4
20,1,8:53.0,,G. Dragić misses 3-pt jump shot from 25 ft,6,4
21,1,8:49.0,Defensive rebound by B. Biyombo,,6,4
22,1,8:38.0,B. Biyombo misses 2-pt jump shot from 7 ft,,6,4
23,1,8:31.0,,Defensive rebound by K. Olynyk,6,4
24,1,8:29.0,,G. Dragić misses 2-pt layup from 3 ft,6,4
25,1,8:25.0,Defensive rebound by B. Biyombo,,6,4
26,1,8:16.0,B. Biyombo misses 2-pt hook shot from 5 ft,,6,4
27,1,8:13.0,,Defensive rebound by H. Whiteside,6,4
28,1,8:07.0,,Shooting foul by B. Biyombo (drawn by T. Johnson),6,4
29,1,8:07.0,,T. Johnson makes free throw 1 of 2,6,5
30,1,8:07.0,,T. Johnson makes free throw 2 of 2,6,6
31,1,8:02.0,E. Fournier makes 2-pt jump shot from 7 ft,,8,6
32,1,7:46.0,,T. Johnson makes 2-pt jump shot from 20 ft,8,8
33,1,7:28.0,E. Payton misses 2-pt jump shot from 16 ft,,8,8
34,1,7:24.0,,Defensive rebound by K. Olynyk,8,8
35,1,7:18.0,,J. Richardson makes 2-pt jump shot from 16 ft,8,10
