,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
0,1,11:40.0,J. McGee makes 2-pt layup from 1 ft (assist by Q. Cook),,2,0
1,1,11:24.0,,M. Turner misses 3-pt jump shot from 27 ft,2,0
2,1,11:20.0,Defensive rebound by K. Durant,,2,0
3,1,11:10.0,Q. Cook misses 2-pt jump shot from 19 ft,,2,0
4,1,11:07.0,Offensive rebound by J. McGee,,2,0
5,1,11:04.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),,5,0
6,1,10:46.0,,B. Bogdanović makes 2-pt layup at rim,5,2
7,1,10:31.0,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),,7,2
8,1,10:17.0,,Turnover by M. Turner (lost ball; steal by K. Durant),7,2
9,1,10:15.0,Turnover by K. Durant (lost ball; steal by T. Young),,7,2
10,1,10:11.0,,D. Collison makes 2-pt jump shot from 22 ft (assist by T. Young),7,4
11,1,9:51.0,Turnover by Q. Cook (bad pass; steal by D. Collison),,7,4
12,1,9:47.0,,Turnover by B. Bogdanović (bad pass; steal by K. Durant),7,4
13,1,9:42.0,K. Durant makes 2-pt layup from 1 ft,,9,4
14,1,9:31.0,,V. Oladipo makes 2-pt jump shot from 14 ft,9,6
15,1,9:12.0,K. Durant misses 3-pt jump shot from 27 ft,,9,6
16,1,9:09.0,,Defensive rebound by V. Oladipo,9,6
17,1,8:53.0,,T. Young makes 2-pt hook shot from 4 ft,9,8
18,1,8:53.0,Violation by J. McGee (def goaltending),,9,8
19,1,8:34.0,Turnover by J. McGee (bad pass),,9,8
20,1,8:11.0,,T. Young makes 2-pt layup at rim (assist by V. Oladipo),9,10
21,1,8:02.0,Personal foul by T. Young (drawn by D. Green),,9,10
22,1,7:52.0,K. Thompson misses 3-pt jump shot from 27 ft,,9,10
23,1,7:48.0,,Defensive rebound by B. Bogdanović,9,10
24,1,7:37.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),9,13
25,1,7:23.0,Turnover by D. Green (lost ball; steal by T. Young),,9,13
26,1,7:19.0,,D. Collison makes 2-pt layup at rim (assist by V. Oladipo),9,15
27,1,7:19.0,,Shooting foul by Q. Cook (drawn by D. Collison),9,15
28,1,7:19.0,,D. Collison makes free throw 1 of 1,9,16
29,1,7:15.0,Shooting block foul by B. Bogdanović (drawn by D. Green),,9,16
30,1,7:15.0,D. Green makes free throw 1 of 2,,10,16
31,1,7:15.0,D. Green makes free throw 2 of 2,,11,16
32,1,7:05.0,,M. Turner misses 2-pt jump shot from 18 ft,11,16
33,1,7:03.0,,Offensive rebound by Team,11,16
34,1,6:57.0,,B. Bogdanović makes 2-pt layup at rim,11,18
35,1,6:50.0,Golden State full timeout,,11,18
36,1,6:31.0,Q. Cook misses 2-pt jump shot from 19 ft,,11,18
37,1,6:27.0,Offensive rebound by K. Thompson,,11,18
38,1,6:12.0,J. McGee makes 2-pt dunk from 2 ft (assist by D. Green),,13,18
39,1,5:55.0,,T. Young misses 2-pt layup from 3 ft,13,18
40,1,5:53.0,Defensive rebound by J. McGee,,13,18
41,1,5:49.0,K. Durant makes 2-pt jump shot from 14 ft,,15,18
42,1,5:31.0,,M. Turner makes 2-pt layup at rim (assist by T. Young),15,20
43,1,5:01.0,Q. Cook misses 2-pt jump shot from 18 ft,,15,20
44,1,4:58.0,,Defensive rebound by B. Bogdanović,15,20
45,1,4:49.0,,Turnover by B. Bogdanović (lost ball; steal by Q. Cook),15,20
46,1,4:43.0,K. Durant misses 2-pt layup from 3 ft,,15,20
47,1,4:40.0,,Defensive rebound by V. Oladipo,15,20
48,1,4:37.0,,Turnover by V. Oladipo (bad pass),15,20
49,1,4:37.0,D. Jones enters the game for D. Green,,15,20
50,1,4:37.0,K. Looney enters the game for J. McGee,,15,20
51,1,4:22.0,Turnover by K. Thompson (bad pass),,15,20
52,1,4:22.0,,D. Sabonis enters the game for T. Young,15,20
53,1,4:16.0,,Personal foul by K. Durant (drawn by B. Bogdanović),15,20
54,1,4:05.0,,B. Bogdanović misses 2-pt layup at rim,15,20
55,1,4:02.0,Defensive rebound by K. Thompson,,15,20
56,1,3:58.0,K. Durant misses 2-pt jump shot from 20 ft,,15,20
57,1,3:54.0,Offensive rebound by K. Looney,,15,20
58,1,3:43.0,K. Durant makes 2-pt jump shot from 18 ft (assist by Q. Cook),,17,20
59,1,3:43.0,Shooting foul by B. Bogdanović (drawn by K. Durant),,17,20
60,1,3:43.0,,L. Stephenson enters the game for B. Bogdanović,17,20
61,1,3:43.0,N. Young enters the game for K. Thompson,,17,20
62,1,3:43.0,,C. Joseph enters the game for D. Collison,17,20
63,1,3:43.0,K. Durant makes free throw 1 of 1,,18,20
64,1,3:25.0,,Turnover by D. Sabonis (lost ball; steal by K. Looney),18,20
65,1,3:12.0,Q. Cook makes 3-pt jump shot from 22 ft (assist by K. Durant),,21,20
66,1,3:03.0,,Indiana full timeout,21,20
67,1,2:56.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by C. Joseph),21,22
68,1,2:40.0,K. Durant misses 3-pt jump shot from 25 ft,,21,22
69,1,2:37.0,,Defensive rebound by C. Joseph,21,22
70,1,2:24.0,,D. Sabonis misses 2-pt jump shot from 19 ft,21,22
71,1,2:22.0,Defensive rebound by K. Durant,,21,22
72,1,2:13.0,K. Looney makes 2-pt dunk from 2 ft (assist by D. Jones),,23,22
73,1,1:57.0,,V. Oladipo misses 2-pt jump shot from 18 ft,23,22
74,1,1:56.0,,Offensive rebound by Team,23,22
75,1,1:56.0,Loose ball foul by K. Looney (drawn by D. Sabonis),,23,22
76,1,1:56.0,,T. Booker enters the game for V. Oladipo,23,22
77,1,1:56.0,,G. Robinson enters the game for M. Turner,23,22
78,1,1:56.0,D. Green enters the game for Q. Cook,,23,22
79,1,1:44.0,,L. Stephenson makes 3-pt jump shot from 26 ft (assist by T. Booker),23,25
80,1,1:25.0,K. Durant misses 2-pt layup at rim,,23,25
81,1,1:22.0,,Defensive rebound by D. Sabonis,23,25
82,1,1:19.0,,T. Booker misses 2-pt layup from 1 ft,23,25
83,1,1:16.0,,Offensive rebound by D. Sabonis,23,25
84,1,1:16.0,,D. Sabonis misses 2-pt layup at rim,23,25
85,1,1:16.0,Defensive rebound by N. Young,,23,25
86,1,1:16.0,Personal foul by C. Joseph (drawn by K. Durant),,23,25
87,1,1:04.0,K. Durant misses 2-pt jump shot from 15 ft,,23,25
88,1,1:01.0,,Defensive rebound by L. Stephenson,23,25
89,1,0:46.0,,C. Joseph misses 3-pt jump shot from 24 ft,23,25
90,1,0:44.0,Defensive rebound by K. Durant,,23,25
91,1,0:33.0,D. Jones misses 2-pt jump shot from 3 ft (block by D. Sabonis),,23,25
92,1,0:30.0,,Defensive rebound by L. Stephenson,23,25
93,1,0:28.0,,G. Robinson makes 2-pt layup at rim (assist by L. Stephenson),23,27
94,1,0:11.0,D. Jones makes 2-pt layup from 2 ft (assist by K. Durant),,25,27
95,1,0:11.0,Shooting foul by C. Joseph (drawn by D. Jones),,25,27
96,1,0:11.0,S. Livingston enters the game for K. Durant,,25,27
97,1,0:11.0,D. Jones makes free throw 1 of 1,,26,27
98,1,0:02.0,,C. Joseph misses 2-pt jump shot from 17 ft,26,27
99,1,0:02.0,,Offensive rebound by T. Booker,26,27
100,2,11:48.0,,L. Stephenson misses 2-pt layup at rim,26,27
101,2,11:48.0,Defensive rebound by Team,,26,27
102,2,11:48.0,,Loose ball foul by T. Booker (drawn by D. West),26,27
103,2,11:33.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Livingston),,28,27
104,2,11:18.0,,Shooting foul by D. West (drawn by D. Sabonis),28,27
105,2,11:18.0,,D. Sabonis misses free throw 1 of 2,28,27
106,2,11:18.0,,Offensive rebound by Team,28,27
107,2,11:18.0,,D. Sabonis makes free throw 2 of 2,28,28
108,2,11:03.0,Turnover by S. Livingston (bad pass; steal by D. Sabonis),,28,28
109,2,10:42.0,,D. Sabonis misses 3-pt jump shot from 26 ft (block by S. Livingston),28,28
110,2,10:41.0,,L. Stephenson misses 2-pt layup from 2 ft,28,28
111,2,10:41.0,,Offensive rebound by L. Stephenson,28,28
112,2,10:40.0,,Offensive rebound by Team,28,28
113,2,10:40.0,,Turnover by Team (shot clock),28,28
114,2,10:32.0,S. Livingston makes 2-pt jump shot from 9 ft (assist by D. Green),,30,28
115,2,10:21.0,,Personal foul by D. West (drawn by D. Sabonis),30,28
116,2,10:09.0,,D. Sabonis misses 2-pt jump shot from 14 ft,30,28
117,2,10:06.0,Defensive rebound by K. Thompson,,30,28
118,2,9:56.0,S. Livingston misses 2-pt jump shot from 16 ft,,30,28
119,2,9:54.0,,Defensive rebound by D. Sabonis,30,28
120,2,9:46.0,,L. Stephenson makes 3-pt jump shot from 26 ft,30,31
121,2,9:29.0,K. Thompson misses 2-pt jump shot from 17 ft,,30,31
122,2,9:27.0,,Defensive rebound by D. Sabonis,30,31
123,2,9:17.0,,D. Sabonis makes 2-pt jump shot from 5 ft (assist by L. Stephenson),30,33
124,2,8:58.0,Personal foul by D. Sabonis (drawn by D. Green),,30,33
125,2,8:56.0,Turnover by S. Livingston (bad pass; steal by C. Joseph),,30,33
126,2,8:54.0,,C. Joseph makes 2-pt layup at rim,30,35
127,2,8:39.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Livingston),,33,35
128,2,8:25.0,,D. Sabonis misses 2-pt layup from 1 ft,33,35
129,2,8:22.0,Defensive rebound by N. Young,,33,35
130,2,8:19.0,K. Thompson misses 3-pt jump shot from 27 ft,,33,35
131,2,8:16.0,,Defensive rebound by T. Booker,33,35
132,2,8:07.0,J. Bell enters the game for D. Green,,33,35
133,2,8:07.0,,B. Bogdanović enters the game for G. Robinson,33,35
134,2,8:03.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),33,37
135,2,8:03.0,,Shooting foul by J. Bell (drawn by D. Sabonis),33,37
136,2,8:03.0,,D. Sabonis makes free throw 1 of 1,33,38
137,2,7:48.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. West),,36,38
138,2,7:35.0,,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by L. Stephenson),36,40
139,2,7:18.0,D. West misses 2-pt jump shot from 18 ft,,36,40
140,2,7:16.0,,Defensive rebound by L. Stephenson,36,40
141,2,7:12.0,,Shooting foul by D. West (drawn by L. Stephenson),36,40
142,2,7:12.0,,L. Stephenson misses free throw 1 of 2,36,40
143,2,7:12.0,,Offensive rebound by Team,36,40
144,2,7:12.0,,L. Stephenson makes free throw 2 of 2,36,41
145,2,6:54.0,N. Young misses 3-pt jump shot from 27 ft,,36,41
146,2,6:51.0,Offensive rebound by D. West,,36,41
147,2,6:50.0,Shooting foul by T. Booker (drawn by D. West),,36,41
148,2,6:50.0,,Indiana full timeout,36,41
149,2,6:50.0,,T. Young enters the game for T. Booker,36,41
150,2,6:50.0,Q. Cook enters the game for N. Young,,36,41
151,2,6:50.0,K. Durant enters the game for K. Thompson,,36,41
152,2,6:50.0,D. West makes free throw 1 of 2,,37,41
153,2,6:50.0,D. West makes free throw 2 of 2,,38,41
154,2,6:39.0,,D. Sabonis misses 2-pt layup from 2 ft (block by K. Durant),38,41
155,2,6:35.0,Defensive rebound by S. Livingston,,38,41
156,2,6:32.0,J. Bell makes 2-pt layup from 1 ft (assist by S. Livingston),,40,41
157,2,6:21.0,,T. Young misses 3-pt jump shot from 27 ft,40,41
158,2,6:18.0,Defensive rebound by S. Livingston,,40,41
159,2,6:11.0,Turnover by K. Durant (bad pass; steal by B. Bogdanović),,40,41
160,2,6:07.0,,L. Stephenson makes 2-pt dunk at rim (assist by D. Sabonis),40,43
161,2,5:56.0,S. Livingston misses 2-pt jump shot from 16 ft,,40,43
162,2,5:52.0,,Defensive rebound by D. Sabonis,40,43
163,2,5:49.0,,D. Collison enters the game for L. Stephenson,40,43
164,2,5:49.0,,V. Oladipo enters the game for C. Joseph,40,43
165,2,5:49.0,,M. Turner enters the game for D. Sabonis,40,43
166,2,5:49.0,K. Looney enters the game for D. West,,40,43
167,2,5:42.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),40,46
168,2,5:17.0,K. Looney makes 2-pt layup at rim (assist by Q. Cook),,42,46
169,2,5:17.0,,Violation by M. Turner (def goaltending),42,46
170,2,5:02.0,,T. Young makes 2-pt layup at rim (assist by V. Oladipo),42,48
171,2,4:53.0,J. Bell misses 2-pt jump shot from 17 ft,,42,48
172,2,4:52.0,,Defensive rebound by D. Collison,42,48
173,2,4:46.0,,D. Collison makes 2-pt jump shot from 17 ft,42,50
174,2,4:31.0,K. Durant misses 2-pt layup at rim,,42,50
175,2,4:29.0,,Defensive rebound by T. Young,42,50
176,2,4:25.0,,B. Bogdanović makes 2-pt jump shot from 1 ft (assist by T. Young),42,52
177,2,4:24.0,Golden State full timeout,,42,52
178,2,4:24.0,D. Green enters the game for J. Bell,,42,52
179,2,4:24.0,K. Thompson enters the game for S. Livingston,,42,52
180,2,4:13.0,D. Green makes 2-pt layup from 1 ft (assist by K. Looney),,44,52
181,2,3:57.0,,M. Turner misses 2-pt layup from 3 ft (block by D. Green),44,52
182,2,3:55.0,,Offensive rebound by T. Young,44,52
183,2,3:55.0,,T. Young makes 2-pt layup from 1 ft,44,54
184,2,3:38.0,K. Looney misses 2-pt layup at rim (block by T. Young),,44,54
185,2,3:35.0,Offensive rebound by K. Looney,,44,54
186,2,3:31.0,K. Durant misses 2-pt jump shot from 19 ft,,44,54
187,2,3:28.0,,Defensive rebound by D. Collison,44,54
188,2,3:15.0,,V. Oladipo makes 2-pt layup at rim,44,56
189,2,2:57.0,K. Durant misses 3-pt jump shot from 27 ft,,44,56
190,2,2:53.0,Offensive rebound by K. Thompson,,44,56
191,2,2:52.0,K. Thompson makes 2-pt jump shot from 13 ft,,46,56
192,2,2:36.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by V. Oladipo),46,59
193,2,2:18.0,K. Durant makes 2-pt jump shot from 18 ft,,48,59
194,2,1:55.0,,D. Collison misses 2-pt jump shot from 19 ft,48,59
195,2,1:51.0,,Offensive rebound by V. Oladipo,48,59
196,2,1:37.0,,V. Oladipo misses 2-pt jump shot from 9 ft,48,59
197,2,1:34.0,Defensive rebound by K. Durant,,48,59
198,2,1:25.0,Q. Cook misses 3-pt jump shot from 26 ft,,48,59
199,2,1:23.0,,Defensive rebound by T. Young,48,59
200,2,1:19.0,,L. Stephenson enters the game for B. Bogdanović,48,59
201,2,1:00.0,,V. Oladipo misses 2-pt jump shot from 18 ft,48,59
202,2,0:53.0,,Offensive rebound by D. Collison,48,59
203,2,0:52.0,,D. Collison misses 2-pt jump shot from 18 ft,48,59
204,2,0:52.0,,Offensive rebound by L. Stephenson,48,59
205,2,0:49.0,,L. Stephenson misses 2-pt layup at rim,48,59
206,2,0:48.0,Defensive rebound by K. Durant,,48,59
207,2,0:44.0,K. Thompson misses 3-pt jump shot from 27 ft,,48,59
208,2,0:42.0,,Defensive rebound by M. Turner,48,59
209,2,0:33.0,,V. Oladipo makes 3-pt jump shot from 29 ft (assist by D. Collison),48,62
210,2,0:20.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by Q. Cook),,51,62
211,2,0:02.0,,V. Oladipo misses 2-pt jump shot from 17 ft,51,62
212,2,0:02.0,,Offensive rebound by T. Young,51,62
213,3,11:45.0,,M. Turner makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),51,64
