,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,O. Porter makes 2-pt jump shot from 18 ft,0,2
1,1,11:27.0,D. Howard misses 2-pt jump shot from 16 ft,,0,2
2,1,11:23.0,,Defensive rebound by M. Morris,0,2
3,1,11:08.0,,Turnover by M. Morris (bad pass; steal by D. Howard),0,2
4,1,11:02.0,K. Walker misses 3-pt jump shot from 30 ft,,0,2
5,1,10:58.0,,Defensive rebound by O. Porter,0,2
6,1,10:48.0,,M. Gortat misses 2-pt layup from 5 ft,0,2
7,1,10:46.0,,Offensive rebound by O. Porter,0,2
8,1,10:44.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by O. Porter),0,5
9,1,10:22.0,D. Howard misses 2-pt jump shot from 11 ft,,0,5
10,1,10:20.0,,Defensive rebound by B. Beal,0,5
11,1,10:10.0,,M. Morris misses 3-pt jump shot from 23 ft,0,5
12,1,10:06.0,Defensive rebound by D. Howard,,0,5
13,1,9:55.0,Turnover by K. Walker (bad pass; steal by M. Morris),,0,5
14,1,9:54.0,,Turnover by M. Morris (bad pass),0,5
15,1,9:44.0,M. Williams misses 2-pt jump shot from 8 ft,,0,5
16,1,9:41.0,Offensive rebound by N. Batum,,0,5
17,1,9:41.0,N. Batum misses 2-pt layup at rim,,0,5
18,1,9:41.0,,Defensive rebound by M. Gortat,0,5
19,1,9:33.0,,B. Beal misses 2-pt jump shot from 18 ft,0,5
20,1,9:30.0,Defensive rebound by M. Williams,,0,5
21,1,9:25.0,N. Batum makes 2-pt jump shot from 18 ft,,2,5
22,1,8:58.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),2,7
23,1,8:44.0,D. Howard makes 2-pt dunk from 1 ft (assist by M. Williams),,4,7
24,1,8:33.0,,Personal foul by M. Kidd-Gilchrist (drawn by B. Beal),4,7
25,1,8:25.0,,J. Wall misses 3-pt jump shot from 25 ft,4,7
26,1,8:22.0,Defensive rebound by D. Howard,,4,7
27,1,8:10.0,Turnover by M. Williams (bad pass; steal by O. Porter),,4,7
28,1,8:05.0,,B. Beal misses 2-pt jump shot from 8 ft,4,7
29,1,8:02.0,Defensive rebound by M. Kidd-Gilchrist,,4,7
30,1,7:50.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by N. Batum),,6,7
31,1,7:39.0,,Turnover by B. Beal (bad pass; steal by N. Batum),6,7
32,1,7:35.0,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),,6,7
33,1,7:35.0,M. Kidd-Gilchrist makes free throw 1 of 2,,7,7
34,1,7:35.0,M. Kidd-Gilchrist makes free throw 2 of 2,,8,7
35,1,7:27.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),8,10
36,1,7:10.0,N. Batum misses 2-pt jump shot from 19 ft,,8,10
37,1,7:07.0,,Defensive rebound by M. Morris,8,10
38,1,6:59.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),8,13
39,1,6:39.0,Turnover by N. Batum (bad pass; steal by B. Beal),,8,13
