,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:43.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),,3,0
1,1,11:26.0,,W. Chandler misses 2-pt layup from 3 ft (block by A. Gordon),3,0
2,1,11:26.0,,Offensive rebound by Team,3,0
3,1,11:19.0,,J. Murray misses 3-pt jump shot from 26 ft,3,0
4,1,11:16.0,,Offensive rebound by N. Jokić,3,0
5,1,11:13.0,,J. Murray misses 2-pt layup from 4 ft,3,0
6,1,11:13.0,,Offensive rebound by W. Chandler,3,0
7,1,11:13.0,,W. Chandler makes 2-pt layup from 2 ft,3,2
8,1,10:55.0,A. Gordon misses 3-pt jump shot from 22 ft,,3,2
9,1,10:53.0,,Defensive rebound by W. Barton,3,2
10,1,10:41.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by W. Chandler),3,5
11,1,10:26.0,N. Vučević misses 3-pt jump shot from 27 ft,,3,5
12,1,10:24.0,,Defensive rebound by W. Barton,3,5
13,1,10:09.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),3,8
14,1,9:51.0,Personal foul by P. Millsap (drawn by E. Fournier),,3,8
15,1,9:51.0,E. Fournier makes free throw 2 of 2,,4,8
16,1,9:51.0,E. Fournier makes free throw 1 of 2,,5,8
17,1,9:34.0,,W. Chandler misses 3-pt jump shot from 22 ft,5,8
18,1,9:34.0,Defensive rebound by Team,,5,8
19,1,9:19.0,T. Ross makes 3-pt jump shot from 23 ft (assist by S. Mack),,8,8
20,1,9:02.0,,W. Barton makes 2-pt layup from 4 ft,8,10
21,1,8:50.0,N. Vučević misses 2-pt jump shot from 16 ft,,8,10
22,1,8:48.0,,Defensive rebound by P. Millsap,8,10
23,1,8:40.0,,N. Jokić makes 2-pt layup from 4 ft (assist by P. Millsap),8,12
24,1,8:25.0,S. Mack misses 3-pt jump shot from 26 ft,,8,12
25,1,8:23.0,,Defensive rebound by W. Barton,8,12
26,1,8:16.0,,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),8,15
27,1,8:12.0,Orlando full timeout,,8,15
28,1,7:59.0,A. Gordon misses 3-pt jump shot from 25 ft,,8,15
29,1,7:56.0,Offensive rebound by N. Vučević,,8,15
30,1,7:50.0,A. Gordon misses 3-pt jump shot from 23 ft,,8,15
31,1,7:46.0,,Defensive rebound by J. Murray,8,15
32,1,7:28.0,,J. Murray makes 2-pt jump shot from 16 ft,8,17
33,1,7:10.0,N. Vučević misses 2-pt layup from 2 ft,,8,17
34,1,7:08.0,,Defensive rebound by N. Jokić,8,17
35,1,7:00.0,,Turnover by W. Chandler (lost ball; steal by S. Mack),8,17
36,1,6:54.0,E. Fournier makes 2-pt layup from 7 ft,,10,17
37,1,6:35.0,,W. Chandler misses 3-pt jump shot from 22 ft,10,17
38,1,6:32.0,,Offensive rebound by P. Millsap,10,17
39,1,6:32.0,,Turnover by J. Murray (bad pass),10,17
40,1,6:13.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by S. Mack),,12,17
41,1,5:54.0,,W. Barton makes 3-pt jump shot from 22 ft (assist by N. Jokić),12,20
42,1,5:41.0,A. Gordon misses 2-pt layup from 2 ft,,12,20
43,1,5:38.0,,Defensive rebound by W. Chandler,12,20
44,1,5:34.0,Offensive charge foul by W. Chandler (drawn by N. Vučević),,12,20
45,1,5:34.0,,Turnover by W. Chandler (offensive foul),12,20
46,1,5:34.0,J. Simmons enters the game for T. Ross,,12,20
47,1,5:20.0,E. Fournier makes 2-pt layup from 2 ft,,14,20
48,1,5:07.0,,W. Chandler misses 3-pt jump shot from 22 ft,14,20
49,1,5:03.0,Defensive rebound by A. Gordon,,14,20
50,1,4:56.0,Turnover by N. Vučević (bad pass),,14,20
51,1,4:56.0,,M. Plumlee enters the game for N. Jokić,14,20
52,1,4:56.0,,E. Mudiay enters the game for W. Chandler,14,20
53,1,4:39.0,,P. Millsap makes 2-pt hook shot from 11 ft (assist by M. Plumlee),14,22
54,1,4:20.0,S. Mack makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,22
55,1,4:05.0,,Turnover by E. Mudiay (bad pass; steal by E. Fournier),17,22
56,1,4:01.0,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),,19,22
57,1,4:00.0,,Denver full timeout,19,22
58,1,4:00.0,J. Isaac enters the game for S. Mack,,19,22
