,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,Turnover by R. Lopez (lost ball; steal by J. Holiday),,0,0
1,1,11:25.0,,R. Rondo misses 3-pt jump shot from 23 ft,0,0
2,1,11:22.0,Defensive rebound by Z. LaVine,,0,0
3,1,11:16.0,Z. LaVine misses 2-pt jump shot from 19 ft,,0,0
4,1,11:12.0,,Defensive rebound by D. Cousins,0,0
5,1,10:53.0,,D. Cousins misses 3-pt jump shot from 25 ft,0,0
6,1,10:53.0,Defensive rebound by Z. LaVine,,0,0
7,1,10:33.0,J. Holiday makes 2-pt layup from 2 ft (assist by R. Lopez),,2,0
8,1,10:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,2,0
9,1,10:20.0,Defensive rebound by Z. LaVine,,2,0
10,1,10:11.0,J. Holiday makes 2-pt layup from 1 ft (assist by Z. LaVine),,4,0
11,1,9:59.0,,A. Davis misses 2-pt layup from 1 ft,4,0
12,1,9:59.0,Defensive rebound by L. Markkanen,,4,0
13,1,9:52.0,J. Holiday misses 3-pt jump shot from 22 ft,,4,0
14,1,9:48.0,,Defensive rebound by A. Davis,4,0
15,1,9:40.0,,A. Davis makes 2-pt layup from 1 ft (assist by D. Cousins),4,2
16,1,9:17.0,J. Grant makes 3-pt jump shot from 25 ft,,7,2
17,1,9:00.0,,E. Moore misses 2-pt jump shot from 15 ft,7,2
18,1,9:00.0,,Offensive rebound by D. Cousins,7,2
19,1,8:55.0,,D. Cousins misses 2-pt layup at rim,7,2
20,1,8:54.0,Defensive rebound by L. Markkanen,,7,2
21,1,8:51.0,Z. LaVine makes 2-pt dunk at rim (assist by L. Markkanen),,9,2
22,1,8:40.0,,R. Rondo makes 3-pt jump shot from 25 ft (assist by E. Moore),9,5
23,1,8:25.0,Z. LaVine misses 3-pt jump shot from 25 ft,,9,5
24,1,8:25.0,,Defensive rebound by Team,9,5
25,1,8:15.0,Violation by J. Holiday (kicked ball),,9,5
26,1,8:08.0,,D. Cousins misses 3-pt jump shot from 24 ft,9,5
27,1,8:08.0,Defensive rebound by L. Markkanen,,9,5
28,1,7:56.0,Z. LaVine makes 2-pt dunk at rim (assist by L. Markkanen),,11,5
29,1,7:37.0,,R. Rondo misses 3-pt jump shot from 24 ft,11,5
30,1,7:37.0,Defensive rebound by L. Markkanen,,11,5
31,1,7:20.0,J. Grant makes 2-pt jump shot from 12 ft,,13,5
32,1,7:05.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Cousins),13,8
33,1,6:50.0,L. Markkanen misses 3-pt jump shot from 25 ft (block by A. Davis),,13,8
34,1,6:50.0,,Defensive rebound by D. Cousins,13,8
35,1,6:45.0,,A. Davis misses 2-pt layup from 2 ft,13,8
36,1,6:45.0,Defensive rebound by J. Grant,,13,8
37,1,6:36.0,J. Holiday misses 3-pt jump shot from 23 ft,,13,8
38,1,6:36.0,,Defensive rebound by A. Davis,13,8
39,1,6:16.0,,A. Davis misses 2-pt layup from 1 ft,13,8
40,1,6:16.0,Defensive rebound by L. Markkanen,,13,8
41,1,6:08.0,L. Markkanen misses 2-pt layup from 4 ft,,13,8
42,1,6:08.0,,Defensive rebound by A. Davis,13,8
43,1,6:03.0,,E. Moore misses 3-pt jump shot from 23 ft,13,8
44,1,6:03.0,,Offensive rebound by J. Holiday,13,8
45,1,5:59.0,,E. Moore makes 2-pt layup at rim (assist by J. Holiday),13,10
46,1,5:59.0,Chicago full timeout,,13,10
47,1,5:59.0,D. Valentine enters the game for Z. LaVine,,13,10
48,1,5:41.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Grant),,15,10
49,1,5:21.0,,Turnover by D. Cousins (bad pass),15,10
50,1,5:09.0,Turnover by D. Valentine (bad pass; steal by D. Cousins),,15,10
51,1,5:03.0,,E. Moore misses 2-pt layup from 1 ft,15,10
52,1,5:01.0,Defensive rebound by L. Markkanen,,15,10
53,1,4:55.0,R. Lopez makes 2-pt dunk at rim (assist by J. Holiday),,17,10
54,1,4:44.0,,R. Rondo misses 2-pt jump shot from 18 ft,17,10
55,1,4:41.0,Defensive rebound by L. Markkanen,,17,10
56,1,4:30.0,Turnover by J. Holiday (bad pass; steal by E. Moore),,17,10
57,1,4:27.0,,Shooting block foul by L. Markkanen (drawn by D. Cousins),17,10
58,1,4:27.0,,D. Cousins makes free throw 1 of 2,17,11
59,1,4:27.0,,D. Miller enters the game for R. Rondo,17,11
60,1,4:27.0,,D. Cousins misses free throw 2 of 2,17,11
61,1,4:25.0,Defensive rebound by L. Markkanen,,17,11
62,1,4:15.0,L. Markkanen makes 2-pt dunk at rim (assist by R. Lopez),,19,11
63,1,3:49.0,,E. Moore misses 3-pt jump shot from 22 ft,19,11
64,1,3:46.0,Defensive rebound by L. Markkanen,,19,11
65,1,3:41.0,L. Markkanen misses 3-pt jump shot from 26 ft,,19,11
66,1,3:39.0,,Defensive rebound by D. Miller,19,11
67,1,3:36.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),19,13
68,1,3:16.0,R. Lopez misses 2-pt hook shot from 6 ft,,19,13
69,1,3:13.0,,Defensive rebound by D. Miller,19,13
70,1,3:09.0,,D. Cousins makes 3-pt jump shot from 27 ft (assist by J. Holiday),19,16
71,1,2:55.0,Turnover by J. Grant (lost ball; steal by E. Moore),,19,16
72,1,2:44.0,,E. Moore misses 2-pt jump shot from 4 ft (block by D. Valentine),19,16
73,1,2:41.0,Defensive rebound by J. Holiday,,19,16
74,1,2:36.0,J. Holiday misses 3-pt jump shot from 23 ft,,19,16
75,1,2:36.0,,Defensive rebound by D. Cousins,19,16
76,1,2:24.0,,Personal foul by J. Grant (drawn by A. Davis),19,16
77,1,2:24.0,,New Orleans full timeout,19,16
78,1,2:24.0,,I. Clark enters the game for D. Cousins,19,16
79,1,2:24.0,,J. Nelson enters the game for J. Holiday,19,16
80,1,2:24.0,,D. Cunningham enters the game for E. Moore,19,16
81,1,2:24.0,N. Mirotić enters the game for L. Markkanen,,19,16
82,1,2:24.0,B. Portis enters the game for R. Lopez,,19,16
83,1,2:14.0,,A. Davis makes 2-pt layup at rim (assist by D. Miller),19,18
84,1,2:02.0,B. Portis makes 2-pt hook shot from 7 ft,,21,18
85,1,1:38.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by A. Davis),21,21
86,1,1:38.0,,Shooting foul by J. Holiday (drawn by D. Miller),21,21
87,1,1:38.0,,D. Miller makes free throw 1 of 1,21,22
88,1,1:23.0,B. Portis misses 2-pt jump shot from 19 ft,,21,22
89,1,1:23.0,,Defensive rebound by D. Miller,21,22
90,1,1:02.0,,D. Miller misses 3-pt jump shot from 26 ft,21,22
91,1,1:02.0,Defensive rebound by D. Valentine,,21,22
92,1,0:53.0,Turnover by B. Portis (turnover),,21,22
93,1,0:53.0,R. Arcidiacono enters the game for J. Grant,,21,22
94,1,0:36.0,,D. Cunningham misses 3-pt jump shot from 24 ft,21,22
95,1,0:32.0,Defensive rebound by J. Holiday,,21,22
96,1,0:28.0,D. Valentine misses 3-pt jump shot from 25 ft,,21,22
97,1,0:25.0,,Defensive rebound by D. Cunningham,21,22
98,1,0:02.0,,J. Nelson makes 3-pt jump shot from 22 ft (assist by D. Miller),21,25
99,1,0:01.0,J. Holiday misses 3-pt jump shot from 48 ft,,21,25
100,1,0:00.0,Offensive rebound by Team,,21,25
101,2,11:45.0,,D. Cousins makes 2-pt layup from 1 ft,21,27
102,2,11:32.0,Shooting foul by J. Nelson (drawn by N. Mirotić),,21,27
103,2,11:32.0,N. Mirotić makes free throw 1 of 2,,22,27
104,2,11:32.0,N. Mirotić makes free throw 2 of 2,,23,27
105,2,11:10.0,,I. Clark makes 2-pt jump shot from 1 ft (assist by D. Cunningham),23,29
106,2,10:52.0,N. Mirotić makes 2-pt jump shot from 9 ft,,25,29
107,2,10:30.0,,Shooting foul by N. Mirotić (drawn by D. Cunningham),25,29
108,2,10:30.0,,D. Cunningham makes free throw 1 of 2,25,30
109,2,10:30.0,,Violation by D. Cousins (lane),25,30
110,2,10:30.0,Violation by B. Portis (lane),,25,30
111,2,10:11.0,B. Portis misses 3-pt jump shot from 26 ft,,25,30
112,2,10:09.0,,Defensive rebound by J. Nelson,25,30
113,2,10:06.0,,Personal foul by R. Arcidiacono (drawn by J. Nelson),25,30
