,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
0,1,11:37.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,0,0
1,1,11:35.0,,Defensive rebound by H. Barnes,0,0
2,1,11:25.0,,D. Smith makes 2-pt layup at rim (assist by D. Powell),0,2
3,1,11:06.0,M. Williams misses 2-pt jump shot from 7 ft,,0,2
4,1,11:02.0,Offensive rebound by D. Howard,,0,2
5,1,11:02.0,D. Howard misses 2-pt layup at rim,,0,2
6,1,11:02.0,,Defensive rebound by D. Powell,0,2
7,1,10:57.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,2
8,1,10:55.0,Defensive rebound by D. Howard,,0,2
9,1,10:45.0,D. Howard misses 2-pt layup from 1 ft (block by D. Powell),,0,2
10,1,10:44.0,,Defensive rebound by D. Powell,0,2
11,1,10:43.0,,Turnover by D. Powell (bad pass; steal by K. Walker),0,2
12,1,10:41.0,K. Walker makes 2-pt layup at rim,,2,2
13,1,10:13.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,2,2
14,1,10:09.0,Defensive rebound by M. Kidd-Gilchrist,,2,2
15,1,10:07.0,Personal foul by D. Powell (drawn by M. Kidd-Gilchrist),,2,2
16,1,10:01.0,D. Howard makes 2-pt hook shot from 3 ft (assist by M. Williams),,4,2
17,1,9:52.0,,D. Smith misses 2-pt jump shot from 21 ft,4,2
18,1,9:50.0,Defensive rebound by D. Howard,,4,2
19,1,9:40.0,J. Lamb misses 3-pt jump shot from 24 ft,,4,2
20,1,9:36.0,,Defensive rebound by D. Smith,4,2
21,1,9:31.0,,D. Powell misses 3-pt jump shot from 25 ft,4,2
22,1,9:28.0,Defensive rebound by D. Howard,,4,2
23,1,9:19.0,K. Walker makes 2-pt layup at rim,,6,2
24,1,9:05.0,,H. Barnes misses 2-pt jump shot from 20 ft,6,2
25,1,9:02.0,Defensive rebound by M. Williams,,6,2
26,1,8:50.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,6,2
27,1,8:47.0,,Defensive rebound by H. Barnes,6,2
28,1,8:34.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by D. Smith),6,4
29,1,8:24.0,Offensive foul by M. Williams (drawn by D. Smith),,6,4
30,1,8:24.0,Turnover by M. Williams (offensive foul),,6,4
31,1,8:12.0,,D. Smith misses 3-pt jump shot from 25 ft,6,4
32,1,8:08.0,Defensive rebound by M. Williams,,6,4
33,1,8:02.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by D. Nowitzki),,6,4
34,1,7:58.0,Offensive rebound by M. Kidd-Gilchrist,,6,4
35,1,7:50.0,K. Walker makes 3-pt jump shot from 24 ft (assist by J. Lamb),,9,4
36,1,7:40.0,,D. Smith makes 2-pt layup from 1 ft,9,6
37,1,7:26.0,D. Howard makes 2-pt jump shot from 18 ft (assist by K. Walker),,11,6
38,1,7:12.0,,Shooting foul by D. Howard (drawn by D. Powell),11,6
39,1,7:12.0,,D. Powell makes free throw 1 of 2,11,7
40,1,7:12.0,,D. Powell makes free throw 2 of 2,11,8
41,1,7:02.0,K. Walker misses 2-pt jump shot from 13 ft,,11,8
