,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
0,1,11:46.0,K. Love misses 3-pt jump shot from 24 ft,,0,0
1,1,11:42.0,,Defensive rebound by T. Gibson,0,0
2,1,11:28.0,,K. Towns misses 3-pt jump shot from 24 ft,0,0
3,1,11:24.0,Defensive rebound by L. James,,0,0
4,1,11:09.0,K. Love misses 2-pt layup from 1 ft,,0,0
5,1,11:07.0,,Defensive rebound by K. Towns,0,0
6,1,11:01.0,,A. Wiggins makes 2-pt layup at rim (assist by T. Jones),0,2
7,1,10:45.0,J. Crowder makes 2-pt layup from 1 ft (assist by L. James),,2,2
8,1,10:25.0,,J. Butler makes 2-pt jump shot from 12 ft,2,4
9,1,10:03.0,K. Love misses 3-pt jump shot from 22 ft,,2,4
10,1,9:59.0,,Defensive rebound by T. Gibson,2,4
11,1,9:52.0,,Turnover by K. Towns (bad pass),2,4
12,1,9:42.0,,Violation by J. Butler (kicked ball),2,4
13,1,9:34.0,J. Smith misses 2-pt jump shot from 19 ft,,2,4
14,1,9:31.0,,Defensive rebound by J. Butler,2,4
15,1,9:22.0,,J. Butler misses 2-pt jump shot from 11 ft,2,4
16,1,9:20.0,Defensive rebound by J. Crowder,,2,4
17,1,9:16.0,I. Thomas misses 3-pt jump shot from 25 ft,,2,4
18,1,9:13.0,Offensive rebound by J. Smith,,2,4
19,1,9:11.0,J. Smith misses 3-pt jump shot from 22 ft,,2,4
20,1,9:09.0,,Defensive rebound by T. Gibson,2,4
21,1,8:57.0,,K. Towns makes 2-pt layup from 1 ft (assist by T. Jones),2,6
22,1,8:33.0,J. Crowder misses 3-pt jump shot from 25 ft,,2,6
23,1,8:30.0,,Defensive rebound by T. Gibson,2,6
24,1,8:11.0,,T. Gibson makes 2-pt jump shot from 1 ft,2,8
25,1,8:02.0,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),,4,8
26,1,7:50.0,,T. Jones makes 2-pt jump shot from 14 ft,4,10
27,1,7:39.0,Turnover by I. Thomas (lost ball; steal by J. Butler),,4,10
28,1,7:36.0,,Shooting foul by J. Crowder (drawn by A. Wiggins),4,10
29,1,7:36.0,,A. Wiggins misses free throw 1 of 2,4,10
30,1,7:36.0,,Offensive rebound by Team,4,10
31,1,7:36.0,,A. Wiggins makes free throw 2 of 2,4,11
32,1,7:19.0,I. Thomas misses 2-pt layup from 1 ft,,4,11
33,1,7:17.0,,Defensive rebound by A. Wiggins,4,11
34,1,7:08.0,,T. Gibson makes 2-pt dunk at rim (assist by K. Towns),4,13
35,1,7:07.0,Cleveland full timeout,,4,13
36,1,6:54.0,J. Smith misses 3-pt jump shot from 23 ft,,4,13
37,1,6:51.0,,Defensive rebound by J. Butler,4,13
38,1,6:37.0,,A. Wiggins misses 3-pt jump shot from 24 ft,4,13
39,1,6:35.0,Defensive rebound by J. Crowder,,4,13
40,1,6:20.0,Turnover by L. James (bad pass),,4,13
41,1,5:57.0,,K. Towns makes 2-pt hook shot from 4 ft (assist by T. Jones),4,15
42,1,5:41.0,K. Love misses 2-pt jump shot from 18 ft,,4,15
43,1,5:39.0,,Defensive rebound by K. Towns,4,15
44,1,5:33.0,,T. Gibson makes 2-pt layup from 1 ft (assist by T. Jones),4,17
45,1,5:12.0,I. Thomas misses 3-pt jump shot from 25 ft,,4,17
46,1,5:10.0,,Defensive rebound by T. Jones,4,17
47,1,5:01.0,,T. Gibson misses 2-pt layup from 3 ft (block by J. Crowder),4,17
48,1,5:01.0,Defensive rebound by J. Crowder,,4,17
49,1,4:54.0,Turnover by I. Thomas (out of bounds lost ball),,4,17
50,1,4:54.0,D. Wade enters the game for I. Thomas,,4,17
51,1,4:40.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by K. Towns),4,20
52,1,4:39.0,Cleveland full timeout,,4,20
53,1,4:27.0,K. Love misses 3-pt jump shot from 26 ft,,4,20
54,1,4:25.0,,Defensive rebound by T. Gibson,4,20
55,1,4:08.0,,K. Towns misses 2-pt hook shot from 9 ft,4,20
56,1,4:05.0,Defensive rebound by L. James,,4,20
57,1,4:01.0,L. James makes 2-pt layup from 2 ft,,6,20
58,1,4:01.0,Shooting foul by A. Wiggins (drawn by L. James),,6,20
59,1,4:01.0,,G. Dieng enters the game for K. Towns,6,20
60,1,4:01.0,T. Thompson enters the game for K. Love,,6,20
61,1,4:01.0,L. James makes free throw 1 of 1,,7,20
62,1,3:45.0,,T. Jones misses 3-pt jump shot from 24 ft,7,20
63,1,3:44.0,Defensive rebound by J. Crowder,,7,20
64,1,3:38.0,J. Crowder misses 3-pt jump shot from 23 ft,,7,20
65,1,3:35.0,,Defensive rebound by A. Wiggins,7,20
66,1,3:20.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Butler),7,23
67,1,3:08.0,L. James misses 2-pt layup from 1 ft,,7,23
68,1,3:06.0,Offensive rebound by L. James,,7,23
69,1,3:05.0,L. James misses 2-pt layup from 4 ft,,7,23
70,1,3:05.0,,Defensive rebound by A. Wiggins,7,23
71,1,3:00.0,,J. Butler misses 3-pt jump shot from 24 ft,7,23
72,1,2:56.0,Defensive rebound by L. James,,7,23
73,1,2:52.0,L. James makes 2-pt layup from 2 ft,,9,23
74,1,2:34.0,,Shooting foul by L. James (drawn by J. Butler),9,23
75,1,2:34.0,,J. Butler misses free throw 1 of 2,9,23
76,1,2:34.0,,Offensive rebound by Team,9,23
77,1,2:34.0,,J. Crawford enters the game for T. Jones,9,23
78,1,2:34.0,J. Green enters the game for J. Crowder,,9,23
79,1,2:34.0,,J. Butler makes free throw 2 of 2,9,24
80,1,2:27.0,D. Wade makes 2-pt layup from 2 ft,,11,24
81,1,2:07.0,,A. Wiggins makes 2-pt layup at rim (assist by J. Butler),11,26
82,1,1:47.0,L. James makes 2-pt layup from 1 ft,,13,26
83,1,1:38.0,,J. Butler misses 2-pt layup from 2 ft,13,26
84,1,1:38.0,,Offensive rebound by J. Butler,13,26
85,1,1:38.0,,Shooting foul by T. Thompson (drawn by J. Butler),13,26
86,1,1:38.0,,J. Butler makes free throw 1 of 2,13,27
87,1,1:38.0,,J. Butler makes free throw 2 of 2,13,28
88,1,1:22.0,Turnover by L. James (turnover),,13,28
89,1,1:08.0,,A. Wiggins makes 2-pt jump shot from 18 ft (assist by J. Butler),13,30
90,1,0:55.0,J. Green makes 2-pt layup from 2 ft (assist by L. James),,15,30
91,1,0:43.0,,J. Butler makes 2-pt jump shot from 16 ft,15,32
92,1,0:20.0,J. Green makes 3-pt jump shot from 22 ft (assist by D. Wade),,18,32
93,1,0:00.0,,A. Wiggins misses 3-pt jump shot from 25 ft,18,32
94,1,0:00.0,,Offensive rebound by Team,18,32
95,2,11:49.0,,Shooting foul by K. Korver (drawn by K. Towns),18,32
96,2,11:49.0,,K. Towns makes free throw 1 of 2,18,33
97,2,11:49.0,,K. Towns makes free throw 2 of 2,18,34
98,2,11:33.0,I. Thomas misses 2-pt jump shot from 11 ft,,18,34
99,2,11:30.0,,Defensive rebound by K. Towns,18,34
100,2,11:26.0,,G. Dieng misses 3-pt jump shot from 22 ft,18,34
101,2,11:26.0,Defensive rebound by T. Thompson,,18,34
102,2,11:17.0,K. Korver misses 3-pt jump shot from 22 ft,,18,34
103,2,11:17.0,,Defensive rebound by G. Dieng,18,34
104,2,11:07.0,,J. Crawford makes 2-pt jump shot from 18 ft,18,36
105,2,10:53.0,Personal foul by A. Brooks (drawn by I. Thomas),,18,36
106,2,10:51.0,Personal foul by N. Bjelica (drawn by K. Korver),,18,36
107,2,10:41.0,J. Green makes 2-pt layup from 3 ft (assist by K. Korver),,20,36
108,2,10:41.0,Shooting foul by N. Bjelica (drawn by J. Green),,20,36
109,2,10:41.0,J. Green misses free throw 1 of 1,,20,36
110,2,10:36.0,,Defensive rebound by K. Towns,20,36
111,2,10:26.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by J. Crawford),20,38
112,2,10:15.0,D. Wade makes 2-pt layup at rim (assist by I. Thomas),,22,38
113,2,9:57.0,,Shooting foul by D. Wade (drawn by G. Dieng),22,38
114,2,9:57.0,,G. Dieng misses free throw 1 of 2,22,38
115,2,9:57.0,,Offensive rebound by Team,22,38
116,2,9:57.0,,G. Dieng makes free throw 2 of 2,22,39
117,2,9:48.0,K. Korver misses 3-pt jump shot from 26 ft,,22,39
118,2,9:44.0,,Defensive rebound by G. Dieng,22,39
119,2,9:32.0,,N. Bjelica misses 3-pt jump shot from 22 ft,22,39
120,2,9:29.0,Defensive rebound by T. Thompson,,22,39
121,2,9:24.0,I. Thomas misses 3-pt jump shot from 25 ft,,22,39
122,2,9:21.0,,Defensive rebound by N. Bjelica,22,39
123,2,9:14.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by A. Brooks),22,42
124,2,8:54.0,J. Green misses 2-pt jump shot from 6 ft,,22,42
125,2,8:52.0,Offensive rebound by J. Green,,22,42
126,2,8:50.0,J. Green misses 2-pt layup from 1 ft,,22,42
127,2,8:50.0,Offensive rebound by J. Green,,22,42
128,2,8:47.0,D. Wade makes 2-pt layup from 1 ft (assist by K. Korver),,24,42
129,2,8:42.0,,Personal foul by K. Korver (drawn by N. Bjelica),24,42
130,2,8:37.0,,J. Crawford makes 3-pt jump shot from 25 ft,24,45
131,2,8:35.0,Cleveland full timeout,,24,45
132,2,8:16.0,I. Thomas misses 3-pt jump shot from 25 ft,,24,45
133,2,8:13.0,Offensive rebound by T. Thompson,,24,45
134,2,8:10.0,K. Korver makes 3-pt jump shot from 25 ft (assist by T. Thompson),,27,45
135,2,7:44.0,,G. Dieng misses 2-pt layup from 3 ft (block by D. Wade),27,45
136,2,7:42.0,,Offensive rebound by G. Dieng,27,45
137,2,7:41.0,,G. Dieng misses 2-pt hook shot from 3 ft,27,45
138,2,7:39.0,Defensive rebound by T. Thompson,,27,45
139,2,7:36.0,Shooting foul by A. Brooks (drawn by D. Wade),,27,45
140,2,7:36.0,D. Wade makes free throw 1 of 2,,28,45
141,2,7:36.0,D. Wade makes free throw 2 of 2,,29,45
142,2,7:24.0,,J. Crawford misses 2-pt jump shot from 21 ft,29,45
143,2,7:19.0,Defensive rebound by T. Thompson,,29,45
144,2,7:15.0,J. Green makes 2-pt layup from 2 ft,,31,45
145,2,7:15.0,Shooting foul by K. Towns (drawn by J. Green),,31,45
146,2,7:15.0,,T. Gibson enters the game for G. Dieng,31,45
147,2,7:15.0,J. Green misses free throw 1 of 1,,31,45
148,2,7:13.0,,Defensive rebound by K. Towns,31,45
149,2,7:02.0,,Personal foul by T. Thompson (drawn by J. Crawford),31,45
150,2,6:53.0,,A. Brooks makes 2-pt jump shot from 14 ft,31,47
151,2,6:44.0,Shooting foul by K. Towns (drawn by I. Thomas),,31,47
152,2,6:44.0,I. Thomas makes free throw 1 of 2,,32,47
153,2,6:44.0,,J. Butler enters the game for N. Bjelica,32,47
154,2,6:44.0,,A. Wiggins enters the game for J. Crawford,32,47
155,2,6:44.0,L. James enters the game for D. Wade,,32,47
156,2,6:44.0,,T. Jones enters the game for A. Brooks,32,47
157,2,6:44.0,I. Thomas makes free throw 2 of 2,,33,47
158,2,6:33.0,,T. Jones makes 2-pt jump shot from 19 ft (assist by J. Butler),33,49
159,2,6:21.0,I. Thomas misses 2-pt layup from 1 ft (block by T. Gibson),,33,49
160,2,6:18.0,,Defensive rebound by J. Butler,33,49
161,2,6:14.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Butler),33,51
162,2,5:59.0,T. Thompson makes 2-pt dunk at rim (assist by K. Korver),,35,51
163,2,5:43.0,,T. Jones misses 3-pt jump shot from 24 ft,35,51
164,2,5:43.0,Defensive rebound by L. James,,35,51
165,2,5:35.0,Turnover by J. Green (lost ball; steal by T. Jones),,35,51
166,2,5:31.0,,T. Jones misses 2-pt layup at rim (block by L. James),35,51
167,2,5:30.0,,Offensive rebound by Team,35,51
168,2,5:30.0,K. Love enters the game for I. Thomas,,35,51
169,2,5:30.0,J. Smith enters the game for K. Korver,,35,51
170,2,5:24.0,,J. Butler misses 2-pt jump shot from 10 ft,35,51
171,2,5:20.0,Defensive rebound by L. James,,35,51
172,2,5:14.0,Personal foul by T. Jones (drawn by J. Smith),,35,51
173,2,5:14.0,J. Smith makes free throw 1 of 2,,36,51
174,2,5:14.0,J. Smith makes free throw 2 of 2,,37,51
175,2,5:01.0,,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Gibson),37,54
176,2,4:40.0,T. Thompson makes 2-pt hook shot from 4 ft (assist by L. James),,39,54
177,2,4:23.0,,A. Wiggins misses 2-pt jump shot from 6 ft,39,54
178,2,4:22.0,,Offensive rebound by A. Wiggins,39,54
179,2,4:21.0,,A. Wiggins misses 2-pt jump shot from 5 ft,39,54
180,2,4:21.0,,Offensive rebound by K. Towns,39,54
