,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
0,1,11:39.0,,Turnover by A. Drummond (lost ball; steal by R. Covington),0,0
1,1,11:29.0,A. Johnson misses 2-pt jump shot from 19 ft,,0,0
2,1,11:23.0,,Defensive rebound by R. Jackson,0,0
3,1,11:19.0,,S. Johnson misses 2-pt layup from 6 ft (block by A. Johnson),0,0
4,1,11:16.0,Defensive rebound by B. Simmons,,0,0
5,1,11:12.0,B. Simmons misses 2-pt layup from 5 ft,,0,0
6,1,11:09.0,Offensive rebound by E. İlyasova,,0,0
7,1,11:09.0,E. İlyasova misses 2-pt layup from 3 ft,,0,0
8,1,11:07.0,,Defensive rebound by A. Drummond,0,0
9,1,11:02.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by S. Johnson),0,3
10,1,10:44.0,J. Redick makes 2-pt jump shot from 19 ft (assist by A. Johnson),,2,3
11,1,10:22.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by R. Jackson),2,5
12,1,10:07.0,E. İlyasova misses 2-pt jump shot from 15 ft,,2,5
13,1,10:04.0,,Defensive rebound by S. Johnson,2,5
14,1,9:47.0,,Shooting foul by J. Redick (drawn by R. Jackson),2,5
15,1,9:47.0,,R. Jackson makes free throw 1 of 2,2,6
16,1,9:47.0,,R. Jackson makes free throw 2 of 2,2,7
17,1,9:38.0,R. Covington misses 3-pt jump shot from 25 ft,,2,7
18,1,9:33.0,Offensive rebound by A. Johnson,,2,7
19,1,9:32.0,J. Redick makes 3-pt jump shot from 25 ft (assist by A. Johnson),,5,7
20,1,9:01.0,,R. Jackson misses 3-pt jump shot from 42 ft,5,7
21,1,8:59.0,Defensive rebound by A. Johnson,,5,7
22,1,8:51.0,,Offensive charge foul by R. Covington (drawn by R. Jackson),5,7
23,1,8:51.0,Turnover by R. Covington (offensive foul),,5,7
24,1,8:41.0,,Shooting foul by R. Covington (drawn by R. Jackson),5,7
25,1,8:41.0,,R. Jackson makes free throw 1 of 2,5,8
26,1,8:41.0,T. McConnell enters the game for R. Covington,,5,8
27,1,8:41.0,,R. Jackson makes free throw 2 of 2,5,9
28,1,8:31.0,Turnover by B. Simmons (lost ball; steal by S. Johnson),,5,9
29,1,8:25.0,,Shooting foul by T. McConnell (drawn by R. Jackson),5,9
30,1,8:25.0,,R. Jackson makes free throw 1 of 2,5,10
31,1,8:25.0,,R. Jackson makes free throw 2 of 2,5,11
32,1,8:15.0,J. Redick misses 3-pt jump shot from 25 ft,,5,11
33,1,8:11.0,Offensive rebound by E. İlyasova,,5,11
34,1,8:09.0,J. Redick makes 3-pt jump shot from 24 ft (assist by T. McConnell),,8,11
35,1,7:58.0,,Detroit full timeout,8,11
36,1,7:56.0,,R. Jackson misses 2-pt jump shot from 5 ft,8,11
37,1,7:53.0,Defensive rebound by T. McConnell,,8,11
38,1,7:37.0,B. Simmons makes 2-pt layup from 1 ft,,10,11
39,1,7:19.0,,R. Jackson misses 2-pt jump shot from 6 ft,10,11
40,1,7:16.0,Defensive rebound by J. Redick,,10,11
41,1,7:12.0,B. Simmons makes 2-pt layup from 2 ft,,12,11
42,1,6:57.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by A. Tolliver),12,14
