,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:36.0,L. Aldridge misses 3-pt jump shot from 25 ft,,0,0
1,1,11:33.0,,Defensive rebound by A. Horford,0,0
2,1,11:25.0,,Turnover by K. Irving (bad pass),0,0
3,1,11:11.0,Shooting foul by A. Horford (drawn by L. Aldridge),,0,0
4,1,11:11.0,L. Aldridge misses free throw 1 of 2,,0,0
5,1,11:11.0,Offensive rebound by Team,,0,0
6,1,11:11.0,L. Aldridge misses free throw 2 of 2,,0,0
7,1,11:09.0,,Defensive rebound by J. Brown,0,0
8,1,10:52.0,,A. Horford misses 2-pt hook shot from 7 ft,0,0
9,1,10:50.0,Defensive rebound by D. Murray,,0,0
10,1,10:31.0,K. Anderson misses 2-pt layup from 1 ft (block by J. Tatum),,0,0
11,1,10:29.0,Offensive rebound by P. Gasol,,0,0
12,1,10:23.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by P. Gasol),,2,0
13,1,10:07.0,,A. Baynes makes 2-pt jump shot from 16 ft (assist by A. Horford),2,2
14,1,10:03.0,Personal foul by J. Brown (drawn by D. Green),,2,2
15,1,9:58.0,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. Murray),,5,2
16,1,9:43.0,,J. Brown makes 2-pt jump shot from 9 ft,5,4
17,1,9:25.0,D. Green misses 2-pt jump shot from 10 ft,,5,4
18,1,9:25.0,Turnover by D. Green (bad pass; steal by A. Baynes),,5,4
19,1,9:23.0,Offensive rebound by D. Green,,5,4
20,1,9:10.0,,A. Horford misses 2-pt hook shot from 7 ft,5,4
21,1,9:08.0,Defensive rebound by D. Murray,,5,4
22,1,9:03.0,D. Green makes 3-pt jump shot from 23 ft (assist by D. Murray),,8,4
23,1,8:47.0,,K. Irving makes 2-pt jump shot from 12 ft,8,6
24,1,8:33.0,D. Murray makes 2-pt jump shot from 7 ft,,10,6
25,1,8:24.0,,K. Irving makes 2-pt layup from 3 ft,10,8
26,1,8:03.0,P. Gasol misses 3-pt jump shot from 23 ft,,10,8
27,1,8:01.0,,Defensive rebound by A. Horford,10,8
