,QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
0,1,11:34.0,,J. Wall misses 3-pt jump shot from 25 ft,0,0
1,1,11:30.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:06.0,K. Lowry misses 2-pt layup from 10 ft,,0,0
3,1,11:03.0,Offensive rebound by K. Lowry,,0,0
4,1,10:45.0,Shooting foul by M. Morris (drawn by S. Ibaka),,0,0
5,1,10:45.0,S. Ibaka misses free throw 1 of 2,,0,0
6,1,10:45.0,Offensive rebound by Team,,0,0
7,1,10:45.0,S. Ibaka makes free throw 2 of 2,,1,0
8,1,10:34.0,,O. Porter misses 2-pt jump shot from 19 ft,1,0
9,1,10:30.0,Defensive rebound by J. Valančiūnas,,1,0
10,1,10:23.0,Turnover by K. Lowry (bad pass),,1,0
11,1,10:13.0,,B. Beal makes 2-pt jump shot from 11 ft (assist by J. Wall),1,2
12,1,9:51.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by S. Ibaka),,4,2
13,1,9:33.0,,Personal foul by O. Anunoby,4,2
14,1,9:28.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by M. Gortat),4,4
15,1,9:08.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by K. Lowry),,7,4
16,1,8:46.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),7,6
17,1,8:35.0,Turnover by S. Ibaka (traveling),,7,6
18,1,8:27.0,,B. Beal misses 2-pt jump shot from 19 ft,7,6
19,1,8:23.0,Defensive rebound by S. Ibaka,,7,6
20,1,8:09.0,D. DeRozan misses 3-pt jump shot from 26 ft,,7,6
21,1,8:09.0,,Defensive rebound by Team,7,6
22,1,8:01.0,,J. Wall misses 2-pt jump shot from 17 ft,7,6
23,1,7:57.0,,Offensive rebound by M. Gortat,7,6
24,1,7:55.0,,J. Wall misses 3-pt jump shot from 25 ft,7,6
25,1,7:52.0,,Offensive rebound by M. Gortat,7,6
26,1,7:51.0,,M. Gortat makes 2-pt hook shot from 3 ft,7,8
27,1,7:38.0,D. DeRozan makes 2-pt jump shot from 4 ft (assist by K. Lowry),,9,8
28,1,7:15.0,,M. Gortat misses 2-pt jump shot from 14 ft,9,8
29,1,7:12.0,Defensive rebound by S. Ibaka,,9,8
30,1,6:57.0,D. DeRozan makes 2-pt jump shot from 14 ft,,11,8
31,1,6:40.0,,O. Porter makes 2-pt jump shot from 13 ft (assist by J. Wall),11,10
32,1,6:19.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,14,10
33,1,6:19.0,Away from play foul by M. Morris (drawn by J. Valančiūnas),,14,10
34,1,6:19.0,J. Valančiūnas makes free throw 1 of 1,,15,10
35,1,6:19.0,,Washington full timeout,15,10
36,1,6:19.0,,M. Scott enters the game for M. Morris,15,10
37,1,6:07.0,,O. Porter misses 2-pt jump shot from 6 ft,15,10
38,1,6:03.0,Defensive rebound by S. Ibaka,,15,10
39,1,5:59.0,K. Lowry misses 2-pt jump shot from 12 ft,,15,10
40,1,5:56.0,,Defensive rebound by M. Scott,15,10
41,1,5:49.0,,M. Gortat misses 2-pt hook shot from 7 ft,15,10
42,1,5:46.0,Defensive rebound by O. Anunoby,,15,10
43,1,5:42.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,17,10
44,1,5:27.0,,J. Wall misses 2-pt jump shot from 15 ft,17,10
45,1,5:25.0,Defensive rebound by J. Valančiūnas,,17,10
46,1,5:11.0,K. Lowry misses 3-pt jump shot from 30 ft,,17,10
47,1,5:08.0,,Defensive rebound by O. Porter,17,10
48,1,5:04.0,,J. Wall makes 2-pt layup at rim (assist by O. Porter),17,12
49,1,4:44.0,Personal foul by M. Gortat (drawn by J. Valančiūnas),,17,12
50,1,4:44.0,,K. Oubre enters the game for O. Porter,17,12
51,1,4:43.0,S. Ibaka misses 3-pt jump shot from 27 ft,,17,12
52,1,4:40.0,,Defensive rebound by J. Wall,17,12
53,1,4:36.0,,Turnover by J. Wall (bad pass; steal by D. DeRozan),17,12
54,1,4:23.0,J. Valančiūnas makes 2-pt layup from 1 ft,,19,12
55,1,4:22.0,,Washington full timeout,19,12
56,1,4:22.0,,I. Mahinmi enters the game for M. Gortat,19,12
57,1,4:11.0,,B. Beal makes 2-pt jump shot from 6 ft,19,14
58,1,3:58.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by D. DeRozan),,22,14
59,1,3:37.0,,J. Wall makes 2-pt layup from 3 ft,22,16
60,1,3:37.0,Violation by J. Valančiūnas (def goaltending),,22,16
61,1,3:28.0,Turnover by J. Valančiūnas (lost ball; steal by J. Wall),,22,16
62,1,3:25.0,,J. Wall makes 2-pt dunk from 1 ft,22,18
