,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:49.0,Personal foul by R. Rondo (drawn by M. Harkless),,0,0
1,1,11:39.0,Turnover by A. Aminu (step out of bounds),,0,0
2,1,11:23.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Holiday),0,3
3,1,11:08.0,D. Lillard makes 3-pt jump shot from 24 ft (assist by J. Nurkić),,3,3
4,1,10:57.0,,N. Mirotić misses 2-pt jump shot from 18 ft,3,3
5,1,10:53.0,Defensive rebound by D. Lillard,,3,3
6,1,10:46.0,M. Harkless misses 3-pt jump shot from 25 ft,,3,3
7,1,10:44.0,,Defensive rebound by A. Davis,3,3
8,1,10:33.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by R. Rondo),3,5
9,1,10:20.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,6,5
10,1,9:58.0,,Turnover by R. Rondo (bad pass; steal by A. Aminu),6,5
11,1,9:49.0,Turnover by D. Lillard (bad pass; steal by A. Davis),,6,5
12,1,9:45.0,,Personal foul by C. McCollum (drawn by E. Moore),6,5
13,1,9:42.0,,A. Davis misses 2-pt layup from 1 ft,6,5
14,1,9:39.0,,Offensive rebound by N. Mirotić,6,5
15,1,9:32.0,,R. Rondo makes 2-pt layup from 1 ft,6,7
16,1,9:17.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Harkless),,9,7
17,1,8:59.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by E. Moore),9,10
18,1,8:46.0,Turnover by C. McCollum (lost ball; steal by N. Mirotić),,9,10
19,1,8:36.0,,R. Rondo makes 2-pt jump shot from 1 ft,9,12
20,1,8:17.0,J. Nurkić makes 2-pt dunk at rim,,11,12
21,1,8:00.0,,E. Moore misses 3-pt jump shot from 22 ft,11,12
22,1,7:57.0,Defensive rebound by A. Aminu,,11,12
23,1,7:47.0,J. Nurkić misses 2-pt jump shot from 20 ft,,11,12
24,1,7:43.0,,Defensive rebound by N. Mirotić,11,12
25,1,7:37.0,,J. Holiday makes 2-pt layup from 1 ft (assist by N. Mirotić),11,14
26,1,7:37.0,Portland full timeout,,11,14
27,1,7:24.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Harkless),,14,14
28,1,7:14.0,,Personal foul by J. Nurkić (drawn by A. Davis),14,14
29,1,7:08.0,,A. Davis makes 2-pt layup from 3 ft (assist by R. Rondo),14,16
30,1,6:52.0,A. Aminu misses 3-pt jump shot from 25 ft,,14,16
31,1,6:48.0,Offensive rebound by M. Harkless,,14,16
32,1,6:47.0,M. Harkless makes 2-pt layup from 1 ft,,16,16
33,1,6:29.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by R. Rondo),16,18
34,1,6:02.0,J. Nurkić misses 2-pt layup from 4 ft (block by A. Davis),,16,18
35,1,5:59.0,,Defensive rebound by A. Davis,16,18
36,1,5:53.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Rondo),16,21
37,1,5:32.0,J. Nurkić misses 2-pt jump shot from 16 ft,,16,21
38,1,5:30.0,Offensive rebound by A. Aminu,,16,21
39,1,5:28.0,A. Aminu misses 2-pt layup from 5 ft,,16,21
40,1,5:26.0,,Defensive rebound by R. Rondo,16,21
41,1,5:19.0,,J. Holiday misses 2-pt layup from 4 ft,16,21
42,1,5:18.0,Defensive rebound by J. Nurkić,,16,21
43,1,5:18.0,Personal foul by N. Mirotić (drawn by D. Lillard),,16,21
