,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,W. Matthews makes 2-pt layup at rim (assist by D. Nowitzki),,2,0
1,1,11:20.0,,A. Davis misses 2-pt jump shot from 8 ft,2,0
2,1,11:17.0,Defensive rebound by H. Barnes,,2,0
3,1,11:10.0,M. Kleber misses 2-pt layup from 1 ft (block by D. Cousins),,2,0
4,1,11:04.0,,Defensive rebound by D. Cousins,2,0
5,1,11:02.0,,Turnover by D. Cousins (bad pass; steal by W. Matthews),2,0
6,1,10:47.0,D. Nowitzki makes 2-pt jump shot from 10 ft,,4,0
7,1,10:35.0,,R. Rondo misses 2-pt layup from 2 ft,4,0
8,1,10:32.0,Defensive rebound by W. Matthews,,4,0
9,1,10:27.0,D. Smith makes 2-pt jump shot from 7 ft,,6,0
10,1,10:10.0,,R. Rondo misses 2-pt layup from 2 ft,6,0
11,1,10:07.0,Defensive rebound by D. Smith,,6,0
12,1,10:04.0,W. Matthews misses 3-pt jump shot from 22 ft,,6,0
13,1,10:02.0,,Defensive rebound by Team,6,0
14,1,9:48.0,,D. Cousins misses 2-pt jump shot from 13 ft,6,0
15,1,9:46.0,Defensive rebound by D. Nowitzki,,6,0
16,1,9:25.0,M. Kleber misses 2-pt layup from 2 ft,,6,0
17,1,9:22.0,,Defensive rebound by D. Cousins,6,0
18,1,9:19.0,,Turnover by D. Cousins (lost ball; steal by D. Smith),6,0
19,1,9:13.0,Turnover by D. Smith (bad pass; steal by R. Rondo),,6,0
20,1,9:00.0,,A. Davis makes 2-pt jump shot from 11 ft (assist by R. Rondo),6,2
21,1,8:35.0,Turnover by D. Smith (bad pass),,6,2
22,1,8:20.0,,J. Holiday misses 3-pt jump shot from 24 ft,6,2
23,1,8:17.0,Defensive rebound by D. Nowitzki,,6,2
24,1,8:14.0,Personal foul by R. Rondo (drawn by H. Barnes),,6,2
25,1,8:05.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,6,2
26,1,8:01.0,,Defensive rebound by D. Cousins,6,2
27,1,7:54.0,,A. Davis makes 2-pt jump shot from 5 ft (assist by D. Cousins),6,4
28,1,7:42.0,Turnover by M. Kleber (traveling),,6,4
29,1,7:29.0,,R. Rondo misses 3-pt jump shot from 25 ft,6,4
30,1,7:27.0,Defensive rebound by W. Matthews,,6,4
31,1,7:25.0,M. Kleber makes 2-pt dunk from 1 ft (assist by D. Smith),,8,4
32,1,7:16.0,,D. Cousins misses 3-pt jump shot from 26 ft,8,4
33,1,7:13.0,Defensive rebound by D. Smith,,8,4
34,1,7:02.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,8,4
35,1,6:52.0,Offensive rebound by D. Smith,,8,4
36,1,6:52.0,D. Smith makes 2-pt layup at rim,,10,4
37,1,6:51.0,,Personal foul by D. Nowitzki (drawn by D. Cousins),10,4
38,1,6:51.0,,New Orleans full timeout,10,4
39,1,6:51.0,S. Mejri enters the game for D. Nowitzki,,10,4
40,1,6:34.0,,D. Cousins misses 2-pt hook shot from 1 ft,10,4
41,1,6:32.0,,Offensive rebound by D. Cousins,10,4
42,1,6:29.0,,R. Rondo misses 3-pt jump shot from 22 ft,10,4
43,1,6:24.0,Defensive rebound by D. Smith,,10,4
44,1,6:19.0,D. Smith makes 3-pt jump shot from 24 ft,,13,4
45,1,6:05.0,,D. Cousins misses 3-pt jump shot from 25 ft,13,4
46,1,6:02.0,Defensive rebound by W. Matthews,,13,4
