,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHARLOTTE_ACTION,OKLAHOMA CITY_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,0
1,1,11:21.0,,Turnover by N. Batum (lost ball; steal by R. Westbrook),3,0
2,1,11:15.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,5,0
3,1,11:01.0,,Charlotte full timeout,5,0
4,1,10:52.0,,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by M. Williams),5,2
5,1,10:36.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,7,2
6,1,10:13.0,,Shooting foul by T. Ferguson (drawn by N. Batum),7,2
7,1,10:13.0,,N. Batum misses free throw 1 of 3,7,2
8,1,10:13.0,,Offensive rebound by Team,7,2
9,1,10:13.0,,N. Batum makes free throw 2 of 3,7,3
10,1,10:13.0,,N. Batum makes free throw 3 of 3,7,4
11,1,9:50.0,P. George misses 3-pt jump shot from 23 ft,,7,4
12,1,9:45.0,Offensive rebound by S. Adams,,7,4
13,1,9:45.0,S. Adams makes 2-pt layup at rim,,9,4
14,1,9:30.0,,N. Batum misses 2-pt jump shot from 9 ft (block by T. Ferguson),9,4
15,1,9:27.0,Defensive rebound by S. Adams,,9,4
16,1,9:17.0,C. Anthony misses 3-pt jump shot from 23 ft,,9,4
17,1,9:14.0,,Defensive rebound by D. Howard,9,4
18,1,9:07.0,,Turnover by K. Walker (bad pass),9,4
19,1,8:55.0,Turnover by T. Ferguson (bad pass; steal by N. Batum),,9,4
20,1,8:45.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,9,4
21,1,8:44.0,,Offensive rebound by D. Howard,9,4
22,1,8:44.0,,Personal take foul by S. Adams (drawn by D. Howard),9,4
23,1,8:38.0,,N. Batum misses 2-pt jump shot from 19 ft,9,4
24,1,8:33.0,Defensive rebound by P. George,,9,4
25,1,8:24.0,R. Westbrook misses 2-pt jump shot from 19 ft (block by N. Batum),,9,4
26,1,8:21.0,,Defensive rebound by D. Howard,9,4
27,1,8:19.0,,Shooting foul by C. Anthony (drawn by M. Kidd-Gilchrist),9,4
28,1,8:19.0,,M. Kidd-Gilchrist makes free throw 1 of 2,9,5
29,1,8:19.0,,M. Kidd-Gilchrist makes free throw 2 of 2,9,6
30,1,7:58.0,C. Anthony misses 2-pt jump shot from 12 ft,,9,6
31,1,7:53.0,Offensive rebound by S. Adams,,9,6
32,1,7:53.0,S. Adams makes 2-pt layup at rim,,11,6
33,1,7:40.0,,Personal foul by T. Ferguson (drawn by N. Batum),11,6
34,1,7:32.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by M. Williams),11,9
35,1,7:13.0,R. Westbrook misses 2-pt jump shot from 19 ft,,11,9
36,1,7:13.0,,Defensive rebound by K. Walker,11,9
37,1,7:06.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),11,11
38,1,6:55.0,R. Westbrook misses 2-pt layup from 1 ft,,11,11
39,1,6:53.0,,Defensive rebound by K. Walker,11,11
40,1,6:49.0,,Turnover by K. Walker (lost ball; steal by S. Adams),11,11
41,1,6:45.0,R. Westbrook makes 2-pt layup at rim (assist by T. Ferguson),,13,11
42,1,6:31.0,,N. Batum misses 3-pt jump shot from 26 ft,13,11
43,1,6:29.0,Defensive rebound by P. George,,13,11
44,1,6:13.0,P. George makes 3-pt jump shot from 25 ft,,16,11
45,1,5:56.0,,D. Howard misses 2-pt layup from 1 ft,16,11
46,1,5:53.0,Defensive rebound by S. Adams,,16,11
47,1,5:47.0,P. George makes 3-pt jump shot from 25 ft (assist by C. Anthony),,19,11
48,1,5:29.0,,K. Walker misses 2-pt jump shot from 16 ft,19,11
49,1,5:27.0,Defensive rebound by P. George,,19,11
50,1,5:21.0,Shooting foul by D. Howard (drawn by P. George),,19,11
51,1,5:21.0,P. George makes free throw 1 of 2,,20,11
52,1,5:21.0,J. Grant enters the game for T. Ferguson,,20,11
53,1,5:21.0,P. George makes free throw 2 of 2,,21,11
54,1,5:09.0,,Turnover by N. Batum (turnover),21,11
55,1,5:09.0,,Loose ball foul by N. Batum (drawn by J. Grant),21,11
56,1,4:51.0,S. Adams misses 2-pt jump shot from 9 ft,,21,11
57,1,4:49.0,,Defensive rebound by M. Williams,21,11
58,1,4:41.0,,K. Walker makes 2-pt layup from 1 ft,21,13
59,1,4:35.0,R. Westbrook misses 2-pt jump shot from 2 ft (block by M. Kidd-Gilchrist),,21,13
60,1,4:34.0,Offensive rebound by Team,,21,13
61,1,4:34.0,Oklahoma City full timeout,,21,13
62,1,4:34.0,,F. Kaminsky enters the game for M. Williams,21,13
63,1,4:30.0,R. Westbrook misses 2-pt jump shot from 21 ft,,21,13
64,1,4:30.0,Offensive rebound by P. George,,21,13
65,1,4:18.0,C. Anthony makes 2-pt jump shot from 19 ft,,23,13
66,1,4:06.0,,Personal foul by C. Anthony (drawn by D. Howard),23,13
67,1,4:06.0,,D. Howard misses free throw 1 of 2,23,13
68,1,4:06.0,,Offensive rebound by Team,23,13
69,1,4:06.0,,D. Howard misses free throw 2 of 2,23,13
70,1,4:03.0,Defensive rebound by C. Anthony,,23,13
71,1,3:53.0,Offensive foul by S. Adams (drawn by N. Batum),,23,13
72,1,3:53.0,Turnover by S. Adams (offensive foul),,23,13
73,1,3:37.0,,Turnover by F. Kaminsky (bad pass; steal by R. Westbrook),23,13
74,1,3:32.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,25,13
75,1,3:20.0,,K. Walker makes 3-pt jump shot from 26 ft,25,16
76,1,2:58.0,Turnover by R. Westbrook (lost ball; steal by K. Walker),,25,16
77,1,2:56.0,,Shooting foul by J. Grant (drawn by K. Walker),25,16
78,1,2:56.0,,K. Walker makes free throw 1 of 2,25,17
79,1,2:56.0,J. Huestis enters the game for C. Anthony,,25,17
80,1,2:56.0,P. Patterson enters the game for S. Adams,,25,17
81,1,2:56.0,,K. Walker makes free throw 2 of 2,25,18
82,1,2:44.0,Turnover by P. George (lost ball; steal by D. Howard),,25,18
83,1,2:39.0,,K. Walker makes 2-pt layup from 1 ft,25,20
84,1,2:33.0,R. Westbrook makes 2-pt jump shot from 13 ft,,27,20
85,1,2:33.0,Shooting foul by F. Kaminsky (drawn by R. Westbrook),,27,20
86,1,2:33.0,,J. Lamb enters the game for M. Kidd-Gilchrist,27,20
87,1,2:33.0,,M. Carter-Williams enters the game for K. Walker,27,20
88,1,2:33.0,R. Westbrook makes free throw 1 of 1,,28,20
89,1,2:14.0,,D. Howard makes 2-pt layup from 1 ft,28,22
90,1,2:04.0,R. Westbrook misses 2-pt layup from 1 ft (block by D. Howard),,28,22
91,1,2:01.0,,Defensive rebound by F. Kaminsky,28,22
92,1,1:45.0,,Personal foul by P. George (drawn by D. Howard),28,22
93,1,1:45.0,,D. Howard misses free throw 1 of 2,28,22
94,1,1:45.0,,Offensive rebound by Team,28,22
95,1,1:45.0,,T. Graham enters the game for N. Batum,28,22
96,1,1:45.0,R. Felton enters the game for R. Westbrook,,28,22
97,1,1:45.0,,D. Howard makes free throw 2 of 2,28,23
98,1,1:29.0,P. Patterson misses 3-pt jump shot from 24 ft,,28,23
99,1,1:22.0,Offensive rebound by P. George,,28,23
100,1,1:14.0,P. George misses 2-pt layup from 6 ft (block by M. Carter-Williams),,28,23
101,1,1:11.0,,Defensive rebound by J. Lamb,28,23
102,1,1:05.0,,Shooting foul by P. Patterson (drawn by D. Howard),28,23
103,1,1:05.0,,F. Kaminsky makes technical free throw,28,24
104,1,1:05.0,,D. Howard makes free throw 1 of 2,28,25
105,1,1:05.0,,D. Howard makes free throw 2 of 2,28,26
106,1,0:56.0,Shooting foul by T. Graham (drawn by P. George),,28,26
107,1,0:56.0,P. George makes free throw 1 of 2,,29,26
108,1,0:56.0,P. George misses free throw 2 of 2,,29,26
109,1,0:52.0,,Defensive rebound by D. Howard,29,26
110,1,0:33.0,,J. Lamb misses 3-pt jump shot from 24 ft,29,26
111,1,0:30.0,Defensive rebound by R. Felton,,29,26
112,1,0:29.0,J. Grant makes 2-pt dunk at rim (assist by R. Felton),,31,26
113,1,0:12.0,,F. Kaminsky makes 2-pt jump shot from 6 ft,31,28
114,1,0:03.0,Turnover by P. George (bad pass),,31,28
115,1,0:00.0,,M. Carter-Williams misses 3-pt jump shot from 31 ft,31,28
116,1,0:00.0,,Offensive rebound by Team,31,28
117,2,11:42.0,,T. Graham makes 2-pt jump shot from 7 ft (assist by F. Kaminsky),31,30
118,2,11:26.0,P. Patterson misses 2-pt layup from 5 ft,,31,30
119,2,11:23.0,,Defensive rebound by M. Carter-Williams,31,30
120,2,11:19.0,,T. Graham makes 2-pt jump shot from 6 ft (assist by M. Carter-Williams),31,32
121,2,11:19.0,,Shooting foul by J. Grant (drawn by T. Graham),31,32
122,2,11:19.0,,T. Graham misses free throw 1 of 1,31,32
123,2,11:00.0,Defensive rebound by J. Grant,,31,32
124,2,11:00.0,J. Grant makes 2-pt layup from 2 ft (assist by P. Patterson),,33,32
125,2,10:46.0,,M. Monk misses 3-pt jump shot from 22 ft,33,32
126,2,10:43.0,Defensive rebound by P. Patterson,,33,32
127,2,10:35.0,R. Felton misses 2-pt jump shot from 15 ft,,33,32
128,2,10:32.0,,Defensive rebound by T. Graham,33,32
129,2,10:25.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,33,32
130,2,10:21.0,Defensive rebound by R. Felton,,33,32
131,2,10:11.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by J. Grant),,36,32
132,2,9:55.0,,M. Carter-Williams makes 2-pt layup from 2 ft,36,34
133,2,9:51.0,Oklahoma City full timeout,,36,34
134,2,9:38.0,Á. Abrines misses 2-pt layup from 3 ft,,36,34
135,2,9:36.0,Offensive rebound by Á. Abrines,,36,34
136,2,9:31.0,R. Felton misses 3-pt jump shot from 25 ft,,36,34
137,2,9:27.0,,Defensive rebound by F. Kaminsky,36,34
138,2,9:12.0,,M. Monk makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),36,37
139,2,8:45.0,P. Patterson misses 2-pt hook shot from 8 ft,,36,37
140,2,8:44.0,Offensive rebound by Team,,36,37
141,2,8:44.0,R. Westbrook enters the game for J. Huestis,,36,37
142,2,8:38.0,Á. Abrines misses 3-pt jump shot from 23 ft,,36,37
143,2,8:36.0,Offensive rebound by Á. Abrines,,36,37
144,2,8:36.0,Á. Abrines makes 2-pt layup from 1 ft,,38,37
145,2,8:36.0,Shooting foul by T. Graham (drawn by Á. Abrines),,38,37
146,2,8:36.0,Á. Abrines makes free throw 1 of 1,,39,37
147,2,8:19.0,,M. Monk makes 2-pt jump shot from 19 ft,39,39
148,2,8:02.0,Shooting foul by F. Kaminsky (drawn by P. Patterson),,39,39
149,2,8:02.0,P. Patterson makes free throw 1 of 2,,40,39
150,2,8:02.0,P. Patterson misses free throw 2 of 2,,40,39
151,2,7:58.0,,Defensive rebound by F. Kaminsky,40,39
152,2,7:46.0,,M. Monk misses 3-pt jump shot from 25 ft,40,39
153,2,7:42.0,Defensive rebound by P. Patterson,,40,39
154,2,7:30.0,R. Felton misses 2-pt layup from 9 ft (block by J. Lamb),,40,39
155,2,7:30.0,Offensive rebound by R. Felton,,40,39
156,2,7:30.0,Personal foul by M. Monk (drawn by R. Felton),,40,39
157,2,7:20.0,Á. Abrines misses 2-pt jump shot from 18 ft,,40,39
158,2,7:18.0,,Defensive rebound by M. Monk,40,39
159,2,6:59.0,,F. Kaminsky misses 2-pt layup from 5 ft,40,39
160,2,6:56.0,Defensive rebound by R. Westbrook,,40,39
161,2,6:49.0,R. Westbrook makes 2-pt jump shot from 14 ft,,42,39
162,2,6:49.0,Shooting foul by M. Monk (drawn by R. Westbrook),,42,39
163,2,6:49.0,,M. Williams enters the game for M. Monk,42,39
164,2,6:49.0,,K. Walker enters the game for F. Kaminsky,42,39
165,2,6:49.0,S. Adams enters the game for J. Grant,,42,39
166,2,6:49.0,C. Anthony enters the game for P. Patterson,,42,39
167,2,6:49.0,,D. Howard enters the game for T. Graham,42,39
168,2,6:49.0,R. Westbrook misses free throw 1 of 1,,42,39
169,2,6:46.0,,Defensive rebound by D. Howard,42,39
170,2,6:30.0,,D. Howard misses 2-pt jump shot from 14 ft,42,39
171,2,6:26.0,Defensive rebound by C. Anthony,,42,39
172,2,6:22.0,R. Westbrook makes 2-pt layup from 1 ft,,44,39
173,2,6:06.0,,M. Williams makes 2-pt jump shot from 13 ft (assist by K. Walker),44,41
174,2,5:52.0,C. Anthony misses 3-pt jump shot from 25 ft,,44,41
175,2,5:49.0,,Defensive rebound by M. Carter-Williams,44,41
176,2,5:47.0,,M. Williams makes 2-pt layup from 1 ft (assist by M. Carter-Williams),44,43
177,2,5:47.0,,Shooting foul by Á. Abrines (drawn by M. Williams),44,43
178,2,5:47.0,,M. Kidd-Gilchrist enters the game for J. Lamb,44,43
179,2,5:47.0,,N. Batum enters the game for M. Carter-Williams,44,43
180,2,5:47.0,P. George enters the game for R. Felton,,44,43
181,2,5:47.0,,M. Williams makes free throw 1 of 1,44,44
182,2,5:37.0,Á. Abrines misses 2-pt jump shot from 4 ft (block by D. Howard),,44,44
183,2,5:34.0,,Defensive rebound by N. Batum,44,44
184,2,5:20.0,,K. Walker misses 3-pt jump shot from 25 ft,44,44
185,2,5:17.0,Defensive rebound by Á. Abrines,,44,44
186,2,5:05.0,S. Adams misses 2-pt jump shot from 11 ft,,44,44
187,2,5:02.0,,Defensive rebound by D. Howard,44,44
188,2,4:56.0,,N. Batum misses 3-pt jump shot from 23 ft,44,44
189,2,4:53.0,Defensive rebound by C. Anthony,,44,44
190,2,4:48.0,C. Anthony misses 3-pt jump shot from 25 ft,,44,44
191,2,4:43.0,,Defensive rebound by M. Williams,44,44
192,2,4:35.0,,K. Walker misses 3-pt jump shot from 24 ft,44,44
193,2,4:32.0,Defensive rebound by R. Westbrook,,44,44
194,2,4:22.0,P. George makes 2-pt jump shot from 18 ft (assist by S. Adams),,46,44
195,2,4:05.0,T. Ferguson enters the game for Á. Abrines,,46,44
196,2,3:56.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft (block by S. Adams),46,44
197,2,3:56.0,,Offensive rebound by Team,46,44
198,2,3:56.0,,Turnover by Team (shot clock),46,44
199,2,3:34.0,R. Westbrook misses 3-pt jump shot from 25 ft,,46,44
200,2,3:30.0,Offensive rebound by S. Adams,,46,44
201,2,3:30.0,S. Adams misses 2-pt layup from 1 ft (block by D. Howard),,46,44
202,2,3:30.0,,Defensive rebound by D. Howard,46,44
203,2,3:23.0,,Shooting foul by P. George (drawn by K. Walker),46,44
204,2,3:23.0,,K. Walker misses free throw 1 of 2,46,44
205,2,3:23.0,,Offensive rebound by Team,46,44
206,2,3:23.0,,K. Walker makes free throw 2 of 2,46,45
207,2,3:08.0,R. Westbrook makes 2-pt jump shot from 17 ft,,48,45
208,2,2:48.0,,M. Williams makes 2-pt jump shot from 10 ft,48,47
209,2,2:42.0,R. Westbrook makes 2-pt layup at rim,,50,47
210,2,2:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,50,47
211,2,2:42.0,,Charlotte full timeout,50,47
212,2,2:42.0,R. Westbrook makes free throw 1 of 1,,51,47
213,2,2:26.0,,D. Howard makes 2-pt dunk at rim (assist by M. Williams),51,49
214,2,2:07.0,P. George misses 3-pt jump shot from 24 ft,,51,49
215,2,2:03.0,Offensive rebound by T. Ferguson,,51,49
216,2,1:58.0,T. Ferguson misses 3-pt jump shot from 22 ft,,51,49
217,2,1:55.0,,Defensive rebound by M. Williams,51,49
