,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:37.0,,R. Lopez makes 2-pt jump shot from 22 ft (assist by D. Nwaba),0,2
1,1,11:14.0,D. Cousins misses 2-pt jump shot from 20 ft,,0,2
2,1,11:13.0,Offensive rebound by Team,,0,2
3,1,11:04.0,J. Holiday makes 2-pt jump shot from 15 ft,,2,2
4,1,10:43.0,,J. Grant misses 3-pt jump shot from 25 ft,2,2
5,1,10:40.0,Defensive rebound by J. Holiday,,2,2
6,1,10:35.0,J. Holiday misses 3-pt jump shot from 26 ft,,2,2
7,1,10:31.0,,Defensive rebound by D. Nwaba,2,2
8,1,10:20.0,,L. Markkanen misses 3-pt jump shot from 25 ft,2,2
9,1,10:16.0,Defensive rebound by D. Cousins,,2,2
10,1,10:11.0,A. Davis makes 2-pt dunk at rim (assist by D. Cunningham),,4,2
11,1,9:55.0,,D. Nwaba misses 2-pt layup from 4 ft,4,2
12,1,9:53.0,Defensive rebound by J. Holiday,,4,2
13,1,9:42.0,D. Cunningham makes 2-pt jump shot from 22 ft (assist by J. Holiday),,6,2
14,1,9:25.0,,D. Nwaba misses 2-pt layup from 2 ft,6,2
15,1,9:25.0,Defensive rebound by E. Moore,,6,2
16,1,9:18.0,D. Cousins makes 3-pt jump shot from 27 ft (assist by D. Cunningham),,9,2
17,1,9:04.0,,Shooting foul by J. Holiday (drawn by R. Lopez),9,2
18,1,9:04.0,,R. Lopez makes free throw 1 of 2,9,3
19,1,9:04.0,,R. Lopez misses free throw 2 of 2,9,3
20,1,9:01.0,Defensive rebound by D. Cousins,,9,3
21,1,8:47.0,D. Cunningham misses 2-pt layup from 3 ft,,9,3
22,1,8:44.0,,Defensive rebound by J. Holiday,9,3
23,1,8:33.0,,R. Lopez misses 2-pt jump shot from 18 ft,9,3
24,1,8:29.0,Defensive rebound by A. Davis,,9,3
25,1,8:26.0,A. Davis misses 2-pt jump shot from 20 ft,,9,3
26,1,8:23.0,,Defensive rebound by J. Grant,9,3
27,1,8:04.0,,R. Lopez makes 2-pt jump shot from 17 ft (assist by D. Nwaba),9,5
28,1,7:50.0,D. Cunningham misses 3-pt jump shot from 22 ft,,9,5
29,1,7:48.0,,Defensive rebound by J. Grant,9,5
30,1,7:42.0,,L. Markkanen misses 3-pt jump shot from 25 ft,9,5
31,1,7:38.0,Defensive rebound by E. Moore,,9,5
32,1,7:35.0,A. Davis makes 2-pt layup at rim (assist by E. Moore),,11,5
33,1,7:11.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by J. Grant),11,7
34,1,6:56.0,E. Moore misses 3-pt jump shot from 25 ft,,11,7
35,1,6:53.0,,Defensive rebound by L. Markkanen,11,7
36,1,6:47.0,,Personal foul by D. Cousins (drawn by J. Grant),11,7
37,1,6:47.0,,Chicago full timeout,11,7
38,1,6:34.0,,J. Holiday misses 3-pt jump shot from 23 ft,11,7
39,1,6:29.0,Defensive rebound by A. Davis,,11,7
40,1,6:22.0,A. Davis makes 2-pt layup from 1 ft,,13,7
41,1,5:58.0,,Turnover by Team (shot clock),13,7
42,1,5:39.0,E. Moore misses 2-pt layup from 2 ft,,13,7
43,1,5:37.0,,Defensive rebound by J. Grant,13,7
44,1,5:35.0,,J. Holiday makes 2-pt jump shot from 20 ft (assist by J. Grant),13,9
45,1,5:26.0,Turnover by J. Holiday (bad pass; steal by J. Holiday),,13,9
46,1,5:20.0,,R. Lopez makes 2-pt jump shot from 17 ft (assist by J. Grant),13,11
47,1,4:52.0,D. Cousins misses 3-pt jump shot from 22 ft,,13,11
48,1,4:52.0,Offensive rebound by Team,,13,11
49,1,4:52.0,Turnover by Team (shot clock),,13,11
50,1,4:32.0,,R. Lopez misses 2-pt jump shot from 18 ft,13,11
51,1,4:28.0,Defensive rebound by D. Cunningham,,13,11
52,1,4:25.0,,Violation by J. Grant (kicked ball),13,11
53,1,4:25.0,,D. Valentine enters the game for J. Grant,13,11
54,1,4:25.0,,K. Dunn enters the game for D. Nwaba,13,11
55,1,4:25.0,,P. Zipser enters the game for L. Markkanen,13,11
56,1,4:25.0,J. Nelson enters the game for J. Holiday,,13,11
57,1,4:09.0,A. Davis makes 2-pt layup from 5 ft (assist by E. Moore),,15,11
58,1,3:51.0,,P. Zipser misses 2-pt jump shot from 4 ft (block by A. Davis),15,11
59,1,3:49.0,,Offensive rebound by D. Valentine,15,11
60,1,3:43.0,,P. Zipser misses 3-pt jump shot from 26 ft,15,11
61,1,3:43.0,Defensive rebound by D. Cunningham,,15,11
62,1,3:31.0,Turnover by J. Nelson (bad pass; steal by P. Zipser),,15,11
63,1,3:24.0,,J. Holiday misses 3-pt jump shot from 23 ft,15,11
64,1,3:21.0,Defensive rebound by A. Davis,,15,11
65,1,3:15.0,D. Cousins misses 3-pt jump shot from 26 ft,,15,11
66,1,3:15.0,,Defensive rebound by K. Dunn,15,11
67,1,3:01.0,,R. Lopez makes 2-pt layup at rim (assist by K. Dunn),15,13
68,1,2:36.0,E. Moore misses 2-pt jump shot from 19 ft,,15,13
69,1,2:33.0,,Defensive rebound by J. Holiday,15,13
70,1,2:27.0,,Turnover by K. Dunn (out of bounds lost ball),15,13
71,1,2:27.0,New Orleans full timeout,,15,13
72,1,2:27.0,T. Allen enters the game for A. Davis,,15,13
73,1,2:27.0,D. Miller enters the game for D. Cunningham,,15,13
74,1,2:11.0,D. Cousins misses 2-pt jump shot from 19 ft,,15,13
75,1,2:06.0,,Defensive rebound by P. Zipser,15,13
76,1,1:56.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by R. Lopez),15,16
77,1,1:30.0,Turnover by J. Nelson (bad pass; steal by K. Dunn),,15,16
78,1,1:22.0,,Turnover by K. Dunn (bad pass; steal by T. Allen),15,16
79,1,1:15.0,T. Allen misses 2-pt layup from 3 ft (block by R. Lopez),,15,16
80,1,1:11.0,,Defensive rebound by R. Lopez,15,16
81,1,1:00.0,,K. Dunn makes 2-pt layup from 2 ft,15,18
82,1,0:49.0,T. Allen misses 2-pt layup from 1 ft,,15,18
83,1,0:47.0,Offensive rebound by T. Allen,,15,18
84,1,0:47.0,T. Allen makes 2-pt layup at rim,,17,18
85,1,0:36.0,,Shooting foul by T. Allen (drawn by J. Holiday),17,18
86,1,0:36.0,,J. Holiday makes free throw 1 of 2,17,19
87,1,0:36.0,,J. Holiday misses free throw 2 of 2,17,19
88,1,0:33.0,,Offensive rebound by K. Dunn,17,19
89,1,0:30.0,,J. Holiday misses 3-pt jump shot from 24 ft,17,19
90,1,0:27.0,Defensive rebound by J. Nelson,,17,19
91,1,0:15.0,D. Cousins misses 2-pt jump shot from 21 ft,,17,19
92,1,0:12.0,,Defensive rebound by J. Holiday,17,19
93,1,0:01.0,,Turnover by K. Dunn (lost ball; steal by J. Nelson),17,19
94,2,11:43.0,Shooting foul by Q. Pondexter (drawn by T. Allen),,17,19
95,2,11:43.0,T. Allen misses free throw 1 of 2,,17,19
96,2,11:43.0,Offensive rebound by Team,,17,19
97,2,11:43.0,T. Allen misses free throw 2 of 2,,17,19
98,2,11:40.0,,Defensive rebound by Q. Pondexter,17,19
99,2,11:20.0,,D. Valentine makes 3-pt jump shot from 26 ft (assist by K. Dunn),17,22
100,2,11:01.0,A. Davis misses 2-pt jump shot from 20 ft,,17,22
101,2,10:58.0,,Defensive rebound by K. Dunn,17,22
102,2,10:45.0,,Q. Pondexter misses 3-pt jump shot from 25 ft,17,22
103,2,10:42.0,Defensive rebound by A. Davis,,17,22
