,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
0,1,11:40.0,K. Durant misses 2-pt jump shot from 15 ft,,0,0
1,1,11:36.0,Offensive rebound by S. Curry,,0,0
2,1,11:30.0,Turnover by D. Green (bad pass; steal by J. Simmons),,0,0
3,1,11:24.0,,Turnover by J. Simmons (lost ball; steal by D. Green),0,0
4,1,11:12.0,K. Durant makes 2-pt layup from 1 ft,,2,0
5,1,11:12.0,Shooting foul by N. Vučević (drawn by K. Durant),,2,0
6,1,11:12.0,K. Durant makes free throw 1 of 1,,3,0
7,1,11:02.0,,E. Payton misses 2-pt layup from 3 ft (block by K. Durant),3,0
8,1,11:00.0,Defensive rebound by Z. Pachulia,,3,0
9,1,10:57.0,S. Curry misses 2-pt jump shot from 15 ft,,3,0
10,1,10:57.0,,Defensive rebound by N. Vučević,3,0
11,1,10:48.0,,Turnover by A. Gordon (lost ball; steal by D. Green),3,0
12,1,10:42.0,Offensive foul by Z. Pachulia (drawn by J. Simmons),,3,0
13,1,10:42.0,Turnover by Z. Pachulia (offensive foul),,3,0
14,1,10:29.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),3,2
15,1,10:16.0,K. Durant makes 2-pt dunk from 1 ft (assist by Z. Pachulia),,5,2
16,1,10:05.0,,A. Gordon misses 3-pt jump shot from 26 ft,5,2
17,1,10:01.0,Defensive rebound by K. Thompson,,5,2
18,1,9:56.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,8,2
19,1,9:44.0,,J. Simmons misses 3-pt jump shot from 22 ft,8,2
20,1,9:44.0,Defensive rebound by D. Green,,8,2
21,1,9:35.0,S. Curry makes 2-pt jump shot from 16 ft,,10,2
22,1,9:34.0,,Orlando full timeout,10,2
23,1,9:21.0,,E. Fournier makes 3-pt jump shot from 22 ft (assist by E. Payton),10,5
24,1,9:06.0,Z. Pachulia makes 2-pt dunk at rim (assist by K. Thompson),,12,5
25,1,8:44.0,,E. Fournier makes 2-pt layup from 1 ft,12,7
26,1,8:44.0,,Shooting foul by D. Green (drawn by E. Fournier),12,7
27,1,8:44.0,,E. Fournier makes free throw 1 of 1,12,8
28,1,8:32.0,K. Durant makes 2-pt layup at rim,,14,8
29,1,8:32.0,Shooting foul by E. Fournier (drawn by K. Durant),,14,8
30,1,8:32.0,K. Durant makes free throw 1 of 1,,15,8
31,1,8:22.0,,N. Vučević misses 2-pt dunk from 2 ft (block by K. Durant),15,8
32,1,8:16.0,Defensive rebound by K. Thompson,,15,8
33,1,8:15.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Green),,17,8
34,1,8:01.0,,Turnover by A. Gordon (discontinued dribble),17,8
35,1,7:51.0,Turnover by D. Green (bad pass; steal by E. Payton),,17,8
36,1,7:45.0,,J. Simmons makes 2-pt dunk from 2 ft (assist by E. Payton),17,10
37,1,7:26.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),,19,10
38,1,7:13.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by J. Simmons),19,13
39,1,7:03.0,S. Curry misses 3-pt jump shot from 25 ft,,19,13
40,1,7:01.0,,Defensive rebound by A. Gordon,19,13
41,1,6:52.0,,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),19,15
42,1,6:43.0,Golden State full timeout,,19,15
43,1,6:39.0,S. Curry makes 2-pt jump shot from 12 ft,,21,15
44,1,6:15.0,,N. Vučević makes 2-pt hook shot from 9 ft,21,17
45,1,5:53.0,K. Durant misses 3-pt jump shot from 23 ft,,21,17
46,1,5:50.0,,Defensive rebound by J. Simmons,21,17
47,1,5:37.0,,E. Payton misses 2-pt jump shot from 10 ft,21,17
48,1,5:35.0,Defensive rebound by Z. Pachulia,,21,17
49,1,5:32.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,23,17
50,1,5:13.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by J. Simmons),23,19
51,1,4:49.0,K. Thompson makes 2-pt layup from 1 ft (assist by Z. Pachulia),,25,19
52,1,4:30.0,,J. Simmons makes 2-pt layup from 1 ft,25,21
53,1,4:16.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by D. Green),,27,21
54,1,4:03.0,,A. Gordon misses 2-pt jump shot from 8 ft (block by D. Green),27,21
55,1,3:58.0,Defensive rebound by D. Green,,27,21
56,1,3:55.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),,30,21
57,1,3:54.0,,Orlando full timeout,30,21
58,1,3:54.0,J. Bell enters the game for D. Green,,30,21
59,1,3:54.0,O. Casspi enters the game for Z. Pachulia,,30,21
60,1,3:34.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by N. Vučević),30,24
61,1,3:22.0,Offensive foul by S. Curry (drawn by E. Payton),,30,24
62,1,3:22.0,Turnover by S. Curry (offensive foul),,30,24
63,1,3:22.0,P. McCaw enters the game for K. Thompson,,30,24
64,1,3:08.0,,A. Gordon misses 3-pt jump shot from 26 ft,30,24
65,1,3:02.0,Defensive rebound by S. Curry,,30,24
66,1,3:00.0,,A. Afflalo enters the game for J. Simmons,30,24
67,1,2:52.0,K. Durant makes 2-pt jump shot from 8 ft,,32,24
68,1,2:41.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),32,27
69,1,2:33.0,Personal foul by E. Fournier (drawn by S. Curry),,32,27
70,1,2:33.0,,D. Augustin enters the game for E. Fournier,32,27
71,1,2:22.0,J. Bell makes 2-pt jump shot from 10 ft (assist by K. Durant),,34,27
72,1,2:10.0,,N. Vučević misses 2-pt hook shot from 8 ft (block by K. Durant),34,27
73,1,2:05.0,,Offensive rebound by N. Vučević,34,27
74,1,2:04.0,,N. Vučević misses 2-pt hook shot from 5 ft,34,27
75,1,2:04.0,Defensive rebound by O. Casspi,,34,27
76,1,1:56.0,O. Casspi makes 2-pt layup from 1 ft (assist by K. Durant),,36,27
77,1,1:44.0,,Shooting foul by O. Casspi (drawn by A. Afflalo),36,27
78,1,1:44.0,D. Green enters the game for K. Durant,,36,27
79,1,1:44.0,,B. Biyombo enters the game for N. Vučević,36,27
80,1,1:44.0,,A. Afflalo makes free throw 1 of 2,36,28
81,1,1:44.0,,A. Afflalo makes free throw 2 of 2,36,29
82,1,1:34.0,Personal foul by E. Payton (drawn by S. Curry),,36,29
83,1,1:27.0,J. Bell makes 2-pt layup at rim (assist by S. Curry),,38,29
84,1,1:11.0,,A. Afflalo misses 2-pt jump shot from 16 ft,38,29
85,1,1:07.0,,Offensive rebound by B. Biyombo,38,29
86,1,1:01.0,,B. Biyombo makes 2-pt layup from 2 ft,38,31
87,1,0:57.0,D. Green misses 2-pt jump shot from 13 ft,,38,31
88,1,0:55.0,Offensive rebound by Team,,38,31
89,1,0:48.0,S. Curry misses 3-pt jump shot from 25 ft,,38,31
90,1,0:48.0,,Defensive rebound by E. Payton,38,31
91,1,0:41.0,,E. Payton misses 2-pt jump shot from 9 ft (block by J. Bell),38,31
92,1,0:41.0,,Offensive rebound by E. Payton,38,31
93,1,0:30.0,,D. Augustin misses 2-pt layup from 1 ft (block by J. Bell),38,31
94,1,0:27.0,,Offensive rebound by D. Augustin,38,31
95,1,0:25.0,,Turnover by D. Augustin (bad pass; steal by S. Curry),38,31
96,1,0:07.0,S. Curry makes 3-pt jump shot from 29 ft,,41,31
97,1,0:00.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by E. Payton),41,34
98,2,11:36.0,,J. Simmons misses 3-pt jump shot from 29 ft,41,34
99,2,11:32.0,Defensive rebound by S. Livingston,,41,34
100,2,11:18.0,K. Thompson misses 2-pt jump shot from 15 ft,,41,34
101,2,11:13.0,,Defensive rebound by J. Simmons,41,34
102,2,11:05.0,,Turnover by D. Augustin (bad pass; steal by D. West),41,34
103,2,11:02.0,Shooting foul by M. Hezonja (drawn by O. Casspi),,41,34
104,2,11:02.0,O. Casspi makes free throw 1 of 2,,42,34
105,2,11:02.0,O. Casspi makes free throw 2 of 2,,43,34
106,2,10:53.0,,Shooting foul by D. West (drawn by B. Biyombo),43,34
107,2,10:53.0,,B. Biyombo makes free throw 1 of 2,43,35
108,2,10:53.0,,B. Biyombo makes free throw 2 of 2,43,36
109,2,10:40.0,D. West misses 2-pt jump shot from 10 ft,,43,36
110,2,10:37.0,,Defensive rebound by B. Biyombo,43,36
111,2,10:20.0,,B. Biyombo misses 2-pt jump shot from 3 ft (block by D. West),43,36
112,2,10:16.0,,Offensive rebound by D. Augustin,43,36
113,2,10:15.0,,D. Augustin misses 2-pt jump shot from 14 ft,43,36
114,2,10:15.0,,Offensive rebound by Team,43,36
115,2,10:15.0,,Turnover by Team (shot clock),43,36
116,2,10:05.0,,Offensive charge foul by D. West (drawn by B. Biyombo),43,36
117,2,10:05.0,Turnover by D. West (offensive foul),,43,36
118,2,9:51.0,,J. Simmons makes 2-pt jump shot from 10 ft (assist by D. Augustin),43,38
119,2,9:38.0,D. Green misses 2-pt layup from 3 ft (block by B. Biyombo),,43,38
120,2,9:38.0,Offensive rebound by Team,,43,38
121,2,9:34.0,Turnover by S. Livingston (bad pass; steal by D. Augustin),,43,38
122,2,9:28.0,,D. Augustin misses 2-pt layup from 2 ft,43,38
123,2,9:26.0,Defensive rebound by D. West,,43,38
124,2,9:24.0,Turnover by D. Green (bad pass),,43,38
125,2,9:08.0,,A. Afflalo misses 2-pt jump shot from 21 ft,43,38
126,2,9:06.0,Defensive rebound by D. Green,,43,38
127,2,9:02.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,46,38
128,2,9:01.0,,Orlando full timeout,46,38
129,2,8:49.0,,J. Simmons misses 2-pt jump shot from 17 ft,46,38
130,2,8:45.0,Defensive rebound by O. Casspi,,46,38
131,2,8:34.0,O. Casspi makes 3-pt jump shot from 25 ft (assist by D. West),,49,38
132,2,8:16.0,,M. Hezonja misses 3-pt jump shot from 22 ft,49,38
133,2,8:13.0,,Offensive rebound by M. Hezonja,49,38
134,2,8:09.0,,J. Simmons makes 2-pt jump shot from 18 ft,49,40
135,2,7:52.0,Turnover by S. Livingston (bad pass),,49,40
