,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
0,1,11:53.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,0
1,1,11:51.0,,Defensive rebound by K. Towns,0,0
2,1,11:21.0,,K. Towns makes 2-pt jump shot from 6 ft,0,2
3,1,11:06.0,P. Tucker misses 3-pt jump shot from 22 ft,,0,2
4,1,11:03.0,,Defensive rebound by K. Towns,0,2
5,1,10:46.0,,T. Gibson misses 3-pt jump shot from 24 ft,0,2
6,1,10:43.0,,Offensive rebound by K. Towns,0,2
7,1,10:43.0,,K. Towns misses 2-pt layup from 1 ft (block by C. Capela),0,2
8,1,10:43.0,,Offensive rebound by Team,0,2
9,1,10:39.0,,Turnover by Team (shot clock),0,2
10,1,10:33.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,2,2
11,1,10:11.0,,J. Teague misses 3-pt jump shot from 23 ft,2,2
12,1,10:08.0,Defensive rebound by C. Capela,,2,2
13,1,9:58.0,Shooting foul by A. Wiggins (drawn by C. Capela),,2,2
14,1,9:58.0,C. Capela misses free throw 1 of 2,,2,2
15,1,9:58.0,Offensive rebound by Team,,2,2
16,1,9:58.0,C. Capela misses free throw 2 of 2,,2,2
17,1,9:56.0,,Defensive rebound by K. Towns,2,2
18,1,9:39.0,,A. Wiggins makes 2-pt jump shot from 12 ft,2,4
19,1,9:24.0,J. Harden misses 3-pt jump shot from 24 ft,,2,4
20,1,9:21.0,,Defensive rebound by A. Wiggins,2,4
21,1,9:17.0,,Turnover by J. Teague (bad pass; steal by J. Harden),2,4
22,1,9:13.0,T. Ariza misses 3-pt jump shot from 22 ft,,2,4
23,1,9:10.0,,Defensive rebound by N. Bjelica,2,4
24,1,8:58.0,,T. Gibson misses 2-pt jump shot from 7 ft (block by P. Tucker),2,4
25,1,8:56.0,Defensive rebound by C. Capela,,2,4
26,1,8:51.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),,5,4
27,1,8:28.0,,J. Teague makes 3-pt jump shot from 22 ft (assist by N. Bjelica),5,7
28,1,8:03.0,J. Harden makes 2-pt jump shot from 11 ft,,7,7
29,1,7:51.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by J. Teague),7,9
30,1,7:44.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by T. Ariza),,10,9
31,1,7:36.0,,Minnesota full timeout,10,9
32,1,7:28.0,,K. Towns misses 2-pt jump shot from 17 ft,10,9
33,1,7:26.0,Defensive rebound by Team,,10,9
34,1,7:26.0,,Loose ball foul by T. Gibson (drawn by C. Paul),10,9
35,1,7:10.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),,13,9
36,1,6:49.0,,A. Wiggins misses 2-pt jump shot from 11 ft,13,9
37,1,6:47.0,Defensive rebound by C. Capela,,13,9
38,1,6:43.0,T. Ariza misses 3-pt jump shot from 22 ft,,13,9
39,1,6:40.0,Offensive rebound by C. Capela,,13,9
40,1,6:34.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,15,9
41,1,6:29.0,,Offensive foul by T. Gibson (drawn by J. Harden),15,9
42,1,6:29.0,,Turnover by T. Gibson (offensive foul),15,9
43,1,6:29.0,,T. Jones enters the game for T. Gibson,15,9
44,1,6:29.0,,J. Crawford enters the game for J. Teague,15,9
45,1,6:29.0,L. Mbah a Moute enters the game for C. Paul,,15,9
46,1,6:29.0,E. Gordon enters the game for P. Tucker,,15,9
47,1,6:07.0,T. Ariza makes 2-pt layup from 1 ft,,17,9
48,1,5:45.0,,A. Wiggins makes 2-pt layup from 2 ft,17,11
49,1,5:35.0,Offensive foul by L. Mbah a Moute (drawn by A. Wiggins),,17,11
50,1,5:35.0,Turnover by L. Mbah a Moute (offensive foul),,17,11
51,1,5:27.0,,Personal foul by C. Capela (drawn by K. Towns),17,11
52,1,5:27.0,R. Anderson enters the game for C. Capela,,17,11
53,1,5:11.0,,T. Jones misses 3-pt jump shot from 26 ft,17,11
54,1,5:10.0,Defensive rebound by L. Mbah a Moute,,17,11
55,1,4:59.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),,20,11
56,1,4:40.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Jones),20,14
57,1,4:15.0,T. Ariza misses 2-pt layup from 2 ft,,20,14
58,1,4:14.0,,Defensive rebound by N. Bjelica,20,14
59,1,4:06.0,,J. Crawford makes 3-pt jump shot from 25 ft (assist by N. Bjelica),20,17
60,1,3:53.0,Shooting block foul by J. Crawford (drawn by J. Harden),,20,17
61,1,3:53.0,J. Harden makes free throw 1 of 2,,21,17
62,1,3:53.0,,G. Dieng enters the game for K. Towns,21,17
63,1,3:53.0,G. Green enters the game for T. Ariza,,21,17
64,1,3:53.0,J. Harden makes free throw 2 of 2,,22,17
65,1,3:35.0,,Turnover by N. Bjelica (lost ball; steal by J. Harden),22,17
66,1,3:30.0,G. Green makes 2-pt dunk at rim (assist by J. Harden),,24,17
67,1,3:23.0,,Turnover by A. Wiggins (lost ball; steal by L. Mbah a Moute),24,17
68,1,3:18.0,G. Green makes 3-pt jump shot from 24 ft (assist by J. Harden),,27,17
69,1,2:56.0,,A. Wiggins misses 2-pt jump shot from 14 ft,27,17
70,1,2:53.0,Defensive rebound by J. Harden,,27,17
71,1,2:35.0,J. Harden makes 2-pt layup from 1 ft,,29,17
72,1,2:17.0,,T. Jones misses 2-pt jump shot from 3 ft,29,17
73,1,2:16.0,Defensive rebound by J. Harden,,29,17
74,1,2:10.0,J. Harden misses 3-pt jump shot from 27 ft,,29,17
75,1,2:06.0,,Defensive rebound by G. Dieng,29,17
76,1,1:57.0,,A. Wiggins misses 2-pt jump shot from 5 ft,29,17
77,1,1:54.0,Defensive rebound by J. Harden,,29,17
78,1,1:44.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by E. Gordon),,32,17
79,1,1:30.0,,N. Bjelica misses 3-pt jump shot from 28 ft,32,17
80,1,1:27.0,,Offensive rebound by G. Dieng,32,17
81,1,1:21.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by A. Wiggins),32,19
82,1,1:20.0,Houston full timeout,,32,19
83,1,1:20.0,C. Paul enters the game for J. Harden,,32,19
84,1,1:03.0,L. Mbah a Moute makes 2-pt dunk from 1 ft (assist by R. Anderson),,34,19
85,1,0:41.0,,T. Jones misses 3-pt jump shot from 26 ft,34,19
86,1,0:38.0,,Offensive rebound by A. Wiggins,34,19
87,1,0:38.0,,A. Wiggins makes 2-pt layup at rim,34,21
88,1,0:32.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,36,21
89,1,0:15.0,,J. Crawford makes 2-pt layup from 2 ft,36,23
90,1,0:05.0,Personal take foul by T. Jones (drawn by C. Paul),,36,23
91,1,0:00.0,C. Paul makes 2-pt jump shot from 21 ft,,38,23
92,2,11:49.0,,J. Crawford misses 2-pt jump shot from 21 ft,38,23
93,2,11:46.0,Defensive rebound by C. Paul,,38,23
94,2,11:42.0,G. Green makes 2-pt dunk from 1 ft (assist by C. Paul),,40,23
95,2,11:28.0,,D. Rose misses 2-pt jump shot from 16 ft,40,23
96,2,11:28.0,Defensive rebound by C. Paul,,40,23
97,2,11:03.0,Shooting foul by J. Teague (drawn by C. Paul),,40,23
98,2,11:03.0,C. Paul makes free throw 1 of 3,,41,23
99,2,11:03.0,C. Paul makes free throw 2 of 3,,42,23
100,2,11:03.0,,K. Towns enters the game for G. Dieng,42,23
