,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:42.0,,G. Dragić misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by M. Brogdon,,0,0
2,1,11:39.0,Shooting foul by T. Johnson (drawn by E. Bledsoe),,0,0
3,1,11:39.0,E. Bledsoe makes free throw 1 of 2,,1,0
4,1,11:39.0,E. Bledsoe misses free throw 2 of 2,,1,0
5,1,11:36.0,,Defensive rebound by H. Whiteside,1,0
6,1,11:22.0,,J. Johnson misses 2-pt layup at rim,1,0
7,1,11:15.0,Defensive rebound by J. Henson,,1,0
8,1,11:08.0,G. Antetokounmpo makes 2-pt layup at rim (assist by E. Bledsoe),,3,0
9,1,10:56.0,,Turnover by G. Dragić (bad pass; steal by M. Brogdon),3,0
10,1,10:47.0,G. Antetokounmpo misses 2-pt layup at rim,,3,0
11,1,10:45.0,,Defensive rebound by J. Richardson,3,0
12,1,10:38.0,,T. Johnson misses 3-pt jump shot from 23 ft,3,0
13,1,10:36.0,Defensive rebound by J. Henson,,3,0
14,1,10:26.0,K. Middleton misses 2-pt jump shot from 3 ft,,3,0
15,1,10:25.0,,Defensive rebound by T. Johnson,3,0
16,1,10:18.0,,T. Johnson misses 3-pt jump shot from 24 ft,3,0
17,1,10:15.0,Defensive rebound by J. Henson,,3,0
18,1,10:05.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,6,0
19,1,9:51.0,Violation by E. Bledsoe (kicked ball),,6,0
20,1,9:43.0,,Personal foul by K. Middleton (drawn by J. Richardson),6,0
21,1,9:37.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),6,3
22,1,9:10.0,J. Henson misses 2-pt hook shot from 4 ft (block by H. Whiteside),,6,3
23,1,9:07.0,Offensive rebound by J. Henson,,6,3
24,1,9:07.0,Shooting foul by J. Richardson (drawn by K. Middleton),,6,3
25,1,9:07.0,K. Middleton makes free throw 1 of 3,,7,3
26,1,9:07.0,K. Middleton makes free throw 2 of 3,,8,3
27,1,9:07.0,K. Middleton makes free throw 3 of 3,,9,3
28,1,8:51.0,,J. Johnson makes 2-pt layup at rim (assist by T. Johnson),9,5
29,1,8:37.0,M. Brogdon makes 2-pt layup at rim,,11,5
30,1,8:24.0,,T. Johnson misses 2-pt jump shot from 22 ft,11,5
31,1,8:21.0,Defensive rebound by K. Middleton,,11,5
32,1,8:13.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,11,5
33,1,8:13.0,G. Antetokounmpo makes free throw 1 of 2,,12,5
34,1,8:13.0,G. Antetokounmpo makes free throw 2 of 2,,13,5
35,1,8:00.0,,Turnover by H. Whiteside (lost ball; steal by K. Middleton),13,5
36,1,7:54.0,K. Middleton misses 2-pt layup at rim (block by H. Whiteside),,13,5
37,1,7:50.0,,Defensive rebound by J. Richardson,13,5
38,1,7:48.0,,J. Richardson makes 2-pt layup from 1 ft,13,7
39,1,7:35.0,Turnover by K. Middleton (bad pass; steal by J. Johnson),,13,7
40,1,7:34.0,,Offensive foul by H. Whiteside (drawn by E. Bledsoe),13,7
41,1,7:34.0,,Turnover by H. Whiteside (bad pass),13,7
42,1,7:15.0,E. Bledsoe misses 2-pt jump shot from 9 ft,,13,7
43,1,7:12.0,,Defensive rebound by T. Johnson,13,7
44,1,6:55.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),13,9
45,1,6:42.0,G. Antetokounmpo makes 2-pt jump shot from 17 ft,,15,9
46,1,6:29.0,,G. Dragić misses 2-pt layup from 3 ft,15,9
47,1,6:29.0,,Offensive rebound by Team,15,9
