,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:42.0,R. Lopez misses 2-pt hook shot from 8 ft,,0,0
1,1,11:35.0,Offensive rebound by L. Markkanen,,0,0
2,1,11:35.0,L. Markkanen misses 2-pt layup at rim,,0,0
3,1,11:34.0,,Defensive rebound by A. Gordon,0,0
4,1,11:25.0,,S. Mack misses 3-pt jump shot from 21 ft,0,0
5,1,11:22.0,Defensive rebound by L. Markkanen,,0,0
6,1,11:12.0,J. Holiday makes 2-pt layup from 1 ft,,2,0
7,1,10:52.0,,T. Ross misses 3-pt jump shot from 23 ft,2,0
8,1,10:49.0,Defensive rebound by J. Grant,,2,0
9,1,10:44.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by J. Grant),,5,0
10,1,10:27.0,,N. Vučević misses 2-pt jump shot from 22 ft,5,0
11,1,10:24.0,Defensive rebound by J. Grant,,5,0
12,1,10:19.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Grant),,8,0
13,1,10:04.0,,E. Fournier misses 2-pt layup from 2 ft,8,0
14,1,10:01.0,Defensive rebound by R. Lopez,,8,0
15,1,9:48.0,R. Lopez misses 2-pt jump shot from 13 ft,,8,0
16,1,9:45.0,,Defensive rebound by S. Mack,8,0
17,1,9:39.0,,E. Fournier makes 2-pt layup from 2 ft (assist by S. Mack),8,2
18,1,9:32.0,J. Grant misses 2-pt jump shot from 6 ft,,8,2
19,1,9:32.0,,Defensive rebound by E. Fournier,8,2
20,1,9:24.0,,A. Gordon misses 3-pt jump shot from 27 ft,8,2
21,1,9:24.0,Defensive rebound by D. Nwaba,,8,2
22,1,9:12.0,J. Holiday makes 2-pt jump shot from 5 ft (assist by R. Lopez),,10,2
23,1,8:49.0,,E. Fournier misses 2-pt layup from 3 ft,10,2
24,1,8:49.0,Defensive rebound by Team,,10,2
25,1,8:39.0,Personal foul by A. Gordon (drawn by L. Markkanen),,10,2
26,1,8:30.0,J. Grant misses 2-pt layup from 4 ft,,10,2
27,1,8:27.0,Offensive rebound by J. Grant,,10,2
28,1,8:24.0,D. Nwaba makes 2-pt layup from 1 ft (assist by J. Grant),,12,2
29,1,8:16.0,,N. Vučević makes 2-pt layup from 1 ft (assist by S. Mack),12,4
30,1,7:53.0,Shooting foul by N. Vučević (drawn by J. Holiday),,12,4
31,1,7:53.0,J. Holiday makes free throw 1 of 3,,13,4
32,1,7:53.0,J. Holiday makes free throw 2 of 3,,14,4
33,1,7:53.0,,Orlando full timeout,14,4
34,1,7:53.0,J. Holiday makes free throw 3 of 3,,15,4
35,1,7:41.0,,E. Fournier misses 2-pt layup from 4 ft,15,4
36,1,7:39.0,Defensive rebound by R. Lopez,,15,4
37,1,7:22.0,Turnover by J. Grant (bad pass; steal by E. Fournier),,15,4
38,1,7:17.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),15,6
39,1,6:55.0,J. Holiday misses 3-pt jump shot from 22 ft,,15,6
40,1,6:52.0,,Defensive rebound by E. Fournier,15,6
41,1,6:45.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),15,9
42,1,6:23.0,R. Lopez misses 2-pt layup from 3 ft,,15,9
43,1,6:19.0,,Defensive rebound by N. Vučević,15,9
44,1,6:11.0,,N. Vučević misses 2-pt jump shot from 14 ft,15,9
45,1,6:08.0,Defensive rebound by J. Grant,,15,9
46,1,6:01.0,J. Grant misses 2-pt jump shot from 16 ft,,15,9
47,1,5:57.0,,Defensive rebound by S. Mack,15,9
48,1,5:49.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by E. Fournier),15,11
49,1,5:49.0,Chicago full timeout,,15,11
50,1,5:49.0,,J. Simmons enters the game for T. Ross,15,11
51,1,5:49.0,K. Dunn enters the game for J. Grant,,15,11
52,1,5:37.0,J. Holiday makes 2-pt jump shot from 18 ft (assist by K. Dunn),,17,11
53,1,5:19.0,,A. Gordon misses 2-pt jump shot from 5 ft,17,11
54,1,5:13.0,Defensive rebound by L. Markkanen,,17,11
55,1,5:10.0,K. Dunn misses 2-pt jump shot from 17 ft,,17,11
56,1,5:07.0,,Defensive rebound by E. Fournier,17,11
