,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,S. Ibaka makes 2-pt jump shot from 13 ft,,2,0
1,1,11:22.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by K. Middleton),2,2
2,1,11:22.0,,Shooting foul by J. Valančiūnas (drawn by G. Antetokounmpo),2,2
3,1,11:22.0,,G. Antetokounmpo makes free throw 1 of 1,2,3
4,1,11:09.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,5,3
5,1,10:56.0,,K. Middleton makes 2-pt jump shot from 16 ft,5,5
6,1,10:34.0,K. Lowry misses 3-pt jump shot from 29 ft,,5,5
7,1,10:34.0,,Defensive rebound by Team,5,5
8,1,10:34.0,Loose ball foul by J. Valančiūnas (drawn by J. Henson),,5,5
9,1,10:34.0,L. Nogueira enters the game for J. Valančiūnas,,5,5
10,1,10:24.0,,Personal foul by D. DeRozan (drawn by G. Antetokounmpo),5,5
11,1,10:22.0,,Turnover by G. Antetokounmpo (bad pass; steal by D. DeRozan),5,5
12,1,10:22.0,Personal take foul by E. Bledsoe (drawn by D. DeRozan),,5,5
13,1,10:03.0,Turnover by S. Ibaka (lost ball; steal by K. Middleton),,5,5
14,1,9:58.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),5,7
15,1,9:37.0,S. Ibaka misses 3-pt jump shot from 27 ft,,5,7
16,1,9:31.0,,Defensive rebound by T. Snell,5,7
17,1,9:27.0,,T. Snell misses 2-pt jump shot from 18 ft,5,7
18,1,9:24.0,Defensive rebound by K. Lowry,,5,7
19,1,9:11.0,K. Lowry misses 3-pt jump shot from 23 ft,,5,7
20,1,9:08.0,,Defensive rebound by G. Antetokounmpo,5,7
21,1,9:06.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),5,10
22,1,8:37.0,D. DeRozan misses 3-pt jump shot from 28 ft,,5,10
23,1,8:34.0,,Defensive rebound by J. Henson,5,10
24,1,8:31.0,,J. Henson makes 2-pt layup from 1 ft (assist by K. Middleton),5,12
25,1,8:31.0,,Shooting foul by L. Nogueira (drawn by J. Henson),5,12
26,1,8:31.0,,J. Henson misses free throw 1 of 1,5,12
27,1,8:29.0,Defensive rebound by L. Nogueira,,5,12
28,1,8:26.0,Toronto full timeout,,5,12
29,1,8:14.0,D. DeRozan makes 2-pt jump shot from 9 ft,,7,12
30,1,7:58.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,7,12
31,1,7:55.0,Defensive rebound by K. Lowry,,7,12
32,1,7:47.0,L. Nogueira makes 2-pt layup from 1 ft (assist by K. Lowry),,9,12
33,1,7:25.0,,K. Middleton misses 2-pt layup at rim,9,12
34,1,7:23.0,Defensive rebound by D. DeRozan,,9,12
35,1,7:18.0,D. DeRozan misses 2-pt jump shot from 16 ft,,9,12
36,1,7:15.0,Offensive rebound by S. Ibaka,,9,12
37,1,7:13.0,S. Ibaka makes 2-pt hook shot from 6 ft,,11,12
38,1,6:57.0,,Turnover by J. Henson (out of bounds lost ball),11,12
39,1,6:57.0,,M. Brogdon enters the game for G. Antetokounmpo,11,12
40,1,6:45.0,O. Anunoby misses 3-pt jump shot from 27 ft,,11,12
41,1,6:40.0,Offensive rebound by L. Nogueira,,11,12
42,1,6:29.0,K. Lowry misses 3-pt jump shot from 28 ft (block by E. Bledsoe),,11,12
43,1,6:24.0,Offensive rebound by K. Lowry,,11,12
44,1,6:21.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by L. Nogueira),,14,12
45,1,6:02.0,,Turnover by E. Bledsoe (lost ball; steal by O. Anunoby),14,12
46,1,5:58.0,L. Nogueira makes 2-pt layup at rim (assist by K. Lowry),,16,12
47,1,5:58.0,Shooting foul by T. Snell (drawn by L. Nogueira),,16,12
48,1,5:58.0,L. Nogueira makes free throw 1 of 1,,17,12
49,1,5:45.0,,T. Snell misses 3-pt jump shot from 25 ft,17,12
50,1,5:42.0,Defensive rebound by L. Nogueira,,17,12
51,1,5:29.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by D. DeRozan),,19,12
52,1,5:27.0,,Milwaukee full timeout,19,12
53,1,5:27.0,,T. Maker enters the game for T. Snell,19,12
54,1,5:27.0,,D. Liggins enters the game for J. Henson,19,12
55,1,5:08.0,,E. Bledsoe makes 2-pt layup at rim,19,14
56,1,4:54.0,S. Ibaka makes 2-pt layup from 1 ft (assist by L. Nogueira),,21,14
57,1,4:43.0,,M. Brogdon misses 2-pt layup from 2 ft (block by L. Nogueira),21,14
58,1,4:39.0,Defensive rebound by K. Lowry,,21,14
59,1,4:32.0,Turnover by O. Anunoby (bad pass),,21,14
60,1,4:32.0,C. Miles enters the game for O. Anunoby,,21,14
61,1,4:18.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),21,16
62,1,3:56.0,Shooting foul by K. Middleton (drawn by S. Ibaka),,21,16
63,1,3:56.0,S. Ibaka makes free throw 1 of 2,,22,16
64,1,3:56.0,S. Ibaka makes free throw 2 of 2,,23,16
65,1,3:38.0,,Shooting foul by L. Nogueira (drawn by E. Bledsoe),23,16
66,1,3:38.0,,E. Bledsoe misses free throw 1 of 2,23,16
67,1,3:38.0,,Offensive rebound by Team,23,16
68,1,3:38.0,J. Poeltl enters the game for L. Nogueira,,23,16
69,1,3:38.0,,E. Bledsoe makes free throw 2 of 2,23,17
70,1,3:18.0,Turnover by K. Lowry (step out of bounds),,23,17
71,1,3:02.0,,E. Bledsoe makes 2-pt jump shot from 7 ft,23,19
72,1,3:02.0,,Shooting foul by K. Lowry (drawn by E. Bledsoe),23,19
73,1,3:02.0,,G. Antetokounmpo enters the game for K. Middleton,23,19
74,1,3:02.0,D. Wright enters the game for K. Lowry,,23,19
75,1,3:02.0,,E. Bledsoe makes free throw 1 of 1,23,20
76,1,2:36.0,J. Poeltl misses 2-pt layup from 2 ft,,23,20
77,1,2:31.0,Offensive rebound by D. Wright,,23,20
78,1,2:31.0,D. Wright makes 2-pt layup at rim,,25,20
79,1,2:29.0,,Shooting foul by J. Poeltl (drawn by G. Antetokounmpo),25,20
80,1,2:29.0,,G. Antetokounmpo makes free throw 1 of 2,25,21
81,1,2:29.0,P. Siakam enters the game for S. Ibaka,,25,21
82,1,2:29.0,,G. Antetokounmpo misses free throw 2 of 2,25,21
83,1,2:26.0,Defensive rebound by P. Siakam,,25,21
84,1,2:10.0,C. Miles misses 3-pt jump shot from 23 ft,,25,21
85,1,2:05.0,,Defensive rebound by M. Brogdon,25,21
86,1,1:59.0,,G. Antetokounmpo misses 2-pt layup at rim,25,21
87,1,1:57.0,Defensive rebound by J. Poeltl,,25,21
88,1,1:48.0,D. DeRozan misses 2-pt jump shot from 1 ft,,25,21
89,1,1:45.0,,Defensive rebound by G. Antetokounmpo,25,21
90,1,1:44.0,,Turnover by E. Bledsoe (bad pass),25,21
