,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:40.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Prince),,2,0
1,1,11:20.0,,C. Miles misses 2-pt jump shot from 10 ft,2,0
2,1,11:19.0,,Offensive rebound by Team,2,0
3,1,11:11.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by K. Lowry),2,2
4,1,10:56.0,Turnover by K. Bazemore (bad pass; steal by J. Valančiūnas),,2,2
5,1,10:52.0,,C. Miles misses 3-pt jump shot from 25 ft,2,2
6,1,10:49.0,Defensive rebound by T. Prince,,2,2
7,1,10:35.0,D. Schröder makes 2-pt jump shot from 16 ft,,4,2
8,1,10:23.0,,D. DeRozan misses 3-pt jump shot from 26 ft,4,2
9,1,10:21.0,Defensive rebound by E. İlyasova,,4,2
10,1,10:14.0,D. Schröder misses 2-pt jump shot from 13 ft,,4,2
11,1,10:11.0,,Defensive rebound by J. Valančiūnas,4,2
12,1,10:08.0,,Personal block foul by D. Schröder (drawn by D. DeRozan),4,2
13,1,9:59.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,4,4
14,1,9:45.0,D. Schröder misses 2-pt layup from 3 ft,,4,4
15,1,9:41.0,,Defensive rebound by K. Lowry,4,4
16,1,9:38.0,,C. Miles misses 2-pt layup at rim,4,4
17,1,9:36.0,Defensive rebound by T. Prince,,4,4
18,1,9:29.0,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),,7,4
19,1,9:19.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by O. Anunoby),7,7
20,1,9:00.0,Offensive foul by M. Plumlee (drawn by O. Anunoby),,7,7
21,1,9:00.0,Turnover by M. Plumlee (offensive foul),,7,7
22,1,8:45.0,,K. Lowry misses 3-pt jump shot from 25 ft,7,7
23,1,8:43.0,Defensive rebound by K. Bazemore,,7,7
24,1,8:40.0,D. Schröder misses 2-pt jump shot from 12 ft,,7,7
25,1,8:37.0,Offensive rebound by M. Plumlee,,7,7
26,1,8:35.0,T. Prince misses 3-pt jump shot from 24 ft,,7,7
27,1,8:35.0,,Defensive rebound by O. Anunoby,7,7
28,1,8:20.0,,K. Lowry makes 2-pt layup from 1 ft (assist by D. DeRozan),7,9
29,1,8:08.0,M. Plumlee misses 2-pt layup from 1 ft,,7,9
30,1,8:05.0,Offensive rebound by M. Plumlee,,7,9
31,1,8:05.0,M. Plumlee makes 2-pt layup at rim,,9,9
32,1,7:53.0,,O. Anunoby misses 3-pt jump shot from 25 ft,9,9
33,1,7:49.0,Defensive rebound by K. Bazemore,,9,9
34,1,7:37.0,K. Bazemore misses 3-pt jump shot from 25 ft,,9,9
35,1,7:34.0,,Defensive rebound by J. Valančiūnas,9,9
36,1,7:24.0,,Turnover by K. Lowry (bad pass; steal by K. Bazemore),9,9
37,1,7:20.0,T. Prince makes 2-pt layup at rim (assist by K. Bazemore),,11,9
38,1,7:02.0,,C. Miles misses 3-pt jump shot from 25 ft (block by T. Prince),11,9
39,1,7:00.0,,Offensive rebound by J. Valančiūnas,11,9
40,1,6:56.0,,J. Valančiūnas misses 2-pt layup from 5 ft,11,9
41,1,6:52.0,,Offensive rebound by J. Valančiūnas,11,9
42,1,6:52.0,,J. Valančiūnas misses 2-pt layup at rim,11,9
43,1,6:49.0,,Offensive rebound by J. Valančiūnas,11,9
44,1,6:48.0,,J. Valančiūnas makes 2-pt hook shot from 1 ft,11,11
45,1,6:39.0,K. Bazemore misses 2-pt jump shot from 14 ft (block by D. DeRozan),,11,11
46,1,6:39.0,Offensive rebound by Team,,11,11
47,1,6:39.0,,Toronto full timeout,11,11
48,1,6:34.0,K. Bazemore misses 3-pt jump shot from 22 ft,,11,11
49,1,6:30.0,Offensive rebound by E. İlyasova,,11,11
50,1,6:28.0,Turnover by E. İlyasova (lost ball; steal by C. Miles),,11,11
51,1,6:25.0,Offensive charge foul by O. Anunoby (drawn by D. Schröder),,11,11
52,1,6:25.0,,Turnover by O. Anunoby (offensive foul),11,11
53,1,6:14.0,Turnover by K. Bazemore (out of bounds lost ball),,11,11
54,1,5:56.0,J. Collins enters the game for M. Plumlee,,11,11
