,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
0,1,11:35.0,,M. Gortat misses 2-pt layup at rim (block by D. Green),0,0
1,1,11:34.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:17.0,L. Aldridge misses 2-pt jump shot from 14 ft,,0,0
3,1,11:14.0,,Defensive rebound by T. Satoranský,0,0
4,1,10:59.0,,T. Satoranský makes 2-pt jump shot from 21 ft,0,2
5,1,10:49.0,Personal foul by T. Satoranský (drawn by D. Murray),,0,2
6,1,10:39.0,L. Aldridge makes 2-pt hook shot from 1 ft (assist by P. Mills),,2,2
7,1,10:20.0,,M. Morris makes 2-pt layup at rim (assist by B. Beal),2,4
8,1,10:02.0,D. Murray misses 2-pt jump shot from 7 ft,,2,4
9,1,9:59.0,Offensive rebound by D. Murray,,2,4
10,1,9:54.0,D. Green makes 2-pt jump shot from 19 ft (assist by D. Murray),,4,4
11,1,9:38.0,,B. Beal misses 3-pt jump shot from 24 ft,4,4
12,1,9:35.0,Defensive rebound by P. Mills,,4,4
13,1,9:24.0,D. Green misses 3-pt jump shot from 22 ft,,4,4
14,1,9:21.0,,Defensive rebound by T. Satoranský,4,4
15,1,9:17.0,,B. Beal misses 3-pt jump shot from 27 ft,4,4
16,1,9:11.0,,Offensive rebound by M. Gortat,4,4
17,1,9:11.0,,M. Gortat misses 2-pt layup at rim,4,4
18,1,9:10.0,Defensive rebound by L. Aldridge,,4,4
19,1,9:09.0,Shooting foul by M. Morris (drawn by L. Aldridge),,4,4
20,1,9:09.0,L. Aldridge misses free throw 1 of 2,,4,4
21,1,9:09.0,Offensive rebound by Team,,4,4
22,1,9:09.0,L. Aldridge makes free throw 2 of 2,,5,4
23,1,8:58.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by T. Satoranský),5,6
24,1,8:43.0,D. Green makes 3-pt jump shot from 27 ft (assist by D. Murray),,8,6
25,1,8:19.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by M. Gortat),8,8
26,1,8:04.0,Turnover by P. Mills (bad pass; steal by O. Porter),,8,8
27,1,8:01.0,,O. Porter makes 2-pt dunk from 1 ft,8,10
28,1,7:38.0,P. Mills makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,11,10
29,1,7:25.0,,Personal foul by D. Green (drawn by M. Morris),11,10
30,1,7:18.0,,M. Morris makes 2-pt hook shot from 12 ft,11,12
31,1,6:57.0,D. Murray makes 2-pt jump shot from 5 ft (assist by L. Aldridge),,13,12
32,1,6:43.0,,T. Satoranský makes 2-pt jump shot from 8 ft (assist by M. Morris),13,14
33,1,6:28.0,Turnover by P. Mills (bad pass; steal by O. Porter),,13,14
34,1,6:23.0,,O. Porter makes 2-pt jump shot from 12 ft,13,16
35,1,5:59.0,D. Murray misses 2-pt jump shot from 9 ft,,13,16
36,1,5:56.0,,Defensive rebound by M. Gortat,13,16
37,1,5:52.0,,Washington full timeout,13,16
38,1,5:36.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by T. Satoranský),13,18
39,1,5:20.0,Personal foul by M. Gortat (drawn by L. Aldridge),,13,18
40,1,5:20.0,M. Ginóbili enters the game for D. Green,,13,18
41,1,5:20.0,T. Parker enters the game for D. Murray,,13,18
42,1,5:20.0,R. Gay enters the game for K. Anderson,,13,18
43,1,5:04.0,Turnover by M. Ginóbili (bad pass; steal by M. Morris),,13,18
44,1,5:01.0,,Turnover by M. Morris (lost ball; steal by P. Mills),13,18
