,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,M. Turner misses 2-pt jump shot from 17 ft,,0,0
1,1,11:39.0,,Defensive rebound by K. Walker,0,0
2,1,11:36.0,,Personal foul by M. Turner (drawn by D. Howard),0,0
3,1,11:34.0,,Turnover by M. Williams (bad pass),0,0
4,1,11:18.0,M. Turner misses 2-pt jump shot from 19 ft,,0,0
5,1,11:15.0,,Defensive rebound by Team,0,0
6,1,10:59.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),0,3
7,1,10:45.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by D. Collison),,3,3
8,1,10:33.0,,Personal foul by M. Turner (drawn by K. Walker),3,3
9,1,10:33.0,D. Sabonis enters the game for M. Turner,,3,3
10,1,10:20.0,,M. Williams misses 2-pt jump shot from 3 ft,3,3
11,1,10:20.0,Defensive rebound by Team,,3,3
12,1,10:20.0,,Loose ball foul by D. Howard (drawn by V. Oladipo),3,3
13,1,10:02.0,B. Bogdanović misses 2-pt layup from 3 ft (block by N. Batum),,3,3
14,1,9:59.0,,Defensive rebound by M. Williams,3,3
15,1,9:53.0,,D. Howard makes 2-pt layup from 3 ft (assist by M. Kidd-Gilchrist),3,5
16,1,9:43.0,V. Oladipo misses 2-pt jump shot from 1 ft,,3,5
17,1,9:43.0,,Defensive rebound by Team,3,5
18,1,9:37.0,,Shooting foul by V. Oladipo (drawn by M. Kidd-Gilchrist),3,5
19,1,9:37.0,,M. Kidd-Gilchrist makes free throw 1 of 2,3,6
20,1,9:37.0,,M. Kidd-Gilchrist makes free throw 2 of 2,3,7
21,1,9:24.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by D. Collison),,5,7
22,1,9:01.0,,Turnover by M. Williams (bad pass; steal by V. Oladipo),5,7
23,1,8:57.0,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),,7,7
24,1,8:41.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),7,10
25,1,8:25.0,D. Sabonis misses 2-pt jump shot from 7 ft (block by M. Williams),,7,10
26,1,8:22.0,T. Young misses 2-pt layup from 4 ft,,7,10
27,1,8:22.0,Offensive rebound by T. Young,,7,10
28,1,8:21.0,Offensive rebound by D. Sabonis,,7,10
29,1,8:20.0,D. Sabonis makes 2-pt layup at rim,,9,10
30,1,8:08.0,,K. Walker misses 3-pt jump shot from 26 ft,9,10
31,1,8:04.0,Defensive rebound by V. Oladipo,,9,10
32,1,7:57.0,Personal foul by D. Howard (drawn by V. Oladipo),,9,10
33,1,7:51.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,12,10
34,1,7:36.0,,Shooting foul by D. Sabonis (drawn by M. Williams),12,10
35,1,7:36.0,,M. Williams makes free throw 1 of 2,12,11
36,1,7:36.0,,M. Williams makes free throw 2 of 2,12,12
37,1,7:22.0,D. Sabonis misses 2-pt hook shot from 7 ft,,12,12
38,1,7:19.0,,Defensive rebound by D. Howard,12,12
39,1,7:14.0,,Turnover by K. Walker (out of bounds lost ball),12,12
40,1,7:01.0,B. Bogdanović makes 2-pt jump shot from 14 ft,,14,12
41,1,6:46.0,,Turnover by M. Kidd-Gilchrist (lost ball; steal by T. Young),14,12
42,1,6:46.0,Personal foul by M. Kidd-Gilchrist (drawn by V. Oladipo),,14,12
43,1,6:46.0,,Charlotte full timeout,14,12
44,1,6:26.0,Turnover by D. Sabonis (turnover),,14,12
45,1,6:15.0,,Turnover by N. Batum (bad pass; steal by T. Young),14,12
46,1,5:55.0,D. Collison misses 3-pt jump shot from 24 ft,,14,12
47,1,5:52.0,,Defensive rebound by D. Howard,14,12
48,1,5:40.0,,Turnover by M. Williams (traveling),14,12
49,1,5:29.0,D. Sabonis makes 2-pt jump shot from 11 ft (assist by V. Oladipo),,16,12
50,1,5:13.0,,Turnover by N. Batum (bad pass; steal by T. Young),16,12
51,1,5:08.0,T. Young makes 2-pt dunk from 1 ft,,18,12
52,1,4:46.0,,N. Batum misses 2-pt jump shot from 12 ft,18,12
53,1,4:39.0,,Offensive rebound by D. Howard,18,12
54,1,4:39.0,,D. Howard makes 2-pt layup at rim,18,14
55,1,4:32.0,D. Collison misses 2-pt jump shot from 16 ft,,18,14
56,1,4:29.0,,Defensive rebound by D. Howard,18,14
57,1,4:22.0,G. Robinson enters the game for B. Bogdanović,,18,14
58,1,4:16.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),18,17
59,1,3:59.0,D. Collison misses 2-pt jump shot from 20 ft,,18,17
60,1,3:56.0,,Defensive rebound by M. Williams,18,17
61,1,3:47.0,,N. Batum misses 2-pt jump shot from 9 ft,18,17
62,1,3:45.0,Defensive rebound by T. Young,,18,17
63,1,3:37.0,V. Oladipo makes 3-pt jump shot from 25 ft,,21,17
64,1,3:20.0,,Offensive foul by D. Howard (drawn by D. Sabonis),21,17
65,1,3:20.0,,Turnover by D. Howard (offensive foul),21,17
66,1,3:20.0,,J. Lamb enters the game for M. Williams,21,17
67,1,3:20.0,,W. Hernangómez enters the game for N. Batum,21,17
68,1,3:20.0,,F. Kaminsky enters the game for D. Howard,21,17
69,1,3:20.0,C. Joseph enters the game for D. Collison,,21,17
70,1,3:20.0,T. Booker enters the game for T. Young,,21,17
71,1,3:06.0,D. Sabonis makes 2-pt jump shot from 7 ft (assist by V. Oladipo),,23,17
72,1,2:54.0,,F. Kaminsky makes 2-pt jump shot from 18 ft (assist by K. Walker),23,19
73,1,2:34.0,V. Oladipo makes 2-pt layup from 1 ft,,25,19
74,1,2:28.0,,Charlotte full timeout,25,19
75,1,2:28.0,,J. Stone enters the game for M. Kidd-Gilchrist,25,19
76,1,2:28.0,,M. Monk enters the game for K. Walker,25,19
77,1,2:28.0,L. Stephenson enters the game for V. Oladipo,,25,19
78,1,2:20.0,,F. Kaminsky makes 2-pt jump shot from 13 ft (assist by M. Monk),25,21
79,1,2:02.0,C. Joseph makes 2-pt jump shot from 11 ft (assist by D. Sabonis),,27,21
80,1,1:45.0,,M. Monk makes 2-pt jump shot from 19 ft (assist by F. Kaminsky),27,23
81,1,1:30.0,D. Sabonis makes 2-pt jump shot from 17 ft (assist by L. Stephenson),,29,23
82,1,1:08.0,,W. Hernangómez makes 2-pt layup from 4 ft,29,25
83,1,0:53.0,T. Booker misses 2-pt hook shot from 7 ft,,29,25
84,1,0:51.0,,Defensive rebound by W. Hernangómez,29,25
85,1,0:31.0,,F. Kaminsky misses 2-pt layup from 3 ft,29,25
86,1,0:29.0,Defensive rebound by D. Sabonis,,29,25
87,1,0:22.0,D. Sabonis makes 2-pt jump shot from 15 ft (assist by L. Stephenson),,31,25
88,1,0:00.0,,M. Monk misses 3-pt jump shot from 28 ft,31,25
89,1,0:00.0,,Offensive rebound by Team,31,25
90,2,11:53.0,Violation by T. Booker (kicked ball),,31,25
91,2,11:46.0,,F. Kaminsky misses 2-pt layup from 2 ft,31,25
92,2,11:42.0,Defensive rebound by D. Sabonis,,31,25
93,2,11:38.0,L. Stephenson misses 3-pt jump shot from 25 ft,,31,25
94,2,11:38.0,,Defensive rebound by Team,31,25
95,2,11:38.0,Loose ball foul by T. Booker (drawn by J. Stone),,31,25
96,2,11:27.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),31,28
97,2,11:14.0,G. Robinson makes 2-pt jump shot from 19 ft (assist by L. Stephenson),,33,28
98,2,11:00.0,,J. Lamb misses 2-pt jump shot from 13 ft,33,28
99,2,10:57.0,Defensive rebound by L. Stephenson,,33,28
100,2,10:51.0,Turnover by G. Robinson (bad pass),,33,28
101,2,10:34.0,,J. Lamb makes 2-pt layup from 1 ft (assist by W. Hernangómez),33,30
102,2,10:15.0,D. Sabonis misses 2-pt layup from 1 ft,,33,30
103,2,10:13.0,,Defensive rebound by J. Stone,33,30
104,2,10:08.0,,J. Lamb misses 2-pt jump shot from 15 ft,33,30
105,2,10:04.0,Defensive rebound by T. Booker,,33,30
106,2,9:54.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by C. Joseph),,36,30
107,2,9:36.0,,Shooting foul by D. Sabonis (drawn by W. Hernangómez),36,30
108,2,9:36.0,,W. Hernangómez makes free throw 1 of 2,36,31
109,2,9:36.0,,W. Hernangómez makes free throw 2 of 2,36,32
110,2,9:18.0,T. Booker makes 2-pt layup from 1 ft (assist by G. Robinson),,38,32
111,2,9:05.0,,M. Monk makes 2-pt jump shot from 5 ft,38,34
112,2,8:50.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,41,34
113,2,8:34.0,,J. Stone misses 3-pt jump shot from 23 ft,41,34
114,2,8:32.0,Defensive rebound by T. Booker,,41,34
115,2,8:23.0,G. Robinson makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,44,34
116,2,8:23.0,,Charlotte full timeout,44,34
117,2,8:11.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,44,34
118,2,8:09.0,Defensive rebound by L. Stephenson,,44,34
119,2,7:58.0,,Violation by F. Kaminsky (kicked ball),44,34
120,2,7:52.0,Turnover by G. Robinson (bad pass),,44,34
121,2,7:38.0,,M. Monk makes 3-pt jump shot from 24 ft (assist by W. Hernangómez),44,37
122,2,7:21.0,D. Sabonis misses 2-pt jump shot from 18 ft,,44,37
123,2,7:14.0,Offensive rebound by T. Booker,,44,37
124,2,7:14.0,T. Booker makes 2-pt layup at rim,,46,37
125,2,7:07.0,,M. Monk misses 3-pt jump shot from 26 ft,46,37
126,2,7:04.0,Defensive rebound by G. Robinson,,46,37
127,2,6:49.0,D. Sabonis makes 2-pt jump shot from 11 ft (assist by T. Booker),,48,37
128,2,6:33.0,,Shooting foul by D. Sabonis (drawn by J. Lamb),48,37
129,2,6:33.0,,J. Lamb makes free throw 1 of 2,48,38
130,2,6:33.0,,K. Walker enters the game for J. Stone,48,38
131,2,6:33.0,V. Oladipo enters the game for D. Sabonis,,48,38
132,2,6:33.0,B. Bogdanović enters the game for G. Robinson,,48,38
133,2,6:33.0,,J. Lamb makes free throw 2 of 2,48,39
134,2,6:18.0,C. Joseph makes 2-pt jump shot from 18 ft,,50,39
135,2,6:00.0,,M. Monk misses 3-pt jump shot from 27 ft,50,39
136,2,5:57.0,Defensive rebound by L. Stephenson,,50,39
137,2,5:51.0,T. Booker makes 2-pt layup from 2 ft (assist by L. Stephenson),,52,39
138,2,5:35.0,,F. Kaminsky misses 2-pt jump shot from 6 ft,52,39
139,2,5:32.0,Defensive rebound by L. Stephenson,,52,39
140,2,5:26.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by L. Stephenson),,54,39
141,2,5:12.0,,K. Walker misses 2-pt layup from 1 ft,54,39
142,2,5:10.0,Defensive rebound by V. Oladipo,,54,39
143,2,5:06.0,Turnover by C. Joseph (bad pass),,54,39
144,2,5:06.0,,N. Batum enters the game for M. Monk,54,39
145,2,5:06.0,,D. Howard enters the game for J. Lamb,54,39
146,2,5:06.0,,M. Kidd-Gilchrist enters the game for W. Hernangómez,54,39
147,2,5:06.0,M. Turner enters the game for T. Booker,,54,39
148,2,4:55.0,,K. Walker makes 2-pt layup from 2 ft,54,41
149,2,4:55.0,,Shooting foul by L. Stephenson (drawn by K. Walker),54,41
150,2,4:55.0,,M. Williams enters the game for F. Kaminsky,54,41
151,2,4:55.0,,K. Walker makes free throw 1 of 1,54,42
152,2,4:38.0,V. Oladipo makes 2-pt layup from 1 ft,,56,42
153,2,4:25.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by K. Walker),56,44
154,2,4:09.0,C. Joseph misses 2-pt jump shot from 20 ft,,56,44
155,2,4:05.0,,Defensive rebound by M. Williams,56,44
156,2,3:59.0,,K. Walker makes 2-pt layup from 1 ft,56,46
157,2,3:52.0,V. Oladipo makes 2-pt layup from 2 ft,,58,46
158,2,3:37.0,,K. Walker makes 2-pt layup from 1 ft,58,48
159,2,3:28.0,L. Stephenson misses 2-pt jump shot from 17 ft,,58,48
160,2,3:22.0,,Defensive rebound by N. Batum,58,48
161,2,3:13.0,,K. Walker misses 3-pt jump shot from 25 ft,58,48
162,2,3:10.0,Defensive rebound by V. Oladipo,,58,48
163,2,3:10.0,Indiana full timeout,,58,48
164,2,3:10.0,D. Collison enters the game for C. Joseph,,58,48
165,2,3:03.0,V. Oladipo misses 2-pt layup from 1 ft,,58,48
166,2,3:01.0,,Defensive rebound by D. Howard,58,48
167,2,2:53.0,,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),58,50
168,2,2:43.0,B. Bogdanović makes 2-pt layup at rim (assist by V. Oladipo),,60,50
169,2,2:36.0,,M. Williams misses 3-pt jump shot from 25 ft,60,50
170,2,2:34.0,Defensive rebound by L. Stephenson,,60,50
171,2,2:32.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by L. Stephenson),,62,50
172,2,2:32.0,,Violation by N. Batum (def goaltending),62,50
173,2,2:21.0,,M. Williams misses 3-pt jump shot from 27 ft,62,50
174,2,2:21.0,Defensive rebound by Team,,62,50
175,2,2:05.0,V. Oladipo makes 2-pt jump shot from 16 ft,,64,50
176,2,1:52.0,,N. Batum misses 3-pt jump shot from 26 ft,64,50
177,2,1:49.0,Defensive rebound by L. Stephenson,,64,50
178,2,1:43.0,M. Turner misses 3-pt jump shot from 25 ft,,64,50
179,2,1:40.0,,Defensive rebound by M. Kidd-Gilchrist,64,50
180,2,1:36.0,,Personal foul by M. Turner (drawn by D. Howard),64,50
181,2,1:36.0,,D. Howard makes free throw 1 of 2,64,51
182,2,1:36.0,T. Booker enters the game for M. Turner,,64,51
183,2,1:36.0,,D. Howard makes free throw 2 of 2,64,52
184,2,1:26.0,D. Collison makes 2-pt jump shot from 17 ft,,66,52
185,2,1:06.0,,Turnover by N. Batum (lost ball; steal by V. Oladipo),66,52
186,2,0:59.0,D. Collison makes 2-pt layup from 3 ft (assist by V. Oladipo),,68,52
187,2,0:50.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),68,55
188,2,0:32.0,Turnover by T. Booker (bad pass; steal by M. Williams),,68,55
189,2,0:32.0,,Personal foul by D. Collison (drawn by K. Walker),68,55
190,2,0:32.0,,K. Walker makes free throw 1 of 2,68,56
191,2,0:32.0,,F. Kaminsky enters the game for D. Howard,68,56
192,2,0:32.0,,K. Walker makes free throw 2 of 2,68,57
193,2,0:24.0,V. Oladipo makes 2-pt layup from 1 ft,,70,57
194,2,0:01.0,,K. Walker misses 2-pt jump shot from 22 ft,70,57
195,2,0:01.0,Defensive rebound by L. Stephenson,,70,57
196,3,11:46.0,,M. Kidd-Gilchrist misses 2-pt layup from 7 ft,70,57
197,3,11:42.0,Defensive rebound by M. Turner,,70,57
198,3,11:31.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,70,57
199,3,11:27.0,Offensive rebound by T. Young,,70,57
200,3,11:17.0,V. Oladipo makes 2-pt layup from 1 ft,,72,57
201,3,10:55.0,,M. Kidd-Gilchrist misses 2-pt layup at rim,72,57
202,3,10:53.0,Defensive rebound by D. Collison,,72,57
203,3,10:45.0,D. Collison misses 2-pt jump shot from 18 ft,,72,57
204,3,10:43.0,,Defensive rebound by M. Williams,72,57
205,3,10:35.0,,Turnover by M. Kidd-Gilchrist (lost ball; steal by V. Oladipo),72,57
206,3,10:28.0,M. Turner misses 2-pt dunk from 2 ft,,72,57
207,3,10:25.0,,Defensive rebound by D. Howard,72,57
208,3,10:25.0,,Turnover by N. Batum (traveling),72,57
209,3,10:09.0,B. Bogdanović misses 2-pt layup from 1 ft (block by M. Williams),,72,57
210,3,10:05.0,,Defensive rebound by N. Batum,72,57
211,3,10:03.0,,K. Walker makes 2-pt layup from 2 ft,72,59
212,3,10:03.0,,Shooting foul by M. Turner (drawn by K. Walker),72,59
213,3,10:03.0,D. Sabonis enters the game for M. Turner,,72,59
214,3,10:03.0,,K. Walker makes free throw 1 of 1,72,60
215,3,9:52.0,Turnover by D. Collison (turnover),,72,60
216,3,9:44.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,72,60
217,3,9:42.0,,Offensive rebound by D. Howard,72,60
218,3,9:42.0,,Personal foul by V. Oladipo (drawn by D. Howard),72,60
219,3,9:33.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Williams),72,63
220,3,9:17.0,V. Oladipo misses 3-pt jump shot from 26 ft,,72,63
221,3,9:14.0,,Defensive rebound by D. Howard,72,63
222,3,9:09.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by D. Howard),72,66
223,3,9:07.0,Indiana full timeout,,72,66
224,3,8:56.0,Turnover by Team (turnover),,72,66
225,3,8:42.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),72,68
226,3,8:29.0,Turnover by V. Oladipo (bad pass; steal by D. Howard),,72,68
227,3,8:22.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,72,68
228,3,8:20.0,,Offensive rebound by D. Howard,72,68
229,3,8:20.0,,D. Howard makes 2-pt layup at rim,72,70
230,3,8:01.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,72,70
231,3,7:58.0,,Defensive rebound by M. Kidd-Gilchrist,72,70
232,3,7:45.0,,Turnover by K. Walker (bad pass; steal by D. Sabonis),72,70
233,3,7:39.0,Shooting foul by M. Kidd-Gilchrist (drawn by B. Bogdanović),,72,70
234,3,7:39.0,B. Bogdanović makes free throw 1 of 3,,73,70
235,3,7:39.0,B. Bogdanović makes free throw 2 of 3,,74,70
236,3,7:39.0,B. Bogdanović makes free throw 3 of 3,,75,70
237,3,7:25.0,,Turnover by N. Batum (bad pass),75,70
238,3,7:07.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,75,70
239,3,7:04.0,,Defensive rebound by M. Williams,75,70
240,3,6:49.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by D. Howard),75,72
241,3,6:49.0,,Shooting foul by V. Oladipo (drawn by M. Kidd-Gilchrist),75,72
242,3,6:49.0,,M. Kidd-Gilchrist makes free throw 1 of 1,75,73
243,3,6:41.0,V. Oladipo makes 2-pt jump shot from 18 ft,,77,73
244,3,6:27.0,,Offensive foul by N. Batum (drawn by V. Oladipo),77,73
245,3,6:27.0,,Turnover by N. Batum (offensive foul),77,73
246,3,6:14.0,D. Sabonis misses 2-pt hook shot from 5 ft,,77,73
247,3,6:11.0,,Defensive rebound by D. Howard,77,73
