,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,R. Westbrook makes 2-pt jump shot from 15 ft (assist by C. Anthony),0,2
1,1,11:16.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,0,2
2,1,11:10.0,,Defensive rebound by R. Westbrook,0,2
3,1,11:09.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,4
4,1,10:55.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,0,4
5,1,10:55.0,Offensive rebound by J. Valančiūnas,,0,4
6,1,10:52.0,J. Valančiūnas makes 2-pt layup from 1 ft,,2,4
7,1,10:31.0,,C. Anthony makes 2-pt jump shot from 13 ft (assist by P. George),2,6
8,1,10:19.0,O. Anunoby misses 3-pt jump shot from 26 ft,,2,6
9,1,10:17.0,,Defensive rebound by A. Roberson,2,6
10,1,10:11.0,,R. Westbrook misses 2-pt jump shot from 11 ft,2,6
11,1,10:05.0,,Offensive rebound by S. Adams,2,6
12,1,10:00.0,,C. Anthony makes 2-pt jump shot from 18 ft,2,8
13,1,9:46.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,8
14,1,9:45.0,,Defensive rebound by Team,2,8
15,1,9:32.0,,P. George makes 2-pt jump shot from 14 ft,2,10
16,1,9:23.0,Toronto full timeout,,2,10
17,1,9:12.0,J. Valančiūnas makes 2-pt jump shot from 1 ft (assist by K. Lowry),,4,10
18,1,9:01.0,,R. Westbrook makes 2-pt jump shot from 20 ft,4,12
19,1,8:42.0,Turnover by D. DeRozan (bad pass; steal by S. Adams),,4,12
20,1,8:37.0,,C. Anthony makes 2-pt dunk at rim (assist by R. Westbrook),4,14
21,1,8:18.0,Turnover by K. Lowry (bad pass; steal by S. Adams),,4,14
22,1,8:15.0,,R. Westbrook makes 2-pt layup at rim (assist by A. Roberson),4,16
23,1,7:51.0,K. Lowry makes 3-pt jump shot from 25 ft,,7,16
24,1,7:31.0,,Turnover by R. Westbrook (bad pass; steal by K. Lowry),7,16
25,1,7:25.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by K. Lowry),,10,16
26,1,7:03.0,,R. Westbrook misses 2-pt jump shot from 18 ft,10,16
27,1,7:01.0,,Offensive rebound by S. Adams,10,16
28,1,7:00.0,,S. Adams makes 2-pt layup at rim,10,18
29,1,7:00.0,Violation by S. Ibaka (def goaltending),,10,18
30,1,6:48.0,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),,12,18
31,1,6:36.0,,Shooting foul by D. DeRozan (drawn by P. George),12,18
32,1,6:36.0,,P. George makes free throw 1 of 2,12,19
33,1,6:36.0,,P. George makes free throw 2 of 2,12,20
34,1,6:22.0,O. Anunoby misses 3-pt jump shot from 25 ft,,12,20
35,1,6:18.0,,Defensive rebound by P. George,12,20
36,1,6:14.0,,C. Anthony misses 3-pt jump shot from 25 ft,12,20
37,1,6:11.0,,Offensive rebound by R. Westbrook,12,20
38,1,6:09.0,,Turnover by P. George (bad pass),12,20
39,1,6:05.0,Personal foul by A. Roberson (drawn by D. DeRozan),,12,20
40,1,5:58.0,S. Ibaka makes 2-pt layup at rim,,14,20
41,1,5:42.0,,R. Westbrook makes 2-pt layup at rim (assist by S. Adams),14,22
42,1,5:42.0,,Shooting foul by S. Ibaka (drawn by R. Westbrook),14,22
43,1,5:42.0,,R. Westbrook misses free throw 1 of 1,14,22
44,1,5:40.0,Defensive rebound by S. Ibaka,,14,22
45,1,5:33.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by K. Lowry),,17,22
46,1,5:16.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),17,24
47,1,4:59.0,Shooting foul by A. Roberson (drawn by D. DeRozan),,17,24
48,1,4:59.0,D. DeRozan makes free throw 1 of 2,,18,24
49,1,4:59.0,,J. Huestis enters the game for A. Roberson,18,24
50,1,4:59.0,J. Poeltl enters the game for J. Valančiūnas,,18,24
51,1,4:59.0,D. DeRozan makes free throw 2 of 2,,19,24
52,1,4:42.0,,C. Anthony misses 2-pt layup from 4 ft,19,24
53,1,4:40.0,Defensive rebound by S. Ibaka,,19,24
54,1,4:27.0,D. DeRozan misses 2-pt jump shot from 20 ft,,19,24
55,1,4:26.0,,Defensive rebound by R. Westbrook,19,24
56,1,4:23.0,,C. Anthony makes 2-pt jump shot from 17 ft (assist by R. Westbrook),19,26
57,1,4:00.0,Personal foul by C. Anthony (drawn by S. Ibaka),,19,26
58,1,4:00.0,C. Miles enters the game for O. Anunoby,,19,26
