,QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
0,1,11:41.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),0,2
1,1,11:30.0,K. Irving misses 3-pt jump shot from 24 ft,,0,2
2,1,11:28.0,,Defensive rebound by C. Capela,0,2
3,1,11:11.0,,J. Harden misses 2-pt jump shot from 22 ft,0,2
4,1,11:10.0,Defensive rebound by K. Irving,,0,2
5,1,11:04.0,J. Brown makes 2-pt layup at rim,,2,2
6,1,10:49.0,,P. Tucker misses 3-pt jump shot from 25 ft,2,2
7,1,10:46.0,Defensive rebound by A. Baynes,,2,2
8,1,10:34.0,A. Horford misses 2-pt hook shot from 10 ft,,2,2
9,1,10:31.0,,Defensive rebound by P. Tucker,2,2
10,1,10:22.0,,T. Ariza makes 2-pt layup at rim (assist by P. Tucker),2,4
11,1,10:05.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by K. Irving),,5,4
12,1,9:43.0,,C. Paul makes 2-pt jump shot from 16 ft,5,6
13,1,9:28.0,K. Irving misses 2-pt layup from 1 ft,,5,6
14,1,9:28.0,Offensive rebound by Team,,5,6
15,1,9:28.0,,Loose ball foul by C. Paul (drawn by K. Irving),5,6
16,1,9:22.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Baynes),,8,6
17,1,9:11.0,,C. Paul makes 2-pt jump shot from 7 ft,8,8
18,1,8:49.0,J. Brown makes 2-pt jump shot from 16 ft (assist by A. Horford),,10,8
19,1,8:27.0,,Turnover by J. Harden (lost ball; steal by A. Baynes),10,8
20,1,8:23.0,Turnover by A. Baynes (bad pass; steal by C. Paul),,10,8
21,1,8:20.0,,C. Paul misses 2-pt jump shot from 13 ft,10,8
22,1,8:18.0,Defensive rebound by A. Baynes,,10,8
23,1,8:16.0,Turnover by J. Brown (lost ball; steal by J. Harden),,10,8
24,1,8:16.0,,Personal foul by J. Brown (drawn by C. Capela),10,8
25,1,7:56.0,,J. Harden misses 3-pt jump shot from 25 ft,10,8
26,1,7:52.0,Defensive rebound by J. Tatum,,10,8
27,1,7:45.0,A. Baynes misses 2-pt jump shot from 12 ft,,10,8
28,1,7:41.0,,Defensive rebound by C. Capela,10,8
29,1,7:29.0,,J. Harden makes 3-pt jump shot from 26 ft,10,11
30,1,7:10.0,J. Brown makes 3-pt jump shot from 25 ft (assist by K. Irving),,13,11
31,1,6:51.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),13,14
32,1,6:40.0,Turnover by K. Irving (bad pass; steal by T. Ariza),,13,14
33,1,6:35.0,,J. Harden makes 3-pt jump shot from 23 ft (assist by T. Ariza),13,17
34,1,6:14.0,Turnover by K. Irving (bad pass; steal by J. Harden),,13,17
35,1,6:10.0,,T. Ariza misses 3-pt jump shot from 24 ft,13,17
36,1,6:08.0,,Offensive rebound by C. Capela,13,17
37,1,6:04.0,,T. Ariza misses 3-pt jump shot from 25 ft,13,17
38,1,6:00.0,,Offensive rebound by Team,13,17
39,1,6:00.0,,Houston full timeout,13,17
40,1,6:00.0,,L. Mbah a Moute enters the game for P. Tucker,13,17
41,1,6:00.0,,E. Gordon enters the game for C. Paul,13,17
42,1,6:00.0,M. Smart enters the game for J. Tatum,,13,17
43,1,6:00.0,M. Morris enters the game for A. Baynes,,13,17
44,1,6:00.0,,Houston full timeout,13,17
45,1,5:58.0,,E. Gordon misses 3-pt jump shot from 23 ft,13,17
46,1,5:55.0,Defensive rebound by M. Morris,,13,17
47,1,5:35.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,16,17
48,1,5:20.0,,Turnover by J. Harden (bad pass; steal by M. Morris),16,17
49,1,5:17.0,Turnover by J. Brown (bad pass),,16,17
50,1,5:10.0,Violation by A. Horford (kicked ball),,16,17
51,1,4:57.0,,J. Harden misses 3-pt jump shot from 27 ft,16,17
52,1,4:55.0,Defensive rebound by M. Smart,,16,17
53,1,4:55.0,Personal foul by L. Mbah a Moute (drawn by M. Smart),,16,17
54,1,4:38.0,K. Irving misses 2-pt layup from 2 ft,,16,17
55,1,4:38.0,,Defensive rebound by Team,16,17
56,1,4:38.0,,J. Johnson enters the game for T. Ariza,16,17
57,1,4:23.0,,C. Capela makes 2-pt layup at rim (assist by J. Harden),16,19
58,1,4:12.0,K. Irving misses 3-pt jump shot from 24 ft,,16,19
59,1,4:10.0,Offensive rebound by A. Horford,,16,19
60,1,4:05.0,M. Morris misses 2-pt jump shot from 17 ft,,16,19
61,1,4:03.0,,Defensive rebound by C. Capela,16,19
62,1,3:51.0,,Shooting foul by J. Brown (drawn by J. Harden),16,19
63,1,3:51.0,,J. Harden makes free throw 1 of 2,16,20
64,1,3:51.0,,N. Hilário enters the game for C. Capela,16,20
65,1,3:51.0,T. Rozier enters the game for J. Brown,,16,20
66,1,3:51.0,,J. Harden makes free throw 2 of 2,16,21
67,1,3:30.0,A. Horford misses 2-pt jump shot from 10 ft,,16,21
68,1,3:29.0,Offensive rebound by Team,,16,21
69,1,3:29.0,,Loose ball foul by J. Johnson (drawn by M. Morris),16,21
70,1,3:22.0,Shooting foul by J. Harden (drawn by A. Horford),,16,21
71,1,3:22.0,A. Horford makes free throw 1 of 2,,17,21
72,1,3:22.0,A. Horford makes free throw 2 of 2,,18,21
73,1,3:08.0,,E. Gordon makes 2-pt jump shot from 6 ft,18,23
74,1,2:56.0,A. Horford makes 2-pt dunk at rim (assist by K. Irving),,20,23
75,1,2:36.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by J. Harden),20,26
76,1,2:15.0,M. Morris misses 3-pt jump shot from 22 ft,,20,26
77,1,2:12.0,,Defensive rebound by E. Gordon,20,26
78,1,2:09.0,,Shooting foul by M. Morris (drawn by E. Gordon),20,26
79,1,2:09.0,,E. Gordon makes free throw 1 of 2,20,27
80,1,2:09.0,,C. Paul enters the game for J. Harden,20,27
81,1,2:09.0,G. Monroe enters the game for K. Irving,,20,27
82,1,2:09.0,J. Tatum enters the game for A. Horford,,20,27
83,1,2:09.0,,E. Gordon makes free throw 2 of 2,20,28
84,1,2:03.0,Personal foul by N. Hilário (drawn by G. Monroe),,20,28
85,1,2:03.0,G. Monroe makes free throw 1 of 2,,21,28
86,1,2:03.0,G. Monroe makes free throw 2 of 2,,22,28
87,1,1:50.0,,L. Mbah a Moute makes 2-pt layup at rim (assist by C. Paul),22,30
88,1,1:37.0,J. Tatum makes 3-pt jump shot from 22 ft (assist by M. Smart),,25,30
