,QUARTER,TIME_REMAINING,DENVER_ACTION,CHARLOTTE_ACTION,DENVER_SCORE,CHARLOTTE_SCORE
0,1,11:33.0,,J. Lamb misses 2-pt jump shot from 16 ft,0,0
1,1,11:29.0,Defensive rebound by P. Millsap,,0,0
2,1,11:26.0,J. Murray misses 3-pt jump shot from 24 ft,,0,0
3,1,11:22.0,Offensive rebound by N. Jokić,,0,0
4,1,11:16.0,G. Harris misses 3-pt jump shot from 25 ft,,0,0
5,1,11:11.0,,Defensive rebound by D. Howard,0,0
6,1,11:02.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,0,0
7,1,10:57.0,,Offensive rebound by D. Howard,0,0
8,1,10:57.0,,D. Howard makes 2-pt layup at rim,0,2
9,1,10:43.0,Shooting foul by M. Williams (drawn by P. Millsap),,0,2
10,1,10:43.0,P. Millsap misses free throw 1 of 2,,0,2
11,1,10:43.0,Offensive rebound by Team,,0,2
12,1,10:43.0,P. Millsap makes free throw 2 of 2,,1,2
13,1,10:34.0,,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),1,4
14,1,10:21.0,J. Murray makes 2-pt layup at rim,,3,4
15,1,10:07.0,,Turnover by D. Howard (traveling),3,4
16,1,9:50.0,Personal foul by D. Howard (drawn by G. Harris),,3,4
17,1,9:39.0,J. Murray misses 2-pt layup from 1 ft,,3,4
18,1,9:35.0,,Defensive rebound by D. Howard,3,4
19,1,9:30.0,,K. Walker misses 3-pt jump shot from 25 ft,3,4
20,1,9:26.0,Defensive rebound by W. Chandler,,3,4
21,1,9:19.0,Turnover by N. Jokić (bad pass; steal by M. Williams),,3,4
22,1,9:10.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,3,4
23,1,9:07.0,Defensive rebound by N. Jokić,,3,4
24,1,9:00.0,P. Millsap makes 3-pt jump shot from 25 ft (assist by W. Chandler),,6,4
25,1,8:39.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,6,4
26,1,8:37.0,Defensive rebound by P. Millsap,,6,4
27,1,8:16.0,J. Murray makes 2-pt layup from 1 ft,,8,4
28,1,8:02.0,,K. Walker makes 3-pt jump shot from 25 ft,8,7
29,1,7:44.0,J. Murray makes 2-pt jump shot from 8 ft,,10,7
30,1,7:27.0,,Offensive foul by D. Howard (drawn by N. Jokić),10,7
31,1,7:27.0,,Turnover by D. Howard (offensive foul),10,7
32,1,7:27.0,,D. Bacon enters the game for M. Kidd-Gilchrist,10,7
33,1,7:10.0,J. Murray misses 2-pt jump shot from 10 ft,,10,7
34,1,7:07.0,Offensive rebound by Team,,10,7
35,1,7:01.0,P. Millsap misses 2-pt jump shot from 20 ft,,10,7
36,1,6:57.0,,Defensive rebound by D. Howard,10,7
37,1,6:52.0,,M. Williams misses 3-pt jump shot from 23 ft,10,7
