,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,D. Howard misses 2-pt hook shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:18.0,S. Ibaka misses 2-pt jump shot from 19 ft,,0,0
3,1,11:14.0,,Defensive rebound by K. Walker,0,0
4,1,11:00.0,,D. Howard misses 2-pt layup from 3 ft (block by J. Valančiūnas),0,0
5,1,10:57.0,Defensive rebound by D. DeRozan,,0,0
6,1,10:50.0,S. Ibaka misses 2-pt layup from 1 ft,,0,0
7,1,10:48.0,,Defensive rebound by M. Williams,0,0
8,1,10:42.0,,K. Walker makes 2-pt layup from 1 ft,0,2
9,1,10:30.0,D. DeRozan misses 2-pt jump shot from 22 ft,,0,2
10,1,10:26.0,Offensive rebound by J. Valančiūnas,,0,2
11,1,10:15.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,0,2
12,1,10:12.0,,Defensive rebound by D. Howard,0,2
13,1,10:06.0,,K. Walker misses 3-pt jump shot from 25 ft,0,2
14,1,10:03.0,Defensive rebound by J. Valančiūnas,,0,2
15,1,9:56.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. DeRozan),,2,2
16,1,9:39.0,,Turnover by K. Walker (bad pass; steal by J. Valančiūnas),2,2
17,1,9:34.0,K. Lowry makes 3-pt jump shot from 26 ft,,5,2
18,1,9:08.0,,M. Williams makes 2-pt layup from 1 ft,5,4
19,1,8:57.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,7,4
20,1,8:57.0,Shooting foul by N. Batum (drawn by O. Anunoby),,7,4
21,1,8:57.0,O. Anunoby misses free throw 1 of 1,,7,4
22,1,8:54.0,,Defensive rebound by D. Howard,7,4
23,1,8:46.0,,N. Batum misses 3-pt jump shot from 26 ft,7,4
24,1,8:42.0,Defensive rebound by S. Ibaka,,7,4
25,1,8:25.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,9,4
26,1,8:08.0,,D. Howard misses 2-pt layup from 2 ft,9,4
27,1,8:06.0,Defensive rebound by S. Ibaka,,9,4
28,1,7:59.0,D. DeRozan makes 2-pt layup at rim,,11,4
29,1,7:43.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),11,7
30,1,7:21.0,Turnover by D. DeRozan (bad pass; steal by K. Walker),,11,7
31,1,7:16.0,,K. Walker misses 2-pt layup from 2 ft,11,7
32,1,7:13.0,Defensive rebound by O. Anunoby,,11,7
33,1,7:01.0,S. Ibaka makes 2-pt dunk from 1 ft,,13,7
34,1,6:47.0,,K. Walker makes 3-pt jump shot from 25 ft,13,10
35,1,6:35.0,Turnover by K. Lowry (bad pass; steal by M. Kidd-Gilchrist),,13,10
36,1,6:28.0,,Turnover by K. Walker (bad pass),13,10
37,1,6:28.0,,Charlotte full timeout,13,10
38,1,6:28.0,,J. Lamb enters the game for N. Batum,13,10
39,1,6:16.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by D. DeRozan),,15,10
40,1,5:58.0,,K. Walker misses 2-pt jump shot from 15 ft,15,10
41,1,5:53.0,Defensive rebound by J. Valančiūnas,,15,10
42,1,5:47.0,K. Lowry makes 2-pt layup at rim,,17,10
43,1,5:35.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,17,10
44,1,5:32.0,Defensive rebound by J. Valančiūnas,,17,10
45,1,5:24.0,O. Anunoby misses 2-pt jump shot from 14 ft (block by J. Lamb),,17,10
46,1,5:20.0,,Defensive rebound by D. Howard,17,10
