,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,K. Walker makes 2-pt layup from 1 ft,0,2
1,1,11:25.0,H. Whiteside misses 2-pt layup from 1 ft,,0,2
2,1,11:19.0,Offensive rebound by H. Whiteside,,0,2
3,1,11:19.0,H. Whiteside makes 2-pt layup at rim,,2,2
4,1,11:12.0,,N. Batum misses 2-pt jump shot from 17 ft,2,2
5,1,11:08.0,Defensive rebound by H. Whiteside,,2,2
6,1,11:01.0,H. Whiteside misses 2-pt jump shot from 21 ft,,2,2
7,1,10:58.0,,Defensive rebound by K. Walker,2,2
8,1,10:50.0,,K. Walker misses 2-pt layup from 2 ft,2,2
9,1,10:47.0,Defensive rebound by H. Whiteside,,2,2
10,1,10:36.0,W. Ellington misses 2-pt jump shot from 8 ft,,2,2
11,1,10:32.0,,Defensive rebound by D. Howard,2,2
12,1,10:18.0,,Shooting foul by D. Jones (drawn by K. Walker),2,2
13,1,10:18.0,,K. Walker misses free throw 1 of 2,2,2
14,1,10:18.0,,Offensive rebound by Team,2,2
15,1,10:18.0,,K. Walker makes free throw 2 of 2,2,3
16,1,10:02.0,J. Johnson makes 2-pt dunk from 1 ft (assist by W. Ellington),,4,3
17,1,9:50.0,,M. Williams misses 3-pt jump shot from 23 ft,4,3
18,1,9:50.0,Defensive rebound by D. Jones,,4,3
19,1,9:46.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by W. Ellington),,7,3
20,1,9:32.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 14 ft (assist by K. Walker),7,5
21,1,9:15.0,J. Richardson misses 2-pt jump shot from 14 ft,,7,5
22,1,9:15.0,,Defensive rebound by M. Williams,7,5
23,1,8:54.0,,M. Williams misses 3-pt jump shot from 25 ft,7,5
24,1,8:51.0,Defensive rebound by H. Whiteside,,7,5
25,1,8:39.0,W. Ellington makes 2-pt jump shot from 22 ft (assist by H. Whiteside),,9,5
26,1,8:20.0,,D. Howard misses 2-pt layup from 1 ft,9,5
27,1,8:18.0,Defensive rebound by J. Johnson,,9,5
28,1,8:11.0,J. Johnson makes 2-pt layup from 1 ft,,11,5
29,1,8:02.0,,N. Batum makes 2-pt jump shot from 13 ft (assist by K. Walker),11,7
30,1,7:42.0,J. Richardson makes 2-pt layup from 1 ft (assist by J. Johnson),,13,7
31,1,7:31.0,,K. Walker makes 2-pt jump shot from 17 ft,13,9
32,1,7:13.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),,16,9
33,1,6:55.0,,N. Batum makes 2-pt jump shot from 12 ft (assist by M. Williams),16,11
34,1,6:39.0,,Violation by D. Howard (kicked ball),16,11
35,1,6:39.0,,Charlotte full timeout,16,11
36,1,6:26.0,J. Richardson makes 2-pt layup from 1 ft (assist by H. Whiteside),,18,11
37,1,6:11.0,,K. Walker makes 2-pt jump shot from 18 ft,18,13
38,1,5:52.0,J. Richardson makes 2-pt jump shot from 9 ft,,20,13
39,1,5:41.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,20,13
40,1,5:36.0,Defensive rebound by J. Johnson,,20,13
41,1,5:30.0,J. Johnson makes 2-pt layup from 1 ft,,22,13
42,1,5:16.0,J. Winslow enters the game for J. Richardson,,22,13
43,1,5:14.0,,M. Williams misses 3-pt jump shot from 26 ft,22,13
44,1,5:11.0,Defensive rebound by H. Whiteside,,22,13
45,1,5:01.0,H. Whiteside misses 2-pt jump shot from 14 ft,,22,13
46,1,4:58.0,,Defensive rebound by D. Howard,22,13
47,1,4:44.0,,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),22,15
48,1,4:29.0,H. Whiteside makes 2-pt jump shot from 18 ft (assist by W. Ellington),,24,15
49,1,4:10.0,,D. Howard misses 2-pt layup from 2 ft,24,15
50,1,4:07.0,Defensive rebound by H. Whiteside,,24,15
