,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:49.0,Turnover by J. Calderón (turnover),,0,0
1,1,11:36.0,,T. Johnson makes 2-pt jump shot from 21 ft (assist by J. Johnson),0,2
2,1,11:16.0,L. James makes 2-pt layup from 1 ft,,2,2
3,1,10:54.0,,G. Dragić misses 2-pt jump shot from 12 ft,2,2
4,1,10:51.0,Defensive rebound by G. Hill,,2,2
5,1,10:44.0,J. Calderón misses 3-pt jump shot from 23 ft,,2,2
6,1,10:42.0,,Defensive rebound by T. Johnson,2,2
7,1,10:38.0,,Shooting block foul by K. Love (drawn by J. Mickey),2,2
8,1,10:38.0,L. Nance enters the game for K. Love,,2,2
9,1,10:38.0,,J. Mickey makes free throw 1 of 2,2,3
10,1,10:38.0,,J. Mickey misses free throw 2 of 2,2,3
11,1,10:34.0,Defensive rebound by J. Green,,2,3
12,1,10:17.0,L. James misses 2-pt layup at rim (block by J. Johnson),,2,3
13,1,10:17.0,,Defensive rebound by Team,2,3
14,1,10:08.0,,Turnover by G. Dragić (bad pass; steal by G. Hill),2,3
15,1,10:01.0,Shooting foul by J. Richardson (drawn by L. James),,2,3
16,1,10:01.0,L. James makes free throw 1 of 2,,3,3
17,1,10:01.0,L. James makes free throw 2 of 2,,4,3
18,1,9:52.0,,J. Johnson makes 2-pt layup from 1 ft,4,5
19,1,9:25.0,J. Green makes 2-pt jump shot from 8 ft,,6,5
20,1,9:18.0,,J. Richardson makes 3-pt jump shot from 25 ft,6,8
21,1,9:04.0,J. Calderón makes 2-pt layup from 1 ft,,8,8
22,1,9:04.0,,Violation by J. Mickey (def goaltending),8,8
23,1,8:52.0,,J. Johnson makes 2-pt layup from 2 ft (assist by T. Johnson),8,10
24,1,8:31.0,Turnover by J. Green (lost ball; steal by J. Richardson),,8,10
25,1,8:26.0,,J. Johnson makes 2-pt layup from 2 ft (assist by G. Dragić),8,12
26,1,8:26.0,Cleveland full timeout,,8,12
27,1,8:05.0,J. Green misses 2-pt jump shot from 8 ft (block by J. Richardson),,8,12
28,1,8:05.0,Offensive rebound by Team,,8,12
29,1,8:00.0,J. Calderón makes 2-pt jump shot from 14 ft (assist by L. Nance),,10,12
30,1,7:49.0,,Personal foul by G. Hill (drawn by J. Johnson),10,12
31,1,7:34.0,,Turnover by Team (shot clock),10,12
32,1,7:17.0,Turnover by J. Calderón (bad pass),,10,12
33,1,6:56.0,,J. Richardson misses 3-pt jump shot from 25 ft,10,12
34,1,6:55.0,Defensive rebound by L. Nance,,10,12
35,1,6:38.0,L. James misses 2-pt jump shot from 4 ft,,10,12
36,1,6:37.0,Offensive rebound by L. James,,10,12
37,1,6:34.0,L. James misses 2-pt jump shot from 6 ft,,10,12
38,1,6:32.0,,Defensive rebound by J. Johnson,10,12
39,1,6:27.0,,Turnover by J. Richardson (bad pass; steal by J. Calderón),10,12
40,1,6:23.0,J. Calderón misses 2-pt layup from 1 ft (block by J. Johnson),,10,12
41,1,6:23.0,Offensive rebound by Team,,10,12
42,1,6:23.0,,J. Winslow enters the game for J. Richardson,10,12
43,1,6:13.0,G. Hill misses 3-pt jump shot from 25 ft,,10,12
44,1,6:10.0,,Defensive rebound by J. Winslow,10,12
45,1,6:06.0,J. Clarkson enters the game for J. Calderón,,10,12
46,1,5:56.0,,J. Mickey makes 2-pt layup from 1 ft (assist by G. Dragić),10,14
47,1,5:46.0,,Violation by J. Mickey (kicked ball),10,14
48,1,5:34.0,Turnover by L. James (bad pass; steal by J. Mickey),,10,14
49,1,5:21.0,,G. Dragić misses 3-pt jump shot from 25 ft,10,14
50,1,5:19.0,,Offensive rebound by J. Winslow,10,14
51,1,5:19.0,,Turnover by J. Winslow (out of bounds lost ball),10,14
52,1,5:19.0,R. Hood enters the game for J. Green,,10,14
53,1,5:01.0,R. Hood misses 2-pt jump shot from 9 ft,,10,14
54,1,5:00.0,,Defensive rebound by J. Mickey,10,14
55,1,4:43.0,,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),10,17
56,1,4:31.0,J. Clarkson makes 2-pt jump shot from 18 ft (assist by L. James),,12,17
57,1,4:16.0,,T. Johnson misses 3-pt jump shot from 26 ft,12,17
58,1,4:14.0,Defensive rebound by L. Nance,,12,17
59,1,4:03.0,J. Clarkson misses 2-pt layup from 1 ft,,12,17
60,1,4:02.0,Offensive rebound by L. Nance,,12,17
61,1,4:00.0,L. Nance misses 2-pt layup at rim,,12,17
62,1,3:59.0,,Defensive rebound by J. Johnson,12,17
63,1,3:46.0,,T. Johnson misses 3-pt jump shot from 26 ft,12,17
64,1,3:46.0,,Offensive rebound by Team,12,17
65,1,3:45.0,Loose ball foul by G. Hill (drawn by J. Winslow),,12,17
66,1,3:45.0,,K. Olynyk enters the game for G. Dragić,12,17
67,1,3:45.0,,D. Wade enters the game for J. Mickey,12,17
68,1,3:45.0,J. Smith enters the game for G. Hill,,12,17
69,1,3:37.0,,D. Wade misses 2-pt jump shot from 18 ft,12,17
70,1,3:35.0,Defensive rebound by L. Nance,,12,17
71,1,3:31.0,Turnover by L. James (lost ball; steal by J. Johnson),,12,17
72,1,3:24.0,,J. Winslow misses 2-pt layup from 2 ft (block by L. Nance),12,17
73,1,3:24.0,Defensive rebound by Team,,12,17
74,1,3:00.0,J. Smith misses 2-pt jump shot from 10 ft,,12,17
75,1,2:59.0,,Defensive rebound by K. Olynyk,12,17
76,1,2:54.0,,Shooting foul by R. Hood (drawn by J. Winslow),12,17
77,1,2:54.0,,Miami full timeout,12,17
78,1,2:54.0,,J. Winslow makes free throw 1 of 2,12,18
79,1,2:54.0,,J. Winslow makes free throw 2 of 2,12,19
80,1,2:39.0,L. Nance makes 2-pt dunk from 1 ft (assist by L. James),,14,19
81,1,2:15.0,,Turnover by D. Wade (traveling),14,19
82,1,2:15.0,,W. Ellington enters the game for T. Johnson,14,19
83,1,2:02.0,R. Hood misses 3-pt jump shot from 26 ft,,14,19
84,1,2:01.0,,Defensive rebound by J. Winslow,14,19
85,1,1:56.0,,J. Winslow misses 2-pt jump shot from 3 ft,14,19
86,1,1:53.0,Defensive rebound by L. James,,14,19
87,1,1:47.0,L. James makes 2-pt layup from 4 ft,,16,19
88,1,1:39.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by D. Wade),16,22
89,1,1:23.0,J. Clarkson misses 2-pt jump shot from 8 ft (block by D. Wade),,16,22
90,1,1:19.0,,Defensive rebound by D. Wade,16,22
91,1,1:16.0,,D. Wade makes 2-pt layup from 1 ft (assist by J. Winslow),16,24
92,1,0:59.0,Turnover by L. James (bad pass; steal by J. Winslow),,16,24
93,1,0:55.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Winslow),16,27
94,1,0:35.0,R. Hood makes 2-pt jump shot from 10 ft,,18,27
95,1,0:23.0,,Shooting block foul by L. Nance (drawn by D. Wade),18,27
96,1,0:23.0,,D. Wade makes free throw 1 of 2,18,28
97,1,0:23.0,,D. Wade makes free throw 2 of 2,18,29
98,1,0:04.0,R. Hood misses 3-pt jump shot from 26 ft,,18,29
99,1,0:01.0,Offensive rebound by L. Nance,,18,29
100,2,11:48.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),18,32
101,2,11:23.0,J. Smith misses 2-pt jump shot from 20 ft,,18,32
102,2,11:22.0,,Defensive rebound by J. Richardson,18,32
