,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:36.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),0,2
1,1,11:19.0,Personal foul by Z. Pachulia (drawn by J. Embiid),,0,2
2,1,11:11.0,B. Simmons misses 2-pt jump shot from 6 ft (block by D. Green),,0,2
3,1,11:06.0,Offensive rebound by B. Simmons,,0,2
4,1,11:04.0,J. Redick misses 3-pt jump shot from 26 ft,,0,2
5,1,11:01.0,,Defensive rebound by D. Green,0,2
6,1,10:53.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by D. Green),0,5
7,1,10:42.0,,P. McCaw enters the game for S. Curry,0,5
8,1,10:37.0,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),,2,5
9,1,10:20.0,,Turnover by K. Thompson (bad pass; steal by J. Redick),2,5
10,1,10:10.0,D. Šarić makes 2-pt jump shot from 9 ft (assist by J. Embiid),,4,5
11,1,10:04.0,,Turnover by P. McCaw (bad pass; steal by B. Simmons),4,5
12,1,10:01.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),,7,5
13,1,10:01.0,,Golden State full timeout,7,5
14,1,10:01.0,,S. Curry enters the game for P. McCaw,7,5
15,1,9:52.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),7,7
16,1,9:39.0,J. Embiid misses 2-pt jump shot from 16 ft,,7,7
17,1,9:35.0,,Defensive rebound by K. Durant,7,7
18,1,9:26.0,,S. Curry misses 3-pt jump shot from 23 ft,7,7
19,1,9:21.0,Defensive rebound by J. Embiid,,7,7
20,1,9:17.0,B. Simmons misses 2-pt jump shot from 13 ft,,7,7
21,1,9:09.0,Offensive rebound by J. Embiid,,7,7
22,1,9:08.0,Turnover by J. Embiid (lost ball; steal by D. Green),,7,7
23,1,9:05.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by D. Šarić),7,7
24,1,9:05.0,Defensive rebound by Team,,7,7
25,1,8:52.0,J. Redick makes 2-pt jump shot from 19 ft (assist by R. Covington),,9,7
26,1,8:40.0,,Turnover by Z. Pachulia (turnover),9,7
27,1,8:23.0,J. Embiid misses 2-pt jump shot from 14 ft,,9,7
28,1,8:18.0,,Defensive rebound by D. Green,9,7
29,1,7:58.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),9,9
30,1,7:37.0,D. Šarić makes 2-pt hook shot from 9 ft,,11,9
31,1,7:20.0,,Shooting foul by J. Embiid (drawn by S. Curry),11,9
32,1,7:20.0,,S. Curry makes free throw 1 of 3,11,10
33,1,7:20.0,,S. Curry makes free throw 2 of 3,11,11
34,1,7:20.0,R. Holmes enters the game for D. Šarić,,11,11
35,1,7:20.0,T. McConnell enters the game for J. Embiid,,11,11
