,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,,T. Snell misses 3-pt jump shot from 25 ft,0,0
1,1,11:32.0,Defensive rebound by C. Paul,,0,0
2,1,11:22.0,J. Harden misses 2-pt layup from 3 ft (block by J. Henson),,0,0
3,1,11:22.0,Offensive rebound by C. Capela,,0,0
4,1,11:22.0,Shooting foul by G. Antetokounmpo (drawn by C. Capela),,0,0
5,1,11:22.0,C. Capela makes free throw 1 of 2,,1,0
6,1,11:22.0,C. Capela misses free throw 2 of 2,,1,0
7,1,11:18.0,Offensive rebound by P. Tucker,,1,0
8,1,11:10.0,J. Harden misses 3-pt jump shot from 28 ft,,1,0
9,1,11:07.0,,Defensive rebound by K. Middleton,1,0
10,1,11:02.0,,J. Henson makes 2-pt dunk from 1 ft (assist by K. Middleton),1,2
11,1,10:40.0,T. Ariza makes 2-pt layup from 1 ft,,3,2
12,1,10:26.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,3,2
13,1,10:24.0,Defensive rebound by J. Harden,,3,2
14,1,10:12.0,T. Ariza misses 3-pt jump shot from 26 ft,,3,2
15,1,10:09.0,,Defensive rebound by E. Bledsoe,3,2
16,1,10:05.0,,Turnover by E. Bledsoe (bad pass; steal by T. Ariza),3,2
17,1,10:01.0,Turnover by C. Paul (bad pass; steal by K. Middleton),,3,2
18,1,10:00.0,Violation by T. Ariza (kicked ball),,3,2
19,1,9:44.0,,K. Middleton makes 3-pt jump shot from 28 ft,3,5
20,1,9:28.0,J. Harden makes 2-pt layup from 1 ft,,5,5
21,1,9:18.0,,E. Bledsoe makes 2-pt layup at rim,5,7
22,1,9:02.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by T. Ariza),,8,7
23,1,8:45.0,,J. Henson misses 2-pt hook shot from 6 ft,8,7
24,1,8:43.0,Defensive rebound by C. Capela,,8,7
25,1,8:35.0,Turnover by C. Paul (lost ball; steal by T. Snell),,8,7
26,1,8:30.0,,G. Antetokounmpo makes 2-pt layup at rim,8,9
27,1,8:16.0,J. Harden misses 3-pt jump shot from 28 ft,,8,9
28,1,8:14.0,,Defensive rebound by K. Middleton,8,9
