,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,A. Rivers makes 2-pt layup from 2 ft,0,2
1,1,11:30.0,J. Smith makes 3-pt jump shot from 25 ft (assist by G. Hill),,3,2
2,1,11:19.0,,D. Jordan makes 2-pt dunk at rim (assist by A. Rivers),3,4
3,1,11:02.0,R. Hood misses 2-pt jump shot from 18 ft,,3,4
4,1,10:59.0,,Defensive rebound by A. Rivers,3,4
5,1,10:52.0,,A. Rivers misses 3-pt jump shot from 28 ft,3,4
6,1,10:50.0,Defensive rebound by L. James,,3,4
7,1,10:41.0,L. James makes 2-pt layup from 1 ft,,5,4
8,1,10:23.0,,L. Williams misses 2-pt layup from 2 ft (block by L. James),5,4
9,1,10:20.0,Defensive rebound by L. Nance,,5,4
10,1,10:16.0,J. Smith makes 2-pt jump shot from 15 ft,,7,4
11,1,10:02.0,,T. Harris misses 2-pt jump shot from 16 ft,7,4
12,1,9:59.0,Defensive rebound by Team,,7,4
13,1,9:41.0,R. Hood misses 3-pt jump shot from 22 ft,,7,4
14,1,9:39.0,,Defensive rebound by S. Thornwell,7,4
15,1,9:27.0,,S. Thornwell makes 3-pt jump shot from 23 ft (assist by A. Rivers),7,7
16,1,9:10.0,J. Smith misses 2-pt jump shot from 10 ft,,7,7
17,1,9:08.0,,Defensive rebound by T. Harris,7,7
18,1,9:03.0,,Shooting foul by L. Nance (drawn by S. Thornwell),7,7
19,1,9:03.0,,S. Thornwell makes free throw 1 of 2,7,8
20,1,9:03.0,,S. Thornwell makes free throw 2 of 2,7,9
21,1,8:49.0,J. Smith misses 3-pt jump shot from 27 ft,,7,9
22,1,8:45.0,,Defensive rebound by S. Thornwell,7,9
23,1,8:31.0,,T. Harris makes 2-pt jump shot from 21 ft,7,11
24,1,8:15.0,L. Nance misses 2-pt jump shot from 15 ft,,7,11
25,1,8:13.0,,Defensive rebound by D. Jordan,7,11
26,1,8:07.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),7,13
27,1,8:07.0,Cleveland full timeout,,7,13
28,1,7:52.0,L. Nance makes 2-pt hook shot from 7 ft (assist by R. Hood),,9,13
29,1,7:28.0,,L. Williams misses 2-pt jump shot from 5 ft,9,13
30,1,7:26.0,,Offensive rebound by D. Jordan,9,13
31,1,7:26.0,,D. Jordan misses 2-pt layup at rim,9,13
32,1,7:26.0,,Offensive rebound by D. Jordan,9,13
33,1,7:26.0,,Shooting foul by R. Hood (drawn by D. Jordan),9,13
34,1,7:26.0,,D. Jordan makes free throw 1 of 2,9,14
35,1,7:26.0,,D. Jordan makes free throw 2 of 2,9,15
36,1,7:04.0,L. James misses 2-pt jump shot from 18 ft,,9,15
37,1,7:02.0,,Defensive rebound by D. Jordan,9,15
38,1,6:54.0,,T. Harris misses 3-pt jump shot from 24 ft,9,15
39,1,6:51.0,Defensive rebound by L. Nance,,9,15
40,1,6:42.0,R. Hood misses 2-pt jump shot from 19 ft,,9,15
41,1,6:38.0,,Defensive rebound by D. Jordan,9,15
42,1,6:27.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by A. Rivers),9,17
