,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,,J. Embiid makes 2-pt jump shot at rim (assist by B. Simmons),0,2
1,1,11:14.0,S. Curry misses 2-pt jump shot from 22 ft,,0,2
2,1,11:14.0,Offensive rebound by Z. Pachulia,,0,2
3,1,11:08.0,K. Durant makes 2-pt jump shot from 14 ft,,2,2
4,1,10:56.0,,J. Embiid misses 2-pt jump shot from 12 ft,2,2
5,1,10:55.0,Defensive rebound by D. Green,,2,2
6,1,10:50.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,4,2
7,1,10:50.0,Personal foul by R. Covington (drawn by S. Curry),,4,2
8,1,10:50.0,,Turnover by R. Covington (turnover),4,2
9,1,10:50.0,S. Curry makes free throw 1 of 1,,5,2
10,1,10:38.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),5,4
11,1,10:19.0,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by S. Curry),,7,4
12,1,10:00.0,,Shooting foul by Z. Pachulia (drawn by J. Embiid),7,4
13,1,10:00.0,,J. Embiid makes free throw 1 of 2,7,5
14,1,10:00.0,,J. Embiid makes free throw 2 of 2,7,6
15,1,9:55.0,Turnover by Z. Pachulia (bad pass; steal by B. Simmons),,7,6
16,1,9:55.0,,D. Šarić misses 2-pt jump shot from 22 ft,7,6
17,1,9:55.0,Defensive rebound by S. Curry,,7,6
18,1,9:55.0,,B. Simmons makes 2-pt jump shot from 8 ft,9,11
19,1,9:50.0,K. Durant misses 2-pt dunk from 3 ft (block by D. Šarić),,9,11
20,1,9:50.0,Offensive rebound by D. Green,,9,11
21,1,9:50.0,K. Thompson misses 3-pt jump shot from 25 ft,,9,11
22,1,9:50.0,Offensive rebound by D. Green,,9,11
23,1,9:41.0,K. Thompson misses 2-pt jump shot from 15 ft,,9,11
24,1,9:41.0,Offensive rebound by K. Durant,,9,11
25,1,9:40.0,Turnover by S. Curry (bad pass; steal by D. Šarić),,9,11
26,1,9:32.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by B. Simmons),9,9
27,1,9:26.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),,9,6
28,1,9:13.0,,B. Simmons makes free throw 1 of 1,9,12
29,1,9:13.0,,Shooting foul by D. Green,9,12
30,1,9:13.0,Technical foul by D. Green,,9,12
31,1,9:13.0,,J. Redick makes free throw 1 of 1,9,13
32,1,9:00.0,S. Curry misses 2-pt jump shot from 12 ft,,9,13
33,1,9:00.0,,Defensive rebound by D. Šarić,9,13
34,1,8:36.0,,J. Redick misses 3-pt jump shot from 26 ft,9,13
35,1,8:36.0,Defensive rebound by D. Green,,9,13
36,1,8:30.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),,11,13
37,1,8:16.0,,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),11,15
38,1,8:03.0,K. Durant misses 2-pt jump shot from 16 ft,,11,15
39,1,8:03.0,,Defensive rebound by D. Šarić,11,15
40,1,7:55.0,,J. Embiid makes 3-pt jump shot from 28 ft (assist by D. Šarić),11,18
41,1,7:46.0,Golden State full timeout,,11,18
42,1,7:38.0,K. Thompson misses 2-pt jump shot from 15 ft,,11,18
43,1,7:34.0,,Defensive rebound by J. Embiid,11,18
44,1,7:15.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by J. Embiid),11,21
45,1,7:03.0,Offensive foul by Z. Pachulia (drawn by R. Covington),,11,21
46,1,7:03.0,Turnover by Z. Pachulia (offensive foul),,11,21
47,1,7:03.0,,T. Luwawu-Cabarrot enters the game for J. Redick,11,21
48,1,6:48.0,,B. Simmons misses 2-pt jump shot from 15 ft,11,21
49,1,6:46.0,Defensive rebound by K. Thompson,,11,21
50,1,6:31.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,14,21
51,1,6:18.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),14,24
52,1,6:08.0,S. Curry misses 3-pt jump shot from 27 ft,,14,24
53,1,6:07.0,,Defensive rebound by D. Šarić,14,24
54,1,5:58.0,,B. Simmons makes 2-pt dunk at rim,14,26
55,1,5:48.0,S. Curry makes 2-pt jump shot from 18 ft,,16,26
56,1,5:48.0,,Philadelphia full timeout,16,26
57,1,5:48.0,,R. Holmes enters the game for J. Embiid,16,26
58,1,5:48.0,A. Iguodala enters the game for D. Green,,16,26
59,1,5:48.0,J. McGee enters the game for Z. Pachulia,,16,26
60,1,5:35.0,,D. Šarić makes 2-pt jump shot from 18 ft (assist by B. Simmons),16,28
61,1,5:15.0,K. Durant makes 2-pt dunk at rim,,18,28
