,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,,Turnover by T. Parker (bad pass; steal by R. Jackson),0,0
1,1,11:39.0,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),,3,0
2,1,11:21.0,,T. Parker makes 2-pt layup from 4 ft (assist by R. Gay),3,2
3,1,11:03.0,A. Bradley misses 2-pt jump shot from 20 ft,,3,2
4,1,10:59.0,,Defensive rebound by P. Gasol,3,2
5,1,10:52.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by T. Parker),3,5
6,1,10:29.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by A. Bradley),,6,5
7,1,10:05.0,,D. Green misses 2-pt jump shot from 8 ft,6,5
8,1,10:04.0,Defensive rebound by R. Jackson,,6,5
9,1,9:55.0,R. Jackson makes 2-pt jump shot from 10 ft,,8,5
10,1,9:33.0,,L. Aldridge misses 2-pt jump shot from 14 ft,8,5
11,1,9:33.0,Defensive rebound by T. Harris,,8,5
12,1,9:23.0,R. Jackson makes 2-pt layup from 3 ft,,10,5
13,1,9:00.0,,R. Gay makes 2-pt dunk from 4 ft (assist by D. Green),10,7
14,1,8:43.0,T. Harris misses 3-pt jump shot from 25 ft,,10,7
15,1,8:40.0,,Defensive rebound by T. Parker,10,7
16,1,8:34.0,,T. Parker makes 2-pt layup from 3 ft,10,9
17,1,8:34.0,,Shooting foul by A. Drummond (drawn by T. Parker),10,9
18,1,8:34.0,,T. Parker makes free throw 1 of 1,10,10
19,1,8:15.0,T. Harris misses 2-pt jump shot from 8 ft,,10,10
20,1,8:09.0,Offensive rebound by A. Drummond,,10,10
21,1,8:07.0,A. Drummond misses 2-pt layup from 4 ft (block by P. Gasol),,10,10
22,1,8:07.0,,Defensive rebound by T. Parker,10,10
23,1,8:02.0,,T. Parker misses 2-pt jump shot from 6 ft,10,10
24,1,8:02.0,,Offensive rebound by R. Gay,10,10
25,1,7:55.0,,T. Parker makes 2-pt jump shot from 20 ft (assist by R. Gay),10,12
26,1,7:51.0,Detroit full timeout,,10,12
27,1,7:39.0,T. Harris misses 2-pt layup from 4 ft,,10,12
28,1,7:32.0,Offensive rebound by A. Drummond,,10,12
29,1,7:32.0,A. Drummond makes 2-pt layup at rim,,12,12
30,1,7:18.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by D. Green),12,15
31,1,7:04.0,R. Jackson misses 3-pt jump shot from 25 ft,,12,15
32,1,7:01.0,,Defensive rebound by T. Parker,12,15
33,1,6:39.0,,T. Parker misses 2-pt layup from 3 ft,12,15
34,1,6:38.0,,Offensive rebound by D. Green,12,15
35,1,6:38.0,,Turnover by Team (shot clock),12,15
36,1,6:27.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Bradley),,15,15
