,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,J. Ennis misses 3-pt jump shot from 26 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Henson,0,0
2,1,11:31.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,0,0
3,1,11:27.0,Defensive rebound by J. Ennis,,0,0
4,1,11:16.0,M. Conley misses 2-pt jump shot from 14 ft,,0,0
5,1,11:14.0,,Defensive rebound by G. Antetokounmpo,0,0
6,1,11:04.0,,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),0,2
7,1,10:42.0,J. Ennis makes 2-pt layup at rim (assist by M. Gasol),,2,2
8,1,10:17.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,2,2
9,1,10:17.0,,Offensive rebound by Team,2,2
10,1,9:51.0,M. Gasol makes 2-pt dunk from 1 ft,,4,2
11,1,9:44.0,,Turnover by T. Snell (bad pass; steal by D. Brooks),4,2
12,1,9:44.0,,Violation by G. Antetokounmpo (def goaltending),4,2
13,1,9:44.0,D. Brooks makes 2-pt layup from 1 ft,,6,2
14,1,9:26.0,,K. Middleton misses 2-pt jump shot from 16 ft,6,2
15,1,9:23.0,Defensive rebound by M. Gasol,,6,2
16,1,9:13.0,J. Martin misses 3-pt jump shot from 23 ft,,6,2
17,1,9:10.0,Offensive rebound by D. Brooks,,6,2
18,1,9:03.0,D. Brooks makes 3-pt jump shot from 27 ft (assist by M. Gasol),,9,2
19,1,8:49.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by T. Snell),9,5
20,1,8:24.0,J. Martin misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,9,5
21,1,8:24.0,Offensive rebound by Team,,9,5
22,1,8:24.0,Turnover by Team (shot clock),,9,5
23,1,8:11.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by T. Snell),9,8
24,1,7:56.0,Turnover by M. Gasol (bad pass; steal by G. Antetokounmpo),,9,8
25,1,7:52.0,,G. Antetokounmpo makes 2-pt layup at rim,9,10
26,1,7:38.0,Shooting foul by J. Henson (drawn by D. Brooks),,9,10
27,1,7:38.0,D. Brooks makes free throw 1 of 2,,10,10
28,1,7:38.0,D. Brooks makes free throw 2 of 2,,11,10
29,1,7:24.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by J. Henson),11,13
30,1,7:17.0,Personal foul by E. Bledsoe (drawn by M. Conley),,11,13
31,1,7:07.0,M. Conley misses 3-pt jump shot from 28 ft,,11,13
32,1,7:05.0,Offensive rebound by M. Gasol,,11,13
33,1,7:02.0,M. Gasol makes 2-pt layup from 1 ft,,13,13
34,1,6:59.0,,Shooting foul by J. Martin (drawn by J. Henson),13,13
35,1,6:59.0,,Milwaukee full timeout,13,13
36,1,6:59.0,,M. Brogdon enters the game for E. Bledsoe,13,13
37,1,6:51.0,,Turnover by K. Middleton (bad pass; steal by J. Martin),13,13
38,1,6:46.0,M. Conley makes 3-pt jump shot from 27 ft,,16,13
39,1,6:24.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,16,15
40,1,5:54.0,J. Martin makes 2-pt jump shot from 20 ft (assist by M. Conley),,18,15
41,1,5:44.0,,K. Middleton misses 2-pt jump shot from 18 ft,18,15
42,1,5:41.0,Defensive rebound by M. Gasol,,18,15
43,1,5:33.0,M. Gasol misses 3-pt jump shot from 28 ft,,18,15
44,1,5:30.0,Offensive rebound by J. Ennis,,18,15
45,1,5:29.0,Turnover by M. Gasol (bad pass),,18,15
46,1,5:13.0,,Personal foul by D. Brooks (drawn by M. Brogdon),18,15
