,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BROOKLYN_ACTION,PORTLAND_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,T. Zeller makes 2-pt jump shot from 8 ft (assist by S. Dinwiddie),0,2
1,1,11:19.0,J. Nurkić misses 2-pt jump shot from 19 ft,,0,2
2,1,11:15.0,,Defensive rebound by D. Carroll,0,2
3,1,11:07.0,,A. Crabbe misses 2-pt jump shot from 21 ft,0,2
4,1,11:03.0,Defensive rebound by N. Vonleh,,0,2
5,1,10:58.0,C. McCollum misses 2-pt layup from 5 ft (block by T. Zeller),,0,2
6,1,10:58.0,Offensive rebound by Team,,0,2
7,1,10:51.0,Turnover by D. Lillard (bad pass; steal by S. Dinwiddie),,0,2
8,1,10:36.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,0,2
9,1,10:32.0,Defensive rebound by N. Vonleh,,0,2
10,1,10:22.0,J. Nurkić makes 2-pt jump shot from 7 ft,,2,2
11,1,10:03.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft,2,4
12,1,9:48.0,C. McCollum misses 2-pt jump shot from 14 ft,,2,4
13,1,9:46.0,,Defensive rebound by D. Carroll,2,4
14,1,9:33.0,,D. Carroll makes 2-pt jump shot from 13 ft,2,6
15,1,9:17.0,D. Lillard makes 2-pt jump shot from 19 ft (assist by J. Nurkić),,4,6
16,1,9:01.0,,A. Crabbe makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),4,9
17,1,8:46.0,C. McCollum misses 2-pt jump shot from 14 ft,,4,9
18,1,8:43.0,,Defensive rebound by R. Hollis-Jefferson,4,9
19,1,8:39.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,4,9
20,1,8:39.0,Defensive rebound by J. Nurkić,,4,9
21,1,8:29.0,P. Connaughton makes 2-pt jump shot from 16 ft (assist by D. Lillard),,6,9
22,1,8:12.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,6,11
23,1,7:54.0,Turnover by D. Lillard (bad pass),,6,11
24,1,7:40.0,,A. Crabbe makes 2-pt jump shot from 13 ft (assist by D. Carroll),6,13
25,1,7:27.0,J. Nurkić misses 2-pt jump shot from 21 ft,,6,13
26,1,7:24.0,,Defensive rebound by D. Carroll,6,13
27,1,7:22.0,,Shooting block foul by P. Connaughton (drawn by D. Carroll),6,13
28,1,7:22.0,,D. Carroll misses free throw 1 of 2,6,13
29,1,7:22.0,,Offensive rebound by Team,6,13
30,1,7:22.0,,D. Carroll misses free throw 2 of 2,6,13
31,1,7:19.0,Defensive rebound by N. Vonleh,,6,13
32,1,7:10.0,D. Lillard makes 2-pt layup from 2 ft,,8,13
33,1,6:52.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by D. Carroll),8,15
34,1,6:51.0,Portland full timeout,,8,15
35,1,6:39.0,C. McCollum makes 2-pt jump shot from 13 ft,,10,15
36,1,6:23.0,,D. Carroll makes 2-pt jump shot from 13 ft,10,17
37,1,6:14.0,C. McCollum makes 2-pt jump shot from 9 ft (assist by D. Lillard),,12,17
38,1,6:02.0,,T. Zeller misses 2-pt layup from 2 ft (block by J. Nurkić),12,17
39,1,6:02.0,,Offensive rebound by Team,12,17
40,1,5:51.0,,S. Dinwiddie makes 2-pt jump shot from 9 ft,12,19
41,1,5:41.0,Shooting foul by T. Zeller (drawn by J. Nurkić),,12,19
42,1,5:41.0,J. Nurkić makes free throw 1 of 2,,13,19
43,1,5:41.0,J. Layman enters the game for P. Connaughton,,13,19
44,1,5:41.0,E. Turner enters the game for C. McCollum,,13,19
45,1,5:41.0,J. Nurkić misses free throw 2 of 2,,13,19
46,1,5:38.0,,Defensive rebound by R. Hollis-Jefferson,13,19
47,1,5:29.0,,D. Carroll makes 2-pt jump shot from 13 ft,13,21
48,1,5:06.0,N. Vonleh misses 2-pt hook shot from 7 ft,,13,21
49,1,5:03.0,Offensive rebound by N. Vonleh,,13,21
50,1,5:03.0,N. Vonleh misses 2-pt layup at rim,,13,21
51,1,5:03.0,Offensive rebound by Team,,13,21
52,1,5:03.0,,J. Harris enters the game for R. Hollis-Jefferson,13,21
53,1,5:03.0,,T. Booker enters the game for A. Crabbe,13,21
54,1,5:03.0,,J. Allen enters the game for T. Zeller,13,21
55,1,4:59.0,Personal foul by J. Allen (drawn by J. Nurkić),,13,21
56,1,4:53.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by E. Turner),,16,21
57,1,4:31.0,,Turnover by D. Carroll (lost ball; steal by D. Lillard),16,21
58,1,4:24.0,J. Nurkić misses 2-pt layup from 3 ft (block by T. Booker),,16,21
59,1,4:24.0,Offensive rebound by Team,,16,21
60,1,4:24.0,,C. LeVert enters the game for S. Dinwiddie,16,21
61,1,4:24.0,M. Harkless enters the game for N. Vonleh,,16,21
62,1,4:11.0,E. Turner misses 2-pt jump shot from 12 ft,,16,21
63,1,4:08.0,,Defensive rebound by T. Booker,16,21
64,1,3:55.0,,J. Allen misses 2-pt jump shot from 17 ft,16,21
65,1,3:53.0,,Offensive rebound by T. Booker,16,21
66,1,3:48.0,,C. LeVert makes 3-pt jump shot from 24 ft (assist by T. Booker),16,24
67,1,3:25.0,M. Harkless misses 2-pt layup from 1 ft,,16,24
