,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
0,1,11:43.0,C. Lee misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,Offensive rebound by E. Freedom,,0,0
2,1,11:39.0,E. Freedom makes 2-pt layup at rim,,2,0
3,1,11:20.0,,D. Brooks makes 2-pt layup from 1 ft (assist by T. Evans),2,2
4,1,11:09.0,J. Jack misses 3-pt jump shot from 26 ft,,2,2
5,1,11:06.0,,Defensive rebound by J. Green,2,2
6,1,10:58.0,,T. Evans misses 3-pt jump shot from 25 ft,2,2
7,1,10:56.0,Defensive rebound by E. Freedom,,2,2
8,1,10:45.0,E. Freedom makes 2-pt jump shot from 16 ft (assist by J. Jack),,4,2
9,1,10:30.0,,D. Brooks makes 2-pt jump shot from 21 ft (assist by T. Evans),4,4
10,1,10:06.0,E. Freedom makes 2-pt hook shot from 8 ft (assist by L. Thomas),,6,4
11,1,9:53.0,,A. Harrison makes 2-pt jump shot from 22 ft,6,6
12,1,9:42.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,6,6
13,1,9:40.0,,Defensive rebound by D. Davis,6,6
14,1,9:35.0,,T. Evans misses 2-pt layup from 1 ft (block by K. Porziņģis),6,6
15,1,9:31.0,Defensive rebound by K. Porziņģis,,6,6
16,1,9:20.0,E. Freedom misses 2-pt jump shot from 6 ft,,6,6
17,1,9:15.0,,Defensive rebound by J. Green,6,6
18,1,8:58.0,,J. Green makes 2-pt layup at rim (assist by T. Evans),6,8
19,1,8:43.0,C. Lee makes 2-pt jump shot from 16 ft (assist by J. Jack),,8,8
20,1,8:30.0,,D. Brooks misses 3-pt jump shot from 25 ft,8,8
21,1,8:28.0,,Offensive rebound by J. Green,8,8
22,1,8:22.0,,D. Davis makes 2-pt dunk at rim (assist by D. Brooks),8,10
23,1,8:00.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,8,10
24,1,7:57.0,,Defensive rebound by T. Evans,8,10
25,1,7:54.0,,T. Evans makes 2-pt layup from 1 ft,8,12
26,1,7:40.0,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),,10,12
27,1,7:29.0,,T. Evans makes 3-pt jump shot from 25 ft,10,15
28,1,7:14.0,K. Porziņģis makes 2-pt dunk at rim (assist by L. Thomas),,12,15
29,1,7:00.0,,J. Green misses 3-pt jump shot from 25 ft,12,15
30,1,6:58.0,Defensive rebound by E. Freedom,,12,15
31,1,6:54.0,Personal foul by J. Green (drawn by K. Porziņģis),,12,15
32,1,6:54.0,,Memphis full timeout,12,15
