,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:47.0,,A. Baynes misses 2-pt jump shot from 15 ft,0,0
1,1,11:42.0,Defensive rebound by J. Allen,,0,0
2,1,11:23.0,D. Russell misses 2-pt jump shot from 15 ft,,0,0
3,1,11:21.0,,Defensive rebound by G. Yabusele,0,0
4,1,11:13.0,,A. Baynes misses 2-pt jump shot from 16 ft,0,0
5,1,11:11.0,Defensive rebound by R. Hollis-Jefferson,,0,0
6,1,10:59.0,J. Allen makes 2-pt hook shot from 6 ft (assist by R. Hollis-Jefferson),,2,0
7,1,10:46.0,,A. Nader misses 2-pt layup from 7 ft,2,0
8,1,10:45.0,,Offensive rebound by A. Baynes,2,0
9,1,10:45.0,,A. Baynes misses 2-pt layup at rim,2,0
10,1,10:44.0,,Offensive rebound by A. Nader,2,0
11,1,10:43.0,,A. Nader misses 2-pt layup from 3 ft,2,0
12,1,10:41.0,Defensive rebound by A. Crabbe,,2,0
13,1,10:34.0,A. Crabbe misses 3-pt jump shot from 26 ft,,2,0
14,1,10:30.0,,Defensive rebound by A. Baynes,2,0
15,1,10:21.0,,S. Larkin misses 2-pt jump shot from 18 ft,2,0
16,1,10:20.0,,Offensive rebound by A. Baynes,2,0
17,1,10:20.0,,A. Baynes makes 2-pt layup at rim,2,2
18,1,10:05.0,D. Russell makes 3-pt jump shot from 28 ft (assist by C. LeVert),,5,2
19,1,9:48.0,,G. Yabusele misses 2-pt layup from 1 ft,5,2
20,1,9:48.0,,Offensive rebound by A. Baynes,5,2
21,1,9:45.0,,A. Baynes makes 2-pt layup at rim,5,4
22,1,9:25.0,D. Russell misses 2-pt layup from 4 ft,,5,4
23,1,9:23.0,,Defensive rebound by S. Larkin,5,4
24,1,9:18.0,,Turnover by J. Bird (lost ball; steal by A. Crabbe),5,4
25,1,9:15.0,D. Russell makes 2-pt layup from 1 ft (assist by A. Crabbe),,7,4
26,1,8:51.0,,Turnover by J. Bird (bad pass; steal by R. Hollis-Jefferson),7,4
27,1,8:46.0,C. LeVert makes 3-pt jump shot from 25 ft (assist by D. Russell),,10,4
28,1,8:21.0,,G. Yabusele makes 2-pt layup from 2 ft (assist by A. Baynes),10,6
29,1,8:07.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,10,6
30,1,8:05.0,,Defensive rebound by A. Baynes,10,6
31,1,7:58.0,,A. Nader makes 2-pt layup from 3 ft,10,8
32,1,7:45.0,Turnover by C. LeVert (traveling),,10,8
33,1,7:31.0,,A. Baynes misses 2-pt jump shot from 14 ft,10,8
34,1,7:29.0,Defensive rebound by J. Allen,,10,8
35,1,7:21.0,A. Crabbe misses 3-pt jump shot from 29 ft,,10,8
36,1,7:19.0,,Defensive rebound by G. Yabusele,10,8
37,1,7:11.0,,S. Larkin misses 2-pt layup from 2 ft,10,8
38,1,7:09.0,Defensive rebound by A. Crabbe,,10,8
39,1,6:59.0,D. Russell misses 3-pt jump shot from 27 ft,,10,8
40,1,6:56.0,,Defensive rebound by J. Bird,10,8
41,1,6:48.0,,G. Yabusele makes 2-pt jump shot from 17 ft (assist by J. Bird),10,10
42,1,6:37.0,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,,10,10
43,1,6:35.0,,Defensive rebound by J. Bird,10,10
44,1,6:17.0,,A. Nader misses 2-pt layup from 2 ft (block by A. Crabbe),10,10
45,1,6:16.0,,Offensive rebound by A. Baynes,10,10
46,1,6:15.0,,A. Baynes makes 2-pt layup from 1 ft,10,12
47,1,6:15.0,Brooklyn full timeout,,10,12
48,1,6:15.0,,S. Ojeleye enters the game for G. Yabusele,10,12
49,1,6:15.0,N. Stauskas enters the game for C. LeVert,,10,12
50,1,6:06.0,Turnover by D. Russell (bad pass),,10,12
51,1,5:51.0,,S. Larkin misses 3-pt jump shot from 26 ft,10,12
52,1,5:49.0,Defensive rebound by J. Allen,,10,12
53,1,5:36.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,10,12
54,1,5:32.0,,Defensive rebound by S. Larkin,10,12
55,1,5:25.0,,A. Baynes misses 2-pt jump shot from 19 ft,10,12
