,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:41.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by K. Walker),,2,0
1,1,11:22.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),2,2
2,1,11:08.0,K. Walker misses 3-pt jump shot from 25 ft,,2,2
3,1,11:03.0,,Defensive rebound by S. Ibaka,2,2
4,1,10:54.0,,D. DeRozan makes 2-pt jump shot from 6 ft,2,4
5,1,10:32.0,D. Howard makes 2-pt layup from 1 ft,,4,4
6,1,10:17.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),4,6
7,1,10:00.0,N. Batum misses 2-pt jump shot from 19 ft,,4,6
8,1,9:57.0,,Defensive rebound by S. Ibaka,4,6
9,1,9:46.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by D. DeRozan),4,8
10,1,9:26.0,D. Howard misses 2-pt hook shot from 5 ft,,4,8
11,1,9:24.0,,Defensive rebound by J. Valančiūnas,4,8
12,1,9:06.0,,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by D. DeRozan),4,11
13,1,8:49.0,K. Walker misses 2-pt jump shot from 11 ft,,4,11
14,1,8:47.0,,Defensive rebound by J. Valančiūnas,4,11
15,1,8:36.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),4,13
16,1,8:29.0,Charlotte full timeout,,4,13
17,1,8:19.0,N. Batum makes 2-pt jump shot from 19 ft (assist by D. Howard),,6,13
18,1,8:03.0,,M. Miller misses 3-pt jump shot from 26 ft,6,13
19,1,8:00.0,Defensive rebound by D. Howard,,6,13
20,1,7:53.0,M. Williams misses 2-pt layup from 2 ft (block by S. Ibaka),,6,13
21,1,7:49.0,,Defensive rebound by K. Lowry,6,13
22,1,7:45.0,,M. Miller misses 3-pt jump shot from 22 ft,6,13
23,1,7:42.0,Defensive rebound by D. Howard,,6,13
24,1,7:31.0,N. Batum makes 2-pt jump shot from 12 ft,,8,13
25,1,7:07.0,,Turnover by D. DeRozan (lost ball; steal by K. Walker),8,13
26,1,7:01.0,M. Kidd-Gilchrist misses 2-pt layup at rim (block by S. Ibaka),,8,13
27,1,6:58.0,,Defensive rebound by M. Miller,8,13
28,1,6:55.0,,K. Lowry misses 3-pt jump shot from 25 ft,8,13
29,1,6:55.0,Defensive rebound by K. Walker,,8,13
30,1,6:49.0,Personal foul by K. Lowry (drawn by K. Walker),,8,13
31,1,6:44.0,N. Batum misses 2-pt jump shot from 22 ft,,8,13
32,1,6:41.0,,Defensive rebound by K. Lowry,8,13
33,1,6:24.0,,S. Ibaka misses 3-pt jump shot from 23 ft,8,13
34,1,6:21.0,,Offensive rebound by K. Lowry,8,13
35,1,6:19.0,,S. Ibaka misses 3-pt jump shot from 22 ft,8,13
36,1,6:16.0,Defensive rebound by D. Howard,,8,13
37,1,6:12.0,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by N. Batum),,10,13
38,1,6:12.0,Shooting foul by J. Valančiūnas (drawn by M. Kidd-Gilchrist),,10,13
39,1,6:12.0,M. Kidd-Gilchrist misses free throw 1 of 1,,10,13
40,1,6:10.0,Offensive rebound by M. Williams,,10,13
41,1,6:06.0,M. Williams misses 3-pt jump shot from 23 ft,,10,13
42,1,6:04.0,,Defensive rebound by J. Valančiūnas,10,13
43,1,5:54.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),10,16
44,1,5:38.0,Personal foul by M. Miller (drawn by N. Batum),,10,16
45,1,5:28.0,D. Howard misses 2-pt layup from 1 ft (block by S. Ibaka),,10,16
46,1,5:28.0,Offensive rebound by Team,,10,16
47,1,5:28.0,,C. Miles enters the game for M. Miller,10,16
48,1,5:26.0,M. Williams makes 2-pt jump shot from 3 ft (assist by N. Batum),,12,16
49,1,5:00.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,12,18
50,1,4:43.0,N. Batum misses 2-pt jump shot from 17 ft,,12,18
51,1,4:41.0,,Defensive rebound by K. Lowry,12,18
52,1,4:24.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,12,18
53,1,4:20.0,Defensive rebound by D. Howard,,12,18
54,1,4:16.0,K. Walker misses 2-pt jump shot from 13 ft,,12,18
55,1,4:13.0,Offensive rebound by N. Batum,,12,18
56,1,4:11.0,K. Walker makes 3-pt jump shot from 25 ft,,15,18
57,1,3:49.0,,Turnover by J. Valančiūnas (turnover),15,18
58,1,3:49.0,J. Lamb enters the game for M. Williams,,15,18
59,1,3:49.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,15,18
60,1,3:32.0,,Offensive charge foul by D. Howard (drawn by J. Valančiūnas),15,18
61,1,3:32.0,Turnover by D. Howard (offensive foul),,15,18
62,1,3:32.0,,Toronto full timeout,15,18
63,1,3:32.0,,P. Siakam enters the game for S. Ibaka,15,18
64,1,3:32.0,,J. Poeltl enters the game for J. Valančiūnas,15,18
65,1,3:24.0,,Offensive foul by J. Poeltl (drawn by K. Walker),15,18
66,1,3:24.0,,Turnover by J. Poeltl (offensive foul),15,18
67,1,3:13.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,17,18
68,1,2:56.0,,Shooting foul by J. Lamb (drawn by C. Miles),17,18
69,1,2:56.0,,C. Miles makes free throw 1 of 2,17,19
70,1,2:56.0,C. Zeller enters the game for D. Howard,,17,19
71,1,2:56.0,,C. Miles makes free throw 2 of 2,17,20
72,1,2:42.0,C. Zeller misses 2-pt jump shot from 8 ft,,17,20
73,1,2:38.0,,Defensive rebound by K. Lowry,17,20
74,1,2:34.0,,K. Lowry misses 3-pt jump shot from 25 ft,17,20
75,1,2:34.0,Defensive rebound by N. Batum,,17,20
