,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,J. Henson makes 2-pt dunk from 1 ft (assist by E. Bledsoe),0,2
1,1,11:19.0,A. Davis misses 2-pt jump shot from 15 ft,,0,2
2,1,11:17.0,,Defensive rebound by K. Middleton,0,2
3,1,11:10.0,,T. Snell makes 2-pt jump shot from 19 ft,0,4
4,1,10:48.0,E. Moore makes 3-pt jump shot from 27 ft (assist by A. Davis),,3,4
5,1,10:20.0,,J. Henson misses 2-pt hook shot from 2 ft,3,4
6,1,10:18.0,Defensive rebound by E. Okafor,,3,4
7,1,10:13.0,A. Davis misses 2-pt jump shot from 15 ft,,3,4
8,1,10:11.0,,Defensive rebound by J. Henson,3,4
9,1,9:58.0,,K. Middleton misses 3-pt jump shot from 22 ft,3,4
10,1,9:58.0,,Offensive rebound by Team,3,4
11,1,9:50.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,3,4
12,1,9:47.0,Defensive rebound by E. Okafor,,3,4
13,1,9:39.0,R. Rondo misses 3-pt jump shot from 23 ft,,3,4
14,1,9:36.0,Offensive rebound by E. Okafor,,3,4
15,1,9:34.0,E. Okafor misses 2-pt layup from 1 ft (block by J. Henson),,3,4
16,1,9:34.0,,Defensive rebound by K. Middleton,3,4
17,1,9:23.0,,T. Snell misses 3-pt jump shot from 23 ft,3,4
18,1,9:20.0,Defensive rebound by A. Davis,,3,4
19,1,9:03.0,R. Rondo makes 2-pt hook shot from 3 ft,,5,4
20,1,8:50.0,,Turnover by T. Snell (bad pass; steal by J. Holiday),5,4
21,1,8:45.0,A. Davis makes 2-pt dunk from 1 ft (assist by R. Rondo),,7,4
22,1,8:31.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,4
23,1,8:29.0,Defensive rebound by E. Okafor,,7,4
24,1,8:26.0,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),,9,4
25,1,8:11.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,9,4
26,1,8:08.0,Defensive rebound by R. Rondo,,9,4
27,1,8:00.0,E. Moore misses 3-pt jump shot from 24 ft,,9,4
28,1,7:58.0,,Defensive rebound by E. Bledsoe,9,4
29,1,7:52.0,,J. Henson makes 2-pt hook shot from 2 ft (assist by T. Snell),9,6
30,1,7:52.0,,Shooting foul by E. Okafor (drawn by J. Henson),9,6
31,1,7:52.0,,J. Henson makes free throw 1 of 1,9,7
32,1,7:37.0,J. Holiday misses 2-pt jump shot from 16 ft,,9,7
33,1,7:34.0,,Defensive rebound by G. Antetokounmpo,9,7
34,1,7:29.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,9,9
35,1,7:17.0,A. Davis misses 2-pt jump shot from 14 ft,,9,9
36,1,7:13.0,,Defensive rebound by K. Middleton,9,9
37,1,7:06.0,,K. Middleton misses 2-pt jump shot from 15 ft,9,9
38,1,7:03.0,Defensive rebound by R. Rondo,,9,9
39,1,6:59.0,R. Rondo makes 2-pt jump shot from 11 ft,,11,9
40,1,6:44.0,,Shooting foul by E. Moore (drawn by E. Bledsoe),11,9
41,1,6:44.0,,Milwaukee full timeout,11,9
42,1,6:44.0,,E. Bledsoe makes free throw 1 of 2,11,10
43,1,6:44.0,,E. Bledsoe makes free throw 2 of 2,11,11
44,1,6:38.0,Personal foul by K. Middleton (drawn by A. Davis),,11,11
45,1,6:32.0,Turnover by R. Rondo (bad pass; steal by T. Snell),,11,11
46,1,6:28.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),11,13
47,1,6:18.0,E. Moore misses 3-pt jump shot from 23 ft,,11,13
48,1,6:18.0,,Defensive rebound by E. Bledsoe,11,13
49,1,6:07.0,,K. Middleton makes 2-pt jump shot from 17 ft,11,15
50,1,5:58.0,J. Holiday misses 2-pt layup from 2 ft,,11,15
51,1,5:56.0,,Defensive rebound by E. Bledsoe,11,15
52,1,5:52.0,,E. Bledsoe makes 3-pt jump shot from 28 ft,11,18
53,1,5:40.0,Personal foul by K. Middleton (drawn by E. Okafor),,11,18
54,1,5:40.0,,S. Brown enters the game for K. Middleton,11,18
55,1,5:40.0,,J. Parker enters the game for G. Antetokounmpo,11,18
56,1,5:40.0,N. Mirotić enters the game for E. Okafor,,11,18
57,1,5:40.0,D. Miller enters the game for R. Rondo,,11,18
58,1,5:30.0,A. Davis misses 2-pt layup from 1 ft (block by J. Henson),,11,18
59,1,5:30.0,Offensive rebound by A. Davis,,11,18
60,1,5:27.0,A. Davis misses 2-pt layup from 1 ft,,11,18
61,1,5:27.0,,Defensive rebound by J. Henson,11,18
62,1,5:21.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,11,18
63,1,5:19.0,Defensive rebound by J. Holiday,,11,18
64,1,5:12.0,J. Holiday makes 2-pt layup at rim,,13,18
65,1,5:00.0,,Turnover by T. Snell (bad pass),13,18
66,1,4:50.0,N. Mirotić misses 3-pt jump shot from 25 ft,,13,18
67,1,4:47.0,Offensive rebound by J. Holiday,,13,18
68,1,4:44.0,A. Davis makes 2-pt layup at rim (assist by J. Holiday),,15,18
69,1,4:24.0,,Turnover by T. Snell (bad pass; steal by E. Moore),15,18
70,1,4:24.0,Personal foul by J. Henson (drawn by J. Holiday),,15,18
71,1,4:16.0,J. Holiday misses 2-pt jump shot from 12 ft,,15,18
72,1,4:14.0,,Defensive rebound by E. Bledsoe,15,18
73,1,4:11.0,,E. Bledsoe makes 2-pt layup from 1 ft,15,20
74,1,3:59.0,A. Davis makes 2-pt jump shot from 14 ft,,17,20
75,1,3:46.0,,E. Bledsoe misses 2-pt layup from 3 ft,17,20
76,1,3:41.0,,Offensive rebound by E. Bledsoe,17,20
77,1,3:41.0,,E. Bledsoe misses 2-pt layup at rim,17,20
78,1,3:39.0,Defensive rebound by N. Mirotić,,17,20
79,1,3:38.0,A. Davis misses 3-pt jump shot from 25 ft,,17,20
80,1,3:35.0,,Defensive rebound by J. Henson,17,20
81,1,3:25.0,,T. Snell misses 2-pt layup from 3 ft,17,20
82,1,3:21.0,,Offensive rebound by J. Henson,17,20
83,1,3:21.0,,J. Henson makes 2-pt layup at rim,17,22
84,1,3:01.0,E. Moore misses 3-pt jump shot from 26 ft,,17,22
85,1,3:01.0,,Defensive rebound by Team,17,22
86,1,3:01.0,,T. Maker enters the game for J. Henson,17,22
87,1,3:01.0,I. Clark enters the game for E. Moore,,17,22
88,1,2:48.0,,J. Parker misses 2-pt jump shot from 12 ft,17,22
89,1,2:46.0,Defensive rebound by A. Davis,,17,22
90,1,2:39.0,J. Holiday misses 2-pt layup at rim,,17,22
91,1,2:36.0,,Defensive rebound by S. Brown,17,22
92,1,2:23.0,,Turnover by T. Snell (lost ball; steal by A. Davis),17,22
93,1,2:18.0,Turnover by A. Davis (bad pass; steal by E. Bledsoe),,17,22
94,1,2:12.0,,T. Snell misses 2-pt layup from 2 ft (block by J. Holiday),17,22
95,1,2:08.0,,Offensive rebound by T. Maker,17,22
96,1,2:08.0,,T. Maker makes 2-pt layup at rim,17,24
97,1,2:06.0,N. Mirotić misses 3-pt jump shot from 26 ft,,17,24
98,1,2:06.0,,Defensive rebound by J. Parker,17,24
99,1,1:57.0,,J. Parker makes 2-pt layup at rim,17,26
100,1,1:52.0,New Orleans full timeout,,17,26
101,1,1:52.0,,J. Terry enters the game for T. Snell,17,26
102,1,1:52.0,C. Diallo enters the game for J. Holiday,,17,26
103,1,1:52.0,R. Rondo enters the game for A. Davis,,17,26
104,1,1:25.0,N. Mirotić makes 2-pt layup from 2 ft,,19,26
105,1,1:08.0,,J. Parker makes 2-pt layup from 1 ft (assist by T. Maker),19,28
106,1,1:02.0,Turnover by C. Diallo (bad pass; steal by S. Brown),,19,28
107,1,0:59.0,,S. Brown makes 2-pt jump shot from 13 ft,19,30
108,1,0:50.0,Turnover by R. Rondo (bad pass; steal by J. Parker),,19,30
109,1,0:45.0,,S. Brown makes 2-pt layup at rim (assist by J. Parker),19,32
110,1,0:36.0,Shooting foul by J. Parker (drawn by N. Mirotić),,19,32
111,1,0:36.0,N. Mirotić makes free throw 1 of 2,,20,32
112,1,0:36.0,,G. Antetokounmpo enters the game for E. Bledsoe,20,32
113,1,0:36.0,N. Mirotić makes free throw 2 of 2,,21,32
114,1,0:26.0,,T. Maker misses 3-pt jump shot from 25 ft,21,32
115,1,0:23.0,Defensive rebound by R. Rondo,,21,32
116,1,0:06.0,Turnover by R. Rondo (bad pass; steal by G. Antetokounmpo),,21,32
117,1,0:01.0,,J. Terry misses 3-pt jump shot from 22 ft,21,32
118,1,0:01.0,,Offensive rebound by J. Parker,21,32
119,1,0:00.0,,J. Parker misses 2-pt jump shot from 13 ft,21,32
120,1,0:00.0,,Offensive rebound by T. Maker,21,32
121,1,0:00.0,,T. Maker misses 2-pt layup from 1 ft,21,32
122,1,0:00.0,,Offensive rebound by Team,21,32
123,2,11:47.0,,Violation by T. Maker (kicked ball),21,32
124,2,11:38.0,D. Miller makes 3-pt jump shot from 27 ft,,24,32
125,2,11:25.0,,Personal foul by N. Mirotić (drawn by G. Antetokounmpo),24,32
126,2,11:20.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by T. Maker),24,34
127,2,11:08.0,C. Diallo misses 2-pt layup from 1 ft (block by S. Brown),,24,34
128,2,11:04.0,Offensive rebound by R. Rondo,,24,34
129,2,11:01.0,I. Clark makes 2-pt layup from 2 ft (assist by R. Rondo),,26,34
130,2,11:01.0,Shooting foul by J. Terry (drawn by I. Clark),,26,34
131,2,11:01.0,I. Clark makes free throw 1 of 1,,27,34
132,2,10:40.0,,J. Parker makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),27,37
133,2,10:23.0,Turnover by N. Mirotić (bad pass; steal by S. Brown),,27,37
134,2,10:22.0,,Personal foul by R. Rondo (drawn by S. Brown),27,37
135,2,10:18.0,,J. Parker misses 3-pt jump shot from 27 ft,27,37
136,2,10:15.0,Defensive rebound by R. Rondo,,27,37
137,2,10:12.0,Personal foul by S. Brown (drawn by R. Rondo),,27,37
138,2,10:01.0,N. Mirotić misses 2-pt jump shot from 13 ft,,27,37
139,2,9:58.0,,Defensive rebound by S. Brown,27,37
140,2,9:51.0,,Shooting foul by C. Diallo (drawn by T. Maker),27,37
141,2,9:51.0,,T. Maker makes free throw 1 of 2,27,38
142,2,9:51.0,,T. Maker makes free throw 2 of 2,27,39
143,2,9:41.0,C. Diallo makes 2-pt dunk at rim (assist by N. Mirotić),,29,39
144,2,9:14.0,,G. Antetokounmpo makes 2-pt layup at rim,29,41
145,2,8:58.0,R. Rondo misses 2-pt jump shot from 3 ft,,29,41
146,2,8:56.0,,Defensive rebound by S. Brown,29,41
147,2,8:49.0,,J. Parker misses 2-pt dunk from 1 ft,29,41
148,2,8:49.0,Defensive rebound by D. Miller,,29,41
149,2,8:43.0,I. Clark misses 3-pt jump shot from 23 ft,,29,41
150,2,8:43.0,,Defensive rebound by J. Terry,29,41
151,2,8:42.0,,Personal foul by R. Rondo (drawn by J. Terry),29,41
152,2,8:42.0,A. Davis enters the game for C. Diallo,,29,41
153,2,8:29.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,29,41
154,2,8:26.0,Defensive rebound by A. Davis,,29,41
155,2,8:22.0,Offensive foul by N. Mirotić (drawn by S. Brown),,29,41
156,2,8:22.0,Turnover by N. Mirotić (offensive foul),,29,41
157,2,8:22.0,J. Holiday enters the game for R. Rondo,,29,41
158,2,8:06.0,,J. Terry misses 2-pt jump shot from 16 ft,29,41
159,2,8:03.0,Defensive rebound by N. Mirotić,,29,41
