,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,L. Aldridge misses 2-pt jump shot from 14 ft,0,0
1,1,11:37.0,,Offensive rebound by K. Anderson,0,0
2,1,11:37.0,,K. Anderson makes 2-pt layup at rim,0,2
3,1,11:24.0,E. Freedom misses 2-pt hook shot from 6 ft,,0,2
4,1,11:21.0,,Defensive rebound by K. Anderson,0,2
5,1,11:14.0,,L. Aldridge makes 2-pt dunk at rim (assist by P. Gasol),0,4
6,1,10:59.0,Turnover by C. Lee (step out of bounds),,0,4
7,1,10:44.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Green),0,6
8,1,10:26.0,K. Porziņģis misses 2-pt hook shot from 7 ft,,0,6
9,1,10:24.0,,Defensive rebound by P. Gasol,0,6
10,1,10:06.0,,T. Parker makes 2-pt jump shot from 16 ft (assist by P. Gasol),0,8
11,1,9:55.0,J. Jack misses 2-pt jump shot from 18 ft,,0,8
12,1,9:51.0,,Defensive rebound by K. Anderson,0,8
13,1,9:30.0,,P. Gasol misses 2-pt jump shot from 8 ft (block by L. Thomas),0,8
14,1,9:30.0,Defensive rebound by Team,,0,8
15,1,9:22.0,C. Lee misses 2-pt jump shot from 10 ft,,0,8
16,1,9:17.0,Offensive rebound by E. Freedom,,0,8
17,1,9:17.0,E. Freedom makes 2-pt layup at rim,,2,8
18,1,9:08.0,,T. Parker makes 2-pt jump shot from 18 ft,2,10
19,1,8:49.0,Shooting foul by P. Gasol (drawn by E. Freedom),,2,10
20,1,8:49.0,E. Freedom makes free throw 1 of 2,,3,10
21,1,8:49.0,E. Freedom makes free throw 2 of 2,,4,10
22,1,8:34.0,,T. Parker misses 2-pt jump shot from 20 ft,4,10
23,1,8:30.0,Defensive rebound by K. Porziņģis,,4,10
24,1,8:20.0,J. Jack misses 2-pt jump shot from 18 ft,,4,10
25,1,8:17.0,Offensive rebound by L. Thomas,,4,10
26,1,8:15.0,C. Lee makes 3-pt jump shot from 24 ft (assist by L. Thomas),,7,10
27,1,8:05.0,,Personal foul by C. Lee (drawn by L. Aldridge),7,10
28,1,7:51.0,,L. Aldridge misses 3-pt jump shot from 25 ft (block by K. Porziņģis),7,10
29,1,7:48.0,Defensive rebound by E. Freedom,,7,10
30,1,7:44.0,E. Freedom makes 2-pt layup from 1 ft (assist by C. Lee),,9,10
31,1,7:38.0,,San Antonio full timeout,9,10
32,1,7:26.0,,D. Green misses 3-pt jump shot from 25 ft,9,10
33,1,7:23.0,,Offensive rebound by P. Gasol,9,10
34,1,7:23.0,,P. Gasol makes 2-pt jump shot from 8 ft,9,12
35,1,7:23.0,,Shooting foul by E. Freedom (drawn by P. Gasol),9,12
36,1,7:23.0,,P. Gasol makes free throw 1 of 1,9,13
