,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
0,1,11:57.0,,R. Hollis-Jefferson misses 2-pt layup at rim,0,0
1,1,11:56.0,,Offensive rebound by R. Hollis-Jefferson,0,0
2,1,11:49.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,0,0
3,1,11:47.0,,Offensive rebound by Team,0,0
4,1,11:42.0,,A. Crabbe misses 2-pt jump shot from 12 ft,0,0
5,1,11:38.0,Defensive rebound by S. Adams,,0,0
6,1,11:25.0,R. Westbrook misses 2-pt jump shot from 21 ft,,0,0
7,1,11:23.0,,Defensive rebound by D. Carroll,0,0
8,1,11:15.0,,Turnover by A. Crabbe (step out of bounds),0,0
9,1,11:01.0,C. Anthony misses 2-pt jump shot from 17 ft,,0,0
10,1,10:57.0,,Defensive rebound by D. Carroll,0,0
11,1,10:45.0,,Shooting foul by Á. Abrines (drawn by D. Carroll),0,0
12,1,10:45.0,,D. Carroll misses free throw 1 of 2,0,0
13,1,10:45.0,,Offensive rebound by Team,0,0
14,1,10:45.0,,D. Carroll makes free throw 2 of 2,0,1
15,1,10:28.0,S. Adams makes 2-pt hook shot from 5 ft (assist by Á. Abrines),,2,1
16,1,10:13.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,2,1
17,1,10:11.0,Defensive rebound by A. Roberson,,2,1
18,1,10:01.0,Turnover by S. Adams (out of bounds lost ball),,2,1
19,1,9:51.0,,D. Carroll misses 3-pt jump shot from 24 ft,2,1
20,1,9:50.0,Defensive rebound by R. Westbrook,,2,1
21,1,9:45.0,Shooting foul by S. Dinwiddie (drawn by R. Westbrook),,2,1
22,1,9:45.0,,Technical foul by S. Dinwiddie,2,1
23,1,9:45.0,R. Westbrook makes technical free throw,,3,1
24,1,9:45.0,R. Westbrook makes free throw 1 of 2,,4,1
25,1,9:45.0,R. Westbrook makes free throw 2 of 2,,5,1
26,1,9:21.0,,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,5,1
27,1,9:19.0,Defensive rebound by R. Westbrook,,5,1
28,1,9:15.0,C. Anthony misses 3-pt jump shot from 25 ft,,5,1
29,1,9:12.0,,Defensive rebound by A. Crabbe,5,1
30,1,9:06.0,,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by S. Dinwiddie),5,3
31,1,8:38.0,Á. Abrines misses 3-pt jump shot from 26 ft,,5,3
32,1,8:35.0,Offensive rebound by S. Adams,,5,3
33,1,8:30.0,,Offensive charge foul by R. Westbrook (drawn by T. Zeller),5,3
34,1,8:30.0,Turnover by R. Westbrook (offensive foul),,5,3
35,1,8:12.0,,A. Crabbe misses 3-pt jump shot from 23 ft,5,3
36,1,8:08.0,Defensive rebound by A. Roberson,,5,3
37,1,8:02.0,Shooting foul by S. Dinwiddie (drawn by R. Westbrook),,5,3
38,1,8:02.0,R. Westbrook misses free throw 1 of 2,,5,3
39,1,8:02.0,Offensive rebound by Team,,5,3
40,1,8:02.0,,C. LeVert enters the game for S. Dinwiddie,5,3
41,1,8:02.0,R. Westbrook makes free throw 2 of 2,,6,3
42,1,7:56.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft,6,5
43,1,7:56.0,,Shooting foul by C. Anthony (drawn by R. Hollis-Jefferson),6,5
44,1,7:56.0,,R. Hollis-Jefferson misses free throw 1 of 1,6,5
45,1,7:54.0,Defensive rebound by R. Westbrook,,6,5
46,1,7:49.0,C. Anthony misses 2-pt jump shot from 9 ft,,6,5
47,1,7:49.0,Offensive rebound by Team,,6,5
48,1,7:39.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by A. Roberson),,8,5
49,1,7:24.0,,C. LeVert misses 3-pt jump shot from 24 ft,8,5
50,1,7:22.0,Defensive rebound by S. Adams,,8,5
51,1,7:12.0,R. Westbrook misses 2-pt jump shot from 17 ft,,8,5
52,1,7:10.0,,Defensive rebound by D. Carroll,8,5
53,1,6:52.0,,T. Zeller makes 2-pt layup from 1 ft (assist by C. LeVert),8,7
54,1,6:42.0,R. Westbrook misses 2-pt layup from 1 ft (block by T. Zeller),,8,7
55,1,6:41.0,Offensive rebound by Team,,8,7
56,1,6:41.0,,Brooklyn full timeout,8,7
57,1,6:41.0,,J. Allen enters the game for A. Crabbe,8,7
58,1,6:41.0,,J. Harris enters the game for T. Zeller,8,7
59,1,6:30.0,R. Westbrook misses 3-pt jump shot from 25 ft,,8,7
60,1,6:27.0,Offensive rebound by A. Roberson,,8,7
61,1,6:26.0,C. Anthony misses 3-pt jump shot from 25 ft,,8,7
62,1,6:24.0,Offensive rebound by C. Anthony,,8,7
63,1,6:23.0,C. Anthony misses 2-pt jump shot from 19 ft,,8,7
64,1,6:20.0,,Defensive rebound by J. Allen,8,7
65,1,6:03.0,,D. Carroll misses 2-pt jump shot from 19 ft,8,7
66,1,6:00.0,Defensive rebound by R. Westbrook,,8,7
67,1,5:56.0,R. Westbrook makes 2-pt layup at rim,,10,7
68,1,5:54.0,,Brooklyn full timeout,10,7
69,1,5:54.0,,Q. Acy enters the game for R. Hollis-Jefferson,10,7
70,1,5:49.0,,Turnover by J. Harris (bad pass),10,7
71,1,5:36.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,12,7
72,1,5:20.0,,D. Carroll misses 3-pt jump shot from 24 ft,12,7
73,1,5:15.0,Defensive rebound by S. Adams,,12,7
74,1,5:08.0,C. Anthony misses 2-pt jump shot from 18 ft (block by D. Carroll),,12,7
75,1,5:08.0,Offensive rebound by Á. Abrines,,12,7
76,1,5:08.0,Personal foul by J. Harris (drawn by Á. Abrines),,12,7
77,1,5:08.0,P. Patterson enters the game for C. Anthony,,12,7
78,1,5:02.0,R. Westbrook makes 2-pt jump shot from 12 ft,,14,7
79,1,4:49.0,,Shooting block foul by R. Westbrook (drawn by Q. Acy),14,7
80,1,4:49.0,,Q. Acy makes free throw 1 of 2,14,8
81,1,4:49.0,,Q. Acy makes free throw 2 of 2,14,9
82,1,4:38.0,S. Adams makes 2-pt dunk at rim (assist by Á. Abrines),,16,9
83,1,4:19.0,,C. LeVert misses 2-pt layup from 1 ft (block by A. Roberson),16,9
84,1,4:17.0,Defensive rebound by A. Roberson,,16,9
85,1,4:12.0,Á. Abrines makes 3-pt jump shot from 21 ft (assist by P. Patterson),,19,9
86,1,3:54.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by C. LeVert),19,12
87,1,3:40.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,21,12
88,1,3:40.0,Shooting foul by J. Allen (drawn by A. Roberson),,21,12
89,1,3:40.0,,S. Dinwiddie enters the game for D. Carroll,21,12
90,1,3:40.0,R. Felton enters the game for R. Westbrook,,21,12
91,1,3:40.0,A. Roberson makes free throw 1 of 1,,22,12
92,1,3:27.0,,C. LeVert makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),22,15
93,1,3:05.0,,Offensive charge foul by A. Roberson (drawn by C. LeVert),22,15
94,1,3:05.0,Turnover by A. Roberson (offensive foul),,22,15
95,1,3:05.0,K. Singler enters the game for S. Adams,,22,15
96,1,3:05.0,C. Anthony enters the game for A. Roberson,,22,15
97,1,2:52.0,,Q. Acy misses 2-pt dunk at rim,22,15
98,1,2:50.0,Defensive rebound by K. Singler,,22,15
99,1,2:43.0,P. Patterson makes 2-pt layup at rim (assist by R. Felton),,24,15
100,1,2:33.0,,Q. Acy misses 3-pt jump shot from 24 ft,24,15
101,1,2:33.0,Defensive rebound by Á. Abrines,,24,15
102,1,2:27.0,Personal foul by Q. Acy (drawn by C. Anthony),,24,15
103,1,2:27.0,C. Anthony misses free throw 1 of 2,,24,15
104,1,2:27.0,Offensive rebound by Team,,24,15
105,1,2:27.0,T. Ferguson enters the game for Á. Abrines,,24,15
106,1,2:27.0,C. Anthony makes free throw 2 of 2,,25,15
107,1,2:12.0,,Personal foul by K. Singler (drawn by Q. Acy),25,15
108,1,2:06.0,,Offensive foul by S. Dinwiddie (drawn by R. Felton),25,15
109,1,2:06.0,,Turnover by S. Dinwiddie (offensive foul),25,15
110,1,2:06.0,,A. Crabbe enters the game for S. Dinwiddie,25,15
111,1,1:46.0,K. Singler makes 3-pt jump shot from 24 ft (assist by C. Anthony),,28,15
112,1,1:30.0,,Turnover by A. Crabbe (bad pass; steal by T. Ferguson),28,15
113,1,1:24.0,R. Felton misses 2-pt jump shot from 16 ft,,28,15
114,1,1:21.0,,Defensive rebound by C. LeVert,28,15
115,1,1:15.0,,Turnover by A. Crabbe (bad pass; steal by P. Patterson),28,15
116,1,0:58.0,T. Ferguson makes 2-pt jump shot from 23 ft,,30,15
117,1,0:42.0,,Shooting block foul by T. Ferguson (drawn by J. Harris),30,15
118,1,0:42.0,,J. Harris makes free throw 1 of 2,30,16
119,1,0:42.0,,J. Harris makes free throw 2 of 2,30,17
120,1,0:35.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by R. Felton),,33,17
