,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:44.0,Turnover by N. Batum (traveling),,0,0
1,1,11:20.0,,D. Collison makes 3-pt jump shot from 25 ft,0,3
2,1,11:06.0,K. Walker misses 3-pt jump shot from 23 ft,,0,3
3,1,11:03.0,,Defensive rebound by L. Stephenson,0,3
4,1,10:59.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by L. Stephenson),0,6
5,1,10:46.0,N. Batum makes 3-pt jump shot from 26 ft (assist by K. Walker),,3,6
6,1,10:28.0,,L. Stephenson makes 2-pt jump shot from 14 ft,3,8
7,1,10:09.0,D. Howard makes 2-pt jump shot from 19 ft (assist by K. Walker),,5,8
8,1,9:44.0,,T. Booker misses 2-pt jump shot from 11 ft,5,8
9,1,9:40.0,Defensive rebound by D. Howard,,5,8
10,1,9:31.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,5,8
11,1,9:28.0,,Defensive rebound by G. Robinson,5,8
12,1,9:25.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by D. Collison),5,11
13,1,9:10.0,D. Howard misses 2-pt layup from 1 ft,,5,11
14,1,9:08.0,Offensive rebound by N. Batum,,5,11
15,1,9:06.0,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),,7,11
16,1,8:49.0,,T. Booker misses 3-pt jump shot from 27 ft,7,11
17,1,8:47.0,Defensive rebound by D. Howard,,7,11
18,1,8:41.0,M. Williams makes 3-pt jump shot from 27 ft (assist by N. Batum),,10,11
19,1,8:26.0,,T. Booker makes 2-pt jump shot from 9 ft (assist by L. Stephenson),10,13
20,1,8:13.0,M. Williams misses 3-pt jump shot from 23 ft,,10,13
21,1,8:09.0,,Defensive rebound by L. Stephenson,10,13
22,1,8:03.0,,L. Stephenson misses 3-pt jump shot from 27 ft,10,13
23,1,8:01.0,,Offensive rebound by T. Booker,10,13
24,1,7:59.0,,T. Booker misses 2-pt layup at rim (block by M. Williams),10,13
25,1,7:59.0,,Offensive rebound by T. Booker,10,13
26,1,7:54.0,,M. Turner misses 3-pt jump shot from 27 ft,10,13
27,1,7:51.0,Defensive rebound by M. Williams,,10,13
28,1,7:45.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,13,13
29,1,7:19.0,,D. Collison misses 3-pt jump shot from 24 ft,13,13
30,1,7:16.0,Defensive rebound by N. Batum,,13,13
31,1,7:12.0,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),,15,13
32,1,6:45.0,,M. Turner misses 2-pt jump shot from 12 ft,15,13
33,1,6:42.0,Defensive rebound by D. Howard,,15,13
34,1,6:40.0,,Violation by D. Collison (kicked ball),15,13
