,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:39.0,R. Covington makes 2-pt jump shot from 9 ft (assist by J. Embiid),,2,0
1,1,11:18.0,,L. Ball misses 3-pt jump shot from 24 ft,2,0
2,1,11:16.0,Defensive rebound by J. Embiid,,2,0
3,1,11:07.0,J. Embiid makes 2-pt jump shot from 14 ft,,4,0
4,1,10:54.0,,B. Ingram makes 2-pt layup from 1 ft,4,2
5,1,10:37.0,D. Šarić misses 3-pt jump shot from 23 ft,,4,2
6,1,10:34.0,,Defensive rebound by B. Ingram,4,2
7,1,10:29.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,4,2
8,1,10:27.0,Defensive rebound by D. Šarić,,4,2
9,1,10:22.0,J. Redick misses 3-pt jump shot from 23 ft,,4,2
10,1,10:22.0,,Defensive rebound by L. Ball,4,2
11,1,10:16.0,,Turnover by L. Ball (lost ball; steal by B. Simmons),4,2
12,1,10:10.0,R. Covington misses 3-pt jump shot from 25 ft,,4,2
13,1,10:08.0,,Defensive rebound by L. Ball,4,2
14,1,10:01.0,,B. Ingram misses 2-pt jump shot from 15 ft,4,2
15,1,10:01.0,Defensive rebound by B. Simmons,,4,2
16,1,9:56.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,7,2
17,1,9:41.0,,B. Lopez misses 3-pt jump shot from 22 ft,7,2
18,1,9:41.0,,Offensive rebound by L. Ball,7,2
19,1,9:35.0,,K. Kuzma misses 3-pt jump shot from 24 ft,7,2
20,1,9:35.0,Defensive rebound by J. Redick,,7,2
21,1,9:28.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),,9,2
22,1,9:20.0,,K. Kuzma makes 2-pt layup at rim (assist by L. Ball),9,4
23,1,9:06.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,12,4
24,1,8:54.0,,B. Lopez misses 2-pt jump shot from 11 ft,12,4
25,1,8:54.0,Defensive rebound by D. Šarić,,12,4
26,1,8:34.0,Personal foul by K. Kuzma (drawn by J. Embiid),,12,4
27,1,8:26.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),,14,4
28,1,8:10.0,,B. Ingram makes 2-pt layup from 1 ft,14,6
29,1,8:10.0,,Shooting foul by R. Covington (drawn by B. Ingram),14,6
30,1,8:10.0,,B. Ingram makes free throw 1 of 1,14,7
31,1,7:58.0,J. Embiid misses 2-pt jump shot from 14 ft,,14,7
32,1,7:53.0,Offensive rebound by D. Šarić,,14,7
33,1,7:52.0,D. Šarić makes 2-pt layup from 1 ft,,16,7
34,1,7:40.0,,B. Lopez misses 3-pt jump shot from 25 ft,16,7
35,1,7:37.0,Defensive rebound by R. Covington,,16,7
36,1,7:27.0,R. Covington makes 2-pt layup from 1 ft (assist by J. Embiid),,18,7
37,1,7:27.0,,LA Lakers full timeout,18,7
38,1,7:27.0,T. McConnell enters the game for D. Šarić,,18,7
39,1,7:27.0,A. Johnson enters the game for J. Embiid,,18,7
40,1,7:12.0,,Turnover by K. Kuzma (bad pass; steal by B. Simmons),18,7
41,1,7:11.0,Personal foul by B. Ingram (drawn by J. Redick),,18,7
42,1,7:00.0,J. Redick makes 2-pt jump shot from 21 ft (assist by R. Covington),,20,7
43,1,6:45.0,,B. Lopez makes 2-pt jump shot from 5 ft,20,9
44,1,6:32.0,T. McConnell makes 2-pt layup at rim,,22,9
45,1,6:21.0,,B. Lopez misses 3-pt jump shot from 25 ft,22,9
46,1,6:16.0,,Offensive rebound by L. Ball,22,9
47,1,6:11.0,,B. Ingram misses 2-pt layup from 6 ft (block by R. Covington),22,9
48,1,6:08.0,Defensive rebound by J. Redick,,22,9
49,1,6:07.0,J. Redick misses 3-pt jump shot from 25 ft,,22,9
50,1,6:07.0,,Defensive rebound by B. Ingram,22,9
51,1,6:00.0,,K. Kuzma misses 2-pt layup from 1 ft,22,9
52,1,6:00.0,,Offensive rebound by B. Ingram,22,9
53,1,6:00.0,,Shooting foul by A. Johnson (drawn by B. Ingram),22,9
54,1,6:00.0,,B. Ingram makes free throw 1 of 2,22,10
55,1,6:00.0,T. Luwawu-Cabarrot enters the game for J. Redick,,22,10
56,1,6:00.0,,B. Ingram makes free throw 2 of 2,22,11
57,1,5:52.0,B. Simmons misses 2-pt dunk from 2 ft,,22,11
58,1,5:51.0,Offensive rebound by T. McConnell,,22,11
59,1,5:48.0,R. Covington misses 3-pt jump shot from 23 ft,,22,11
60,1,5:46.0,,Defensive rebound by K. Caldwell-Pope,22,11
61,1,5:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,22,11
62,1,5:38.0,Defensive rebound by T. McConnell,,22,11
63,1,5:35.0,R. Covington makes 2-pt dunk from 1 ft (assist by T. McConnell),,24,11
64,1,5:16.0,,B. Ingram misses 2-pt layup from 3 ft,24,11
65,1,5:10.0,,Offensive rebound by B. Ingram,24,11
66,1,5:10.0,,B. Ingram makes 2-pt layup at rim,24,13
67,1,5:07.0,Shooting foul by B. Lopez (drawn by B. Simmons),,24,13
68,1,5:07.0,B. Simmons misses free throw 1 of 2,,24,13
69,1,5:07.0,Offensive rebound by Team,,24,13
70,1,5:07.0,,J. Randle enters the game for K. Kuzma,24,13
71,1,5:07.0,,J. Clarkson enters the game for L. Ball,24,13
72,1,5:07.0,B. Simmons misses free throw 2 of 2,,24,13
73,1,5:04.0,,Defensive rebound by J. Randle,24,13
74,1,4:52.0,,Turnover by J. Randle (bad pass; steal by B. Simmons),24,13
75,1,4:43.0,Turnover by T. McConnell (bad pass),,24,13
76,1,4:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,24,13
77,1,4:18.0,Defensive rebound by R. Covington,,24,13
78,1,4:12.0,R. Covington misses 3-pt jump shot from 25 ft,,24,13
79,1,4:08.0,,Defensive rebound by K. Caldwell-Pope,24,13
80,1,4:02.0,Violation by B. Simmons (kicked ball),,24,13
81,1,4:02.0,,A. Bogut enters the game for B. Lopez,24,13
82,1,4:02.0,J. Redick enters the game for B. Simmons,,24,13
83,1,4:02.0,D. Šarić enters the game for R. Covington,,24,13
84,1,3:52.0,,J. Randle misses 2-pt dunk from 2 ft (block by A. Johnson),24,13
85,1,3:47.0,Defensive rebound by J. Redick,,24,13
86,1,3:41.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,24,13
87,1,3:41.0,,Defensive rebound by A. Bogut,24,13
88,1,3:27.0,,J. Clarkson misses 2-pt jump shot from 11 ft,24,13
89,1,3:27.0,,Offensive rebound by A. Bogut,24,13
90,1,3:22.0,,A. Bogut makes 2-pt dunk at rim,24,15
91,1,3:16.0,Turnover by T. McConnell (lost ball; steal by J. Randle),,24,15
92,1,3:13.0,,J. Randle makes 2-pt dunk at rim (assist by J. Clarkson),24,17
93,1,2:56.0,J. Redick misses 2-pt jump shot from 22 ft,,24,17
94,1,2:56.0,,Defensive rebound by J. Randle,24,17
95,1,2:36.0,,Turnover by J. Randle (bad pass; steal by T. McConnell),24,17
96,1,2:32.0,T. McConnell makes 2-pt jump shot at rim,,26,17
97,1,2:16.0,,B. Ingram makes 2-pt jump shot from 19 ft (assist by J. Clarkson),26,19
98,1,2:15.0,Philadelphia full timeout,,26,19
99,1,2:15.0,J. Embiid enters the game for A. Johnson,,26,19
100,1,2:06.0,Offensive foul by J. Redick (drawn by A. Bogut),,26,19
101,1,2:06.0,Turnover by J. Redick (offensive foul),,26,19
102,1,2:06.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,26,19
103,1,1:58.0,,Shooting foul by J. Redick (drawn by K. Caldwell-Pope),26,19
104,1,1:58.0,,K. Caldwell-Pope makes free throw 1 of 2,26,20
105,1,1:58.0,,K. Caldwell-Pope makes free throw 2 of 2,26,21
106,1,1:49.0,Personal foul by J. Randle (drawn by D. Šarić),,26,21
107,1,1:40.0,Turnover by J. Embiid (out of bounds lost ball),,26,21
108,1,1:29.0,,B. Ingram misses 2-pt jump shot from 20 ft,26,21
109,1,1:25.0,Defensive rebound by J. Embiid,,26,21
110,1,1:17.0,J. Embiid misses 2-pt layup from 2 ft (block by B. Ingram),,26,21
111,1,1:17.0,Offensive rebound by J. Embiid,,26,21
112,1,1:17.0,J. Embiid makes 2-pt layup from 2 ft,,28,21
113,1,1:17.0,Shooting foul by B. Ingram (drawn by J. Embiid),,28,21
114,1,1:17.0,,C. Brewer enters the game for B. Ingram,28,21
115,1,1:17.0,T. Luwawu-Cabarrot enters the game for J. Redick,,28,21
116,1,1:17.0,J. Embiid makes free throw 1 of 1,,29,21
117,1,1:07.0,,J. Clarkson misses 2-pt jump shot from 15 ft,29,21
118,1,1:04.0,Defensive rebound by T. McConnell,,29,21
119,1,0:57.0,D. Šarić misses 2-pt jump shot from 18 ft,,29,21
120,1,0:55.0,,Defensive rebound by K. Caldwell-Pope,29,21
121,1,0:46.0,,J. Clarkson misses 2-pt jump shot from 7 ft,29,21
122,1,0:45.0,,Offensive rebound by A. Bogut,29,21
123,1,0:45.0,,A. Bogut makes 2-pt dunk at rim,29,23
124,1,0:32.0,T. McConnell misses 2-pt layup from 3 ft (block by K. Caldwell-Pope),,29,23
125,1,0:29.0,,Defensive rebound by J. Clarkson,29,23
126,1,0:26.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by J. Clarkson),29,26
127,1,0:04.0,J. Anderson misses 2-pt jump shot from 18 ft,,29,26
