,QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,C. Anthony misses 2-pt jump shot from 12 ft,0,0
1,1,11:42.0,,Offensive rebound by S. Adams,0,0
2,1,11:40.0,,Turnover by S. Adams (out of bounds lost ball),0,0
3,1,11:30.0,V. Oladipo misses 2-pt jump shot from 23 ft,,0,0
4,1,11:28.0,Offensive rebound by D. Sabonis,,0,0
5,1,11:26.0,D. Collison makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,3,0
6,1,11:03.0,,A. Roberson misses 3-pt jump shot from 24 ft,3,0
7,1,11:00.0,Defensive rebound by D. Sabonis,,3,0
8,1,10:42.0,Turnover by D. Sabonis (lost ball; steal by R. Westbrook),,3,0
9,1,10:39.0,,A. Roberson makes 2-pt layup at rim (assist by R. Westbrook),3,2
10,1,10:31.0,V. Oladipo makes 2-pt layup from 1 ft,,5,2
11,1,10:21.0,,Shooting foul by D. Collison (drawn by R. Westbrook),5,2
12,1,10:21.0,,R. Westbrook misses free throw 1 of 2,5,2
13,1,10:21.0,,Offensive rebound by Team,5,2
14,1,10:21.0,,R. Westbrook makes free throw 2 of 2,5,3
15,1,10:05.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,5,3
16,1,10:03.0,,Defensive rebound by C. Anthony,5,3
17,1,9:46.0,,Turnover by C. Anthony (bad pass; steal by B. Bogdanović),5,3
18,1,9:42.0,B. Bogdanović misses 2-pt layup from 1 ft (block by C. Anthony),,5,3
19,1,9:42.0,Offensive rebound by Team,,5,3
20,1,9:38.0,Personal foul by P. George (drawn by B. Bogdanović),,5,3
21,1,9:27.0,Turnover by T. Young (lost ball; steal by S. Adams),,5,3
22,1,9:09.0,,Violation by S. Adams (def goaltending),5,3
23,1,9:06.0,D. Sabonis misses 2-pt jump shot from 18 ft,,5,3
24,1,9:04.0,,Defensive rebound by R. Westbrook,5,3
25,1,9:02.0,,Personal foul by D. Sabonis (drawn by S. Adams),5,3
26,1,8:54.0,,P. George makes 2-pt jump shot from 11 ft,5,5
27,1,8:38.0,D. Collison misses 2-pt jump shot from 12 ft,,5,5
