,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by A. Rivers),0,2
1,1,11:26.0,N. Vučević misses 2-pt jump shot from 17 ft,,0,2
2,1,11:24.0,,Defensive rebound by D. Jordan,0,2
3,1,11:16.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by S. Thornwell),0,5
4,1,10:56.0,N. Vučević misses 2-pt layup from 1 ft,,0,5
5,1,10:54.0,,Defensive rebound by T. Harris,0,5
6,1,10:50.0,,L. Williams makes 3-pt jump shot from 26 ft (assist by T. Harris),0,8
7,1,10:31.0,J. Isaac misses 3-pt jump shot from 25 ft,,0,8
8,1,10:29.0,,Defensive rebound by T. Harris,0,8
9,1,10:12.0,,Turnover by A. Rivers (bad pass; steal by J. Isaac),0,8
10,1,10:06.0,Turnover by D. Augustin (lost ball; steal by S. Thornwell),,0,8
11,1,9:54.0,,T. Harris makes 2-pt jump shot from 16 ft,0,10
12,1,9:37.0,J. Isaac makes 2-pt hook shot from 5 ft (assist by M. Hezonja),,2,10
13,1,9:14.0,,L. Williams misses 2-pt jump shot from 19 ft,2,10
14,1,9:11.0,Defensive rebound by M. Hezonja,,2,10
15,1,8:58.0,Turnover by N. Vučević (lost ball; steal by A. Rivers),,2,10
16,1,8:51.0,,L. Williams makes 2-pt layup from 1 ft,2,12
17,1,8:51.0,Orlando full timeout,,2,12
18,1,8:33.0,J. Simmons misses 2-pt hook shot from 9 ft,,2,12
19,1,8:32.0,Offensive rebound by M. Hezonja,,2,12
20,1,8:32.0,M. Hezonja misses 2-pt layup at rim,,2,12
21,1,8:31.0,Offensive rebound by M. Hezonja,,2,12
22,1,8:30.0,M. Hezonja makes 2-pt layup at rim,,4,12
23,1,8:05.0,,Shooting foul by J. Isaac (drawn by T. Harris),4,12
24,1,8:05.0,,T. Harris makes free throw 1 of 2,4,13
25,1,8:05.0,,T. Harris misses free throw 2 of 2,4,13
26,1,8:02.0,Defensive rebound by N. Vučević,,4,13
27,1,7:55.0,Personal foul by D. Jordan (drawn by D. Augustin),,4,13
28,1,7:51.0,Turnover by N. Vučević (bad pass; steal by S. Thornwell),,4,13
29,1,7:43.0,,A. Rivers misses 2-pt jump shot from 12 ft,4,13
30,1,7:42.0,,Offensive rebound by A. Rivers,4,13
31,1,7:40.0,,A. Rivers makes 2-pt jump shot from 4 ft,4,15
32,1,7:16.0,J. Isaac makes 3-pt jump shot from 22 ft (assist by J. Simmons),,7,15
33,1,7:05.0,,L. Williams makes 2-pt layup from 2 ft,7,17
34,1,6:50.0,J. Isaac makes 2-pt layup from 1 ft (assist by N. Vučević),,9,17
35,1,6:35.0,,T. Harris misses 2-pt jump shot from 16 ft,9,17
36,1,6:35.0,Defensive rebound by M. Hezonja,,9,17
37,1,6:28.0,N. Vučević misses 3-pt jump shot from 25 ft,,9,17
38,1,6:28.0,,Defensive rebound by T. Harris,9,17
39,1,6:14.0,,T. Harris misses 2-pt jump shot from 18 ft,9,17
40,1,6:12.0,Defensive rebound by N. Vučević,,9,17
41,1,6:09.0,J. Simmons makes 3-pt jump shot from 25 ft,,12,17
42,1,5:48.0,,A. Rivers makes 2-pt jump shot from 6 ft,12,19
43,1,5:21.0,N. Vučević makes 2-pt jump shot from 7 ft (assist by J. Simmons),,14,19
44,1,5:06.0,,T. Harris makes 2-pt dunk from 1 ft,14,21
45,1,4:51.0,W. Iwundu enters the game for J. Isaac,,14,21
46,1,4:50.0,Shooting foul by S. Thornwell (drawn by J. Simmons),,14,21
47,1,4:50.0,J. Simmons makes free throw 1 of 3,,15,21
48,1,4:50.0,J. Simmons makes free throw 2 of 3,,16,21
49,1,4:50.0,J. Simmons makes free throw 3 of 3,,17,21
