,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,,K. Anderson makes 2-pt jump shot from 10 ft (assist by L. Aldridge),0,2
1,1,11:18.0,T. Snell makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,3,2
2,1,11:05.0,,Turnover by D. Green (out of bounds lost ball),3,2
3,1,10:47.0,G. Antetokounmpo misses 2-pt jump shot from 9 ft,,3,2
4,1,10:45.0,Offensive rebound by J. Henson,,3,2
5,1,10:38.0,K. Middleton misses 2-pt jump shot from 4 ft,,3,2
6,1,10:31.0,Offensive rebound by G. Antetokounmpo,,3,2
7,1,10:31.0,G. Antetokounmpo makes 2-pt dunk at rim,,5,2
8,1,10:27.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Gasol),5,4
9,1,10:18.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,5,4
10,1,10:18.0,,Defensive rebound by P. Gasol,5,4
11,1,9:59.0,,D. Green misses 2-pt layup at rim,5,4
12,1,9:57.0,Defensive rebound by T. Snell,,5,4
13,1,9:49.0,E. Bledsoe makes 2-pt jump shot from 12 ft (assist by T. Snell),,7,4
14,1,9:28.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. Green),7,7
15,1,9:18.0,T. Snell misses 3-pt jump shot from 24 ft,,7,7
16,1,9:16.0,,Defensive rebound by L. Aldridge,7,7
17,1,9:04.0,,P. Gasol makes 3-pt jump shot from 24 ft (assist by L. Aldridge),7,10
18,1,8:45.0,G. Antetokounmpo misses 2-pt jump shot from 10 ft,,7,10
19,1,8:43.0,,Defensive rebound by P. Gasol,7,10
20,1,8:22.0,,K. Anderson makes 2-pt layup from 2 ft,7,12
21,1,8:10.0,J. Henson makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),,9,12
22,1,7:54.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by P. Mills),9,14
23,1,7:39.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,11,14
24,1,7:27.0,,Turnover by K. Anderson (traveling),11,14
25,1,7:27.0,M. Dellavedova enters the game for T. Snell,,11,14
26,1,7:07.0,J. Henson misses 2-pt layup from 2 ft (block by K. Anderson),,11,14
27,1,7:04.0,,Defensive rebound by D. Green,11,14
28,1,6:55.0,,Shooting foul by J. Henson (drawn by L. Aldridge),11,14
29,1,6:55.0,,San Antonio full timeout,11,14
30,1,6:55.0,M. Brogdon enters the game for E. Bledsoe,,11,14
31,1,6:55.0,,L. Aldridge makes free throw 1 of 2,11,15
32,1,6:55.0,,L. Aldridge makes free throw 2 of 2,11,16
33,1,6:29.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,11,16
34,1,6:26.0,,Defensive rebound by P. Gasol,11,16
35,1,6:13.0,,P. Gasol misses 2-pt hook shot from 9 ft,11,16
36,1,6:09.0,Defensive rebound by J. Henson,,11,16
37,1,6:04.0,Turnover by K. Middleton (lost ball; steal by L. Aldridge),,11,16
38,1,5:59.0,,D. Green misses 3-pt jump shot from 24 ft,11,16
39,1,5:50.0,,Offensive rebound by K. Anderson,11,16
40,1,5:50.0,,K. Anderson misses 2-pt layup at rim (block by J. Henson),11,16
41,1,5:49.0,,Offensive rebound by D. Green,11,16
42,1,5:47.0,,Turnover by D. Green (bad pass; steal by M. Brogdon),11,16
43,1,5:47.0,M. Brogdon misses 2-pt layup from 6 ft,,11,16
44,1,5:47.0,,Defensive rebound by Team,11,16
45,1,5:44.0,,Personal foul by K. Middleton (drawn by L. Aldridge),11,16
46,1,5:44.0,T. Maker enters the game for J. Henson,,11,16
47,1,5:33.0,,Turnover by K. Anderson (bad pass),11,16
48,1,5:19.0,T. Maker makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),,13,16
49,1,4:57.0,,L. Aldridge makes 2-pt hook shot from 4 ft,13,18
50,1,4:41.0,G. Antetokounmpo makes 2-pt jump shot from 15 ft,,15,18
51,1,4:25.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),15,20
52,1,4:14.0,M. Brogdon misses 3-pt jump shot from 25 ft,,15,20
53,1,4:14.0,,Defensive rebound by D. Green,15,20
54,1,4:02.0,,Shooting foul by T. Maker (drawn by P. Gasol),15,20
55,1,4:02.0,,P. Gasol makes free throw 1 of 2,15,21
56,1,4:02.0,,M. Ginóbili enters the game for P. Mills,15,21
57,1,4:02.0,,D. Murray enters the game for D. Green,15,21
58,1,4:02.0,,P. Gasol makes free throw 2 of 2,15,22
59,1,3:51.0,,R. Gay enters the game for P. Gasol,15,22
60,1,3:47.0,Turnover by G. Antetokounmpo (turnover; steal by M. Ginóbili),,15,22
61,1,3:35.0,,Turnover by R. Gay (bad pass; steal by M. Brogdon),15,22
62,1,3:29.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,17,22
63,1,3:09.0,,M. Ginóbili makes 2-pt layup from 1 ft (assist by L. Aldridge),17,24
64,1,2:48.0,M. Dellavedova makes 2-pt jump shot from 1 ft (assist by G. Antetokounmpo),,19,24
65,1,2:35.0,,Personal foul by M. Brogdon (drawn by M. Ginóbili),19,24
66,1,2:35.0,Milwaukee full timeout,,19,24
67,1,2:35.0,,B. Paul enters the game for K. Anderson,19,24
68,1,2:35.0,E. Bledsoe enters the game for K. Middleton,,19,24
69,1,2:25.0,,M. Ginóbili misses 2-pt jump shot from 7 ft,19,24
70,1,2:23.0,Defensive rebound by E. Bledsoe,,19,24
71,1,2:18.0,E. Bledsoe makes 2-pt layup at rim,,21,24
72,1,1:57.0,,R. Gay misses 2-pt layup from 1 ft (block by G. Antetokounmpo),21,24
73,1,1:54.0,Defensive rebound by E. Bledsoe,,21,24
74,1,1:51.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,23,24
75,1,1:43.0,,San Antonio full timeout,23,24
76,1,1:43.0,,P. Gasol enters the game for L. Aldridge,23,24
77,1,1:32.0,,D. Murray misses 2-pt jump shot from 17 ft,23,24
78,1,1:30.0,,Offensive rebound by P. Gasol,23,24
79,1,1:29.0,,Shooting foul by G. Antetokounmpo (drawn by P. Gasol),23,24
80,1,1:29.0,,P. Gasol makes free throw 1 of 2,23,25
81,1,1:29.0,,P. Gasol misses free throw 2 of 2,23,25
82,1,1:23.0,Defensive rebound by G. Antetokounmpo,,23,25
83,1,1:05.0,M. Dellavedova makes 2-pt jump shot from 23 ft,,25,25
84,1,0:40.0,,R. Gay misses 2-pt jump shot from 10 ft,25,25
85,1,0:38.0,Defensive rebound by M. Brogdon,,25,25
86,1,0:35.0,Turnover by M. Brogdon (bad pass; steal by B. Paul),,25,25
87,1,0:26.0,,P. Gasol makes 2-pt jump shot from 7 ft (assist by D. Murray),25,27
88,1,0:03.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,25,27
89,1,0:03.0,Offensive rebound by T. Maker,,25,27
90,2,11:47.0,K. Middleton misses 3-pt jump shot from 25 ft,,25,27
91,2,11:45.0,,Defensive rebound by D. Murray,25,27
92,2,11:34.0,,M. Ginóbili misses 3-pt jump shot from 22 ft,25,27
93,2,11:32.0,Defensive rebound by K. Middleton,,25,27
94,2,11:29.0,E. Bledsoe makes 2-pt layup from 2 ft,,27,27
95,2,11:29.0,Shooting foul by B. Paul (drawn by E. Bledsoe),,27,27
96,2,11:29.0,,D. Green enters the game for M. Ginóbili,27,27
97,2,11:29.0,E. Bledsoe misses free throw 1 of 1,,27,27
98,2,11:26.0,Offensive rebound by T. Maker,,27,27
99,2,11:13.0,Turnover by K. Middleton (bad pass),,27,27
100,2,10:56.0,,D. Green makes 3-pt jump shot from 25 ft (assist by P. Gasol),27,30
101,2,10:32.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,27,30
102,2,10:30.0,,Defensive rebound by P. Gasol,27,30
103,2,10:23.0,,D. Murray misses 2-pt jump shot from 7 ft,27,30
104,2,10:21.0,Defensive rebound by M. Brogdon,,27,30
105,2,10:17.0,T. Maker misses 2-pt jump shot from 7 ft,,27,30
106,2,10:15.0,Offensive rebound by T. Maker,,27,30
107,2,10:13.0,T. Maker misses 2-pt layup from 2 ft,,27,30
108,2,10:13.0,Offensive rebound by T. Maker,,27,30
109,2,10:09.0,Turnover by K. Middleton (lost ball; steal by D. Murray),,27,30
110,2,10:09.0,,Personal foul by T. Maker (drawn by D. Murray),27,30
111,2,10:09.0,J. Henson enters the game for T. Maker,,27,30
112,2,9:55.0,,B. Paul misses 3-pt jump shot from 22 ft,27,30
113,2,9:51.0,Defensive rebound by M. Brogdon,,27,30
114,2,9:47.0,E. Bledsoe misses 2-pt layup from 1 ft,,27,30
115,2,9:43.0,,Defensive rebound by R. Gay,27,30
116,2,9:37.0,,R. Gay makes 2-pt dunk from 1 ft (assist by P. Gasol),27,32
117,2,9:36.0,Milwaukee full timeout,,27,32
118,2,9:36.0,,P. Mills enters the game for B. Paul,27,32
119,2,9:36.0,,B. Forbes enters the game for D. Murray,27,32
120,2,9:36.0,D. Liggins enters the game for E. Bledsoe,,27,32
121,2,9:36.0,M. Dellavedova enters the game for M. Brogdon,,27,32
122,2,9:22.0,M. Dellavedova misses 2-pt jump shot from 13 ft,,27,32
123,2,9:19.0,Offensive rebound by M. Dellavedova,,27,32
124,2,9:14.0,K. Middleton misses 2-pt jump shot from 19 ft,,27,32
125,2,9:11.0,,Defensive rebound by R. Gay,27,32
126,2,9:00.0,,P. Gasol misses 2-pt jump shot from 10 ft,27,32
127,2,8:58.0,Defensive rebound by K. Middleton,,27,32
128,2,8:49.0,D. Liggins makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,30,32
129,2,8:24.0,,R. Gay makes 2-pt jump shot from 17 ft,30,34
130,2,8:05.0,K. Middleton makes 2-pt jump shot from 13 ft (assist by J. Henson),,32,34
131,2,7:52.0,,Turnover by P. Mills (lost ball; steal by T. Snell),32,34
