,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
0,1,11:40.0,,E. Freedom misses 2-pt hook shot from 8 ft,0,0
1,1,11:38.0,Defensive rebound by D. Cousins,,0,0
2,1,11:23.0,D. Cousins misses 2-pt layup from 2 ft (block by E. Freedom),,0,0
3,1,11:21.0,,Defensive rebound by L. Thomas,0,0
4,1,11:12.0,,J. Jack makes 2-pt jump shot at rim,0,2
5,1,11:03.0,Personal foul by E. Freedom (drawn by D. Cousins),,0,2
6,1,10:57.0,A. Davis makes 2-pt jump shot from 10 ft,,2,2
7,1,10:44.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,2,2
8,1,10:42.0,Defensive rebound by R. Rondo,,2,2
9,1,10:37.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,2
10,1,10:35.0,,Defensive rebound by J. Jack,2,2
11,1,10:22.0,,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by C. Lee),2,4
12,1,10:11.0,Turnover by D. Cousins (bad pass; steal by K. Porziņģis),,2,4
13,1,10:08.0,,E. Freedom makes 2-pt dunk at rim (assist by K. Porziņģis),2,6
14,1,10:00.0,E. Moore makes 3-pt jump shot from 25 ft (assist by R. Rondo),,5,6
15,1,9:49.0,,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Jack),5,9
16,1,9:35.0,Shooting foul by K. Porziņģis (drawn by A. Davis),,5,9
17,1,9:35.0,A. Davis makes free throw 1 of 2,,6,9
18,1,9:35.0,A. Davis misses free throw 2 of 2,,6,9
19,1,9:33.0,,Defensive rebound by K. Porziņģis,6,9
20,1,9:26.0,,C. Lee misses 3-pt jump shot from 27 ft,6,9
21,1,9:24.0,Defensive rebound by D. Cousins,,6,9
22,1,9:09.0,A. Davis misses 2-pt layup from 2 ft,,6,9
23,1,9:07.0,Offensive rebound by J. Holiday,,6,9
24,1,9:02.0,A. Davis makes 2-pt jump shot from 14 ft,,8,9
25,1,8:48.0,,E. Freedom makes 2-pt jump shot from 13 ft (assist by J. Jack),8,11
26,1,8:28.0,R. Rondo misses 3-pt jump shot from 22 ft,,8,11
27,1,8:26.0,,Defensive rebound by E. Freedom,8,11
28,1,8:23.0,,Shooting foul by R. Rondo (drawn by L. Thomas),8,11
29,1,8:23.0,,L. Thomas makes free throw 1 of 2,8,12
30,1,8:23.0,,L. Thomas makes free throw 2 of 2,8,13
31,1,8:12.0,D. Cousins misses 3-pt jump shot from 27 ft,,8,13
32,1,8:10.0,,Defensive rebound by L. Thomas,8,13
33,1,7:58.0,,C. Lee misses 2-pt jump shot from 21 ft,8,13
34,1,7:54.0,Defensive rebound by A. Davis,,8,13
35,1,7:38.0,Turnover by R. Rondo (traveling),,8,13
36,1,7:22.0,,K. Porziņģis makes 2-pt dunk at rim (assist by E. Freedom),8,15
37,1,7:11.0,D. Cousins misses 2-pt layup at rim,,8,15
38,1,7:09.0,,Defensive rebound by K. Porziņģis,8,15
39,1,6:58.0,,E. Freedom misses 2-pt jump shot from 8 ft,8,15
40,1,6:57.0,Defensive rebound by R. Rondo,,8,15
41,1,6:49.0,E. Moore makes 3-pt jump shot from 25 ft,,11,15
42,1,6:41.0,,New York full timeout,11,15
43,1,6:28.0,,Turnover by C. Lee (bad pass; steal by A. Davis),11,15
44,1,6:22.0,J. Holiday misses 3-pt jump shot from 26 ft,,11,15
45,1,6:19.0,,Defensive rebound by E. Freedom,11,15
46,1,6:10.0,,J. Jack makes 2-pt jump shot from 21 ft,11,17
47,1,5:49.0,Turnover by R. Rondo (bad pass; steal by K. Porziņģis),,11,17
48,1,5:36.0,,Turnover by E. Freedom (lost ball; steal by D. Cousins),11,17
49,1,5:32.0,R. Rondo misses 2-pt layup from 2 ft (block by C. Lee),,11,17
50,1,5:31.0,,T. Hardaway enters the game for C. Lee,11,17
51,1,5:31.0,D. Miller enters the game for J. Holiday,,11,17
52,1,5:31.0,Offensive rebound by Team,,11,17
