,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,D. Šarić misses 2-pt jump shot from 12 ft,0,0
1,1,11:39.0,Defensive rebound by M. Morris,,0,0
2,1,11:29.0,Turnover by B. Beal (bad pass; steal by D. Šarić),,0,0
3,1,11:09.0,,J. Embiid misses 2-pt jump shot from 7 ft (block by M. Gortat),0,0
4,1,11:05.0,,Offensive rebound by D. Šarić,0,0
5,1,11:04.0,,D. Šarić makes 2-pt layup from 3 ft,0,2
6,1,10:52.0,O. Porter misses 2-pt jump shot from 17 ft,,0,2
7,1,10:48.0,,Defensive rebound by J. Embiid,0,2
8,1,10:43.0,,B. Simmons makes 2-pt dunk at rim,0,4
9,1,10:21.0,M. Morris makes 3-pt jump shot from 22 ft (assist by M. Gortat),,3,4
10,1,10:09.0,,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),3,7
11,1,9:54.0,Turnover by T. Satoranský (lost ball; steal by B. Simmons),,3,7
12,1,9:52.0,,Personal foul by M. Morris (drawn by B. Simmons),3,7
13,1,9:47.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),3,10
14,1,9:22.0,M. Gortat misses 2-pt layup from 3 ft (block by J. Embiid),,3,10
15,1,9:19.0,,Defensive rebound by R. Covington,3,10
16,1,9:08.0,,Turnover by R. Covington (bad pass; steal by M. Gortat),3,10
17,1,9:07.0,Personal foul by J. Redick (drawn by B. Beal),,3,10
18,1,9:01.0,T. Satoranský misses 2-pt layup from 5 ft,,3,10
19,1,8:59.0,,Defensive rebound by J. Embiid,3,10
20,1,8:52.0,,Turnover by R. Covington (lost ball; steal by M. Morris),3,10
21,1,8:37.0,B. Beal misses 2-pt jump shot from 9 ft,,3,10
22,1,8:34.0,,Defensive rebound by B. Simmons,3,10
23,1,8:31.0,,Turnover by B. Simmons (bad pass; steal by O. Porter),3,10
24,1,8:25.0,O. Porter misses 2-pt jump shot from 20 ft,,3,10
25,1,8:22.0,Offensive rebound by O. Porter,,3,10
26,1,8:19.0,O. Porter makes 2-pt jump shot from 11 ft (assist by M. Gortat),,5,10
27,1,8:04.0,,J. Embiid misses 2-pt jump shot from 12 ft,5,10
28,1,8:01.0,Defensive rebound by B. Beal,,5,10
29,1,7:54.0,M. Morris makes 2-pt layup from 3 ft (assist by O. Porter),,7,10
30,1,7:41.0,,Personal foul by O. Porter (drawn by B. Simmons),7,10
31,1,7:41.0,,T. McConnell enters the game for J. Redick,7,10
32,1,7:30.0,,J. Embiid makes 2-pt jump shot from 15 ft,7,12
33,1,7:10.0,B. Beal misses 3-pt jump shot from 25 ft,,7,12
34,1,7:07.0,,Defensive rebound by D. Šarić,7,12
35,1,6:57.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),7,15
36,1,6:56.0,Washington full timeout,,7,15
37,1,6:56.0,,A. Johnson enters the game for J. Embiid,7,15
38,1,6:34.0,O. Porter misses 3-pt jump shot from 25 ft,,7,15
39,1,6:31.0,Offensive rebound by O. Porter,,7,15
40,1,6:28.0,M. Morris misses 3-pt jump shot from 25 ft,,7,15
41,1,6:24.0,,Defensive rebound by T. McConnell,7,15
42,1,6:07.0,,A. Johnson makes 3-pt jump shot from 23 ft (assist by T. McConnell),7,18
43,1,5:51.0,Turnover by B. Beal (lost ball; steal by A. Johnson),,7,18
44,1,5:44.0,,D. Šarić makes 2-pt dunk at rim (assist by B. Simmons),7,20
45,1,5:29.0,T. Satoranský misses 2-pt jump shot from 6 ft,,7,20
46,1,5:25.0,Offensive rebound by T. Satoranský,,7,20
47,1,5:14.0,O. Porter misses 2-pt jump shot from 16 ft,,7,20
48,1,5:11.0,,Defensive rebound by T. McConnell,7,20
49,1,5:00.0,,A. Johnson misses 3-pt jump shot from 25 ft,7,20
50,1,4:58.0,Defensive rebound by M. Gortat,,7,20
51,1,4:49.0,B. Beal misses 3-pt jump shot from 25 ft,,7,20
52,1,4:45.0,,Defensive rebound by T. McConnell,7,20
53,1,4:39.0,,T. McConnell misses 2-pt layup from 4 ft,7,20
54,1,4:37.0,,Offensive rebound by A. Johnson,7,20
55,1,4:37.0,,A. Johnson makes 2-pt jump shot from 2 ft,7,22
56,1,4:37.0,Washington full timeout,,7,22
57,1,4:37.0,I. Mahinmi enters the game for M. Gortat,,7,22
58,1,4:37.0,K. Oubre enters the game for T. Satoranský,,7,22
59,1,4:35.0,Turnover by I. Mahinmi (bad pass),,7,22
60,1,4:23.0,,R. Covington misses 2-pt jump shot from 12 ft,7,22
61,1,4:15.0,,Offensive rebound by D. Šarić,7,22
62,1,4:15.0,,D. Šarić makes 2-pt layup at rim,7,24
63,1,4:00.0,M. Morris misses 2-pt jump shot from 10 ft,,7,24
64,1,3:56.0,,Defensive rebound by R. Covington,7,24
65,1,3:49.0,,A. Johnson makes 2-pt hook shot from 4 ft (assist by R. Covington),7,26
66,1,3:29.0,O. Porter makes 2-pt jump shot from 5 ft,,9,26
67,1,3:21.0,,B. Simmons makes 2-pt layup from 2 ft,9,28
68,1,3:21.0,,Shooting foul by I. Mahinmi (drawn by B. Simmons),9,28
69,1,3:21.0,,J. Bayless enters the game for A. Johnson,9,28
70,1,3:21.0,,J. Embiid enters the game for D. Šarić,9,28
71,1,3:21.0,,T. Booker enters the game for R. Covington,9,28
72,1,3:21.0,M. Scott enters the game for M. Morris,,9,28
73,1,3:21.0,,B. Simmons misses free throw 1 of 1,9,28
74,1,3:20.0,,Offensive rebound by Team,9,28
75,1,3:20.0,,J. Redick enters the game for B. Simmons,9,28
76,1,3:09.0,,T. McConnell makes 2-pt jump shot from 10 ft,9,30
77,1,2:45.0,M. Scott misses 2-pt jump shot from 14 ft,,9,30
78,1,2:43.0,Offensive rebound by O. Porter,,9,30
79,1,2:43.0,O. Porter makes 2-pt jump shot from 9 ft,,11,30
80,1,2:43.0,Shooting foul by T. Booker (drawn by O. Porter),,11,30
81,1,2:43.0,O. Porter makes free throw 1 of 1,,12,30
82,1,2:28.0,,J. Embiid misses 2-pt hook shot from 4 ft,12,30
83,1,2:26.0,Defensive rebound by B. Beal,,12,30
84,1,2:19.0,B. Beal misses 2-pt jump shot from 9 ft,,12,30
85,1,2:14.0,Offensive rebound by O. Porter,,12,30
86,1,2:09.0,M. Scott misses 2-pt jump shot from 14 ft,,12,30
87,1,2:06.0,,Defensive rebound by J. Embiid,12,30
88,1,1:59.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Bayless),12,32
89,1,1:43.0,K. Oubre makes 2-pt layup from 4 ft (assist by M. Scott),,14,32
90,1,1:31.0,,T. McConnell makes 3-pt jump shot from 25 ft (assist by T. Booker),14,35
91,1,1:13.0,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),,16,35
92,1,1:00.0,,J. Bayless makes 2-pt dunk at rim (assist by T. McConnell),16,37
93,1,0:49.0,Shooting foul by T. McConnell (drawn by I. Mahinmi),,16,37
94,1,0:49.0,I. Mahinmi makes free throw 1 of 2,,17,37
95,1,0:49.0,T. Frazier enters the game for O. Porter,,17,37
96,1,0:49.0,I. Mahinmi makes free throw 2 of 2,,18,37
97,1,0:35.0,,Turnover by J. Embiid (lost ball; steal by K. Oubre),18,37
98,1,0:35.0,Personal foul by T. McConnell (drawn by T. Frazier),,18,37
99,1,0:35.0,T. Frazier misses free throw 1 of 2,,18,37
100,1,0:35.0,Offensive rebound by Team,,18,37
101,1,0:35.0,T. Frazier misses free throw 2 of 2,,18,37
102,1,0:33.0,,Defensive rebound by T. Booker,18,37
103,1,0:28.0,,Turnover by J. Redick (bad pass),18,37
104,1,0:07.0,K. Oubre makes 2-pt dunk at rim (assist by B. Beal),,20,37
105,1,0:01.0,,Turnover by T. McConnell (traveling),20,37
106,1,0:00.0,I. Mahinmi misses 3-pt jump shot from 52 ft,,20,37
107,1,0:00.0,Offensive rebound by Team,,20,37
108,2,11:52.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by T. Frazier),,22,37
109,2,11:37.0,,J. Embiid makes 2-pt jump shot from 18 ft (assist by J. Bayless),22,39
110,2,11:25.0,Shooting foul by J. Embiid (drawn by I. Mahinmi),,22,39
111,2,11:25.0,I. Mahinmi makes free throw 1 of 2,,23,39
112,2,11:25.0,I. Mahinmi makes free throw 2 of 2,,24,39
113,2,11:03.0,,T. Booker misses 2-pt hook shot from 8 ft,24,39
